site_name,year,lat,lon,alt_cm,n_pts
'Barrow_NSIDC',2017,71.3226835,-156.609999,52.1625,20
1,2013,68.881152,-150.730976,55.849999999999994,2
10,2013,68.99113,-150.625969,65.05000000000001,2
11,2013,68.947777,-150.671791,53.1,2
12,2013,68.950556,-150.835485,47.05,2
12Mi_815,2013,63.847364424285715,-145.71702244285714,44.714285714285715,28
13,2013,69.017626,-150.915936,48.849999999999994,2
14,2013,69.032527,-150.796653,45.75,2
15,2013,69.003587,-150.734651,63.599999999999994,2
16,2013,69.036425,-150.678506,57.9,2
17,2013,69.052827,-150.609415,49.3,2
18,2013,69.021547,-150.549971,62.3,2
19,2013,69.040767,-150.384684,61.199999999999996,2
2,2013,68.901161,-150.579065,65.1,2
20,2013,69.073889,-150.414931,65.85,2
21,2013,69.083073,-150.192424,55.2,2
22,2013,69.15909,-150.372051,38.85,2
23,2013,69.117951,-150.522133,65.65,2
24,2013,69.321175,-151.064796,45.3,1
25,2013,69.384466,-150.928384,57.25,2
26,2013,69.429722,-150.873225,53.1,2
27,2013,69.397455,-150.700217,63.099999999999994,2
28,2013,69.364545,-150.596434,52.150000000000006,2
29,2013,69.358039,-150.68531,62.8,2
3,2013,68.877721,-150.485307,66.9,2
30,2013,69.341872,-150.921334,57.150000000000006,2
31,2013,69.302733,-150.903301,57.099999999999994,2
32,2013,69.290306,-150.783888,59.2,2
33,2013,69.312696,-150.701603,47.3,2
34,2013,69.2796,-150.662435,56.75,2
35,2013,69.281249,-150.478394,47.15,2
36,2013,69.233693,-150.601337,56.65,2
37,2013,69.228117,-150.748094,52.9,2
38,2013,69.261326,-150.891772,54.3,2
39,2013,69.214349,-150.955404,68.65,2
4,2013,68.948905,-150.439662,65.8,2
40,2013,69.215311,-150.879409,58.65,2
41,2013,69.173131,-150.832241,58.099999999999994,2
42,2013,69.142566,-150.920629,42.95,2
43,2013,69.131161,-150.776315,59.85,2
44,2013,69.075018,-150.739097,58.95,2
45,2013,69.097619,-150.605476,57.8,2
46,2013,69.14942,-150.669112,58.8,2
47,2013,69.182426,-150.528724,59.65,2
48,2013,68.99021686746987,-150.28,44.33975903614458,83
49,2013,68.95,-150.21,40.28875,80
