lat,lon,region,alt_cm,alt_sd,alt_min,alt_max,n_obs,year_min,year_max,n_years,qc_flag
71.5549,130.0262,Lena_RU,75.0,0.0,75.0,75.0,1,2012,2012,1,0
71.5558,130.0271,Lena_RU,60.0,0.0,60.0,60.0,1,2012,2012,1,0
71.5563,130.0266,Lena_RU,78.0,0.0,78.0,78.0,1,2012,2012,1,0
71.5567,130.0256,Lena_RU,85.0,0.0,85.0,85.0,1,2012,2012,1,0
71.5568,130.0254,Lena_RU,65.0,0.0,65.0,65.0,1,2012,2012,1,0
71.5578,130.0248,Lena_RU,38.0,0.0,38.0,38.0,1,2012,2012,1,0
71.5579,130.0248,Lena_RU,68.0,0.0,68.0,68.0,1,2012,2012,1,0
71.5583,130.0249,Lena_RU,68.0,0.0,68.0,68.0,1,2012,2012,1,0
71.5585,130.0248,Lena_RU,48.0,0.0,48.0,48.0,1,2012,2012,1,0
71.5587,130.0248,Lena_RU,95.0,0.0,95.0,95.0,1,2012,2012,1,0
71.559,130.0246,Lena_RU,52.0,0.0,52.0,52.0,1,2012,2012,1,0
71.5596,130.0246,Lena_RU,48.0,0.0,48.0,48.0,1,2012,2012,1,0
71.5601,130.0246,Lena_RU,72.0,0.0,72.0,72.0,1,2012,2012,1,0
71.5602,130.02,Lena_RU,48.0,0.0,48.0,48.0,1,2012,2012,1,0
71.5603,130.0193,Lena_RU,60.0,0.0,60.0,60.0,1,2012,2012,1,0
71.5606,130.0246,Lena_RU,65.0,0.0,65.0,65.0,1,2012,2012,1,0
71.5608,130.0244,Lena_RU,65.0,0.0,65.0,65.0,1,2012,2012,1,0
71.561,130.0242,Lena_RU,42.0,0.0,42.0,42.0,2,2012,2012,1,0
71.5612,130.0246,Lena_RU,68.0,0.0,68.0,68.0,1,2012,2012,1,0
71.5615,130.0245,Lena_RU,45.0,0.0,45.0,45.0,1,2012,2012,1,0
71.5618,130.0244,Lena_RU,45.0,0.0,45.0,45.0,1,2012,2012,1,0
71.562,130.0188,Lena_RU,45.0,0.0,45.0,45.0,1,2012,2012,1,0
71.562,130.025,Lena_RU,62.0,0.0,62.0,62.0,1,2012,2012,1,0
71.5622,130.025,Lena_RU,75.0,0.0,75.0,75.0,1,2012,2012,1,0
71.5625,130.0251,Lena_RU,20.0,0.0,20.0,20.0,1,2012,2012,1,0
71.5626,130.025,Lena_RU,58.0,0.0,58.0,58.0,1,2012,2012,1,0
71.5629,130.025,Lena_RU,37.0,0.0,37.0,37.0,1,2012,2012,1,0
71.5631,130.025,Lena_RU,43.0,0.0,43.0,43.0,1,2012,2012,1,0
71.5634,130.0249,Lena_RU,48.0,0.0,48.0,48.0,1,2012,2012,1,0
71.5636,130.0244,Lena_RU,30.0,0.0,30.0,30.0,1,2012,2012,1,0
71.5638,130.0238,Lena_RU,55.0,0.0,55.0,55.0,1,2012,2012,1,0
71.564,130.0233,Lena_RU,20.0,0.0,20.0,20.0,1,2012,2012,1,0
71.5643,130.0234,Lena_RU,48.0,0.0,48.0,48.0,1,2012,2012,1,0
71.5646,130.0233,Lena_RU,70.0,0.0,70.0,70.0,1,2012,2012,1,0
71.5648,130.0178,Lena_RU,40.0,0.0,40.0,40.0,1,2012,2012,1,0
71.565,130.0223,Lena_RU,35.0,0.0,35.0,35.0,1,2012,2012,1,0
71.5652,130.0233,Lena_RU,55.0,0.0,55.0,55.0,1,2012,2012,1,0
71.5654,130.0173,Lena_RU,51.0,0.0,51.0,51.0,1,2012,2012,1,0
71.5661,130.0328,Lena_RU,48.0,0.0,48.0,48.0,1,2012,2012,1,0
71.5663,130.0232,Lena_RU,37.0,0.0,37.0,37.0,1,2012,2012,1,0
71.5664,130.0261,Lena_RU,65.0,0.0,65.0,65.0,1,2012,2012,1,0
71.5665,130.0167,Lena_RU,73.0,0.0,73.0,73.0,1,2012,2012,1,0
71.5667,130.0207,Lena_RU,23.0,0.0,23.0,23.0,1,2012,2012,1,0
71.5667,130.0216,Lena_RU,32.0,0.0,32.0,32.0,1,2012,2012,1,0
71.5668,130.0225,Lena_RU,30.0,0.0,30.0,30.0,1,2012,2012,1,0
71.5668,130.0234,Lena_RU,40.0,0.0,40.0,40.0,2,2012,2012,1,0
71.5669,130.0255,Lena_RU,82.0,0.0,82.0,82.0,1,2012,2012,1,0
71.567,130.0236,Lena_RU,40.0,0.0,40.0,40.0,1,2012,2012,1,0
71.5672,130.0247,Lena_RU,58.0,0.0,58.0,58.0,1,2012,2012,1,0
71.5675,130.0167,Lena_RU,30.0,0.0,30.0,30.0,1,2012,2012,1,0
71.5677,130.0231,Lena_RU,50.0,0.0,50.0,50.0,1,2012,2012,1,0
71.5678,130.024,Lena_RU,53.0,0.0,53.0,53.0,1,2012,2012,1,0
71.568,130.0167,Lena_RU,43.0,0.0,43.0,43.0,1,2012,2012,1,0
71.5683,130.0229,Lena_RU,47.0,0.0,47.0,47.0,1,2012,2012,1,0
71.5689,130.0167,Lena_RU,20.0,0.0,20.0,20.0,1,2012,2012,1,0
71.569,130.0229,Lena_RU,37.0,0.0,37.0,37.0,1,2012,2012,1,0
71.5696,130.0228,Lena_RU,47.0,0.0,47.0,47.0,1,2012,2012,1,0
71.5697,130.0167,Lena_RU,55.0,0.0,55.0,55.0,1,2012,2012,1,0
71.5703,130.0227,Lena_RU,50.0,0.0,50.0,50.0,1,2012,2012,1,0
71.5704,130.0167,Lena_RU,50.0,0.0,50.0,50.0,1,2012,2012,1,0
71.5709,130.0167,Lena_RU,46.0,0.0,46.0,46.0,1,2012,2012,1,0
71.5709,130.0233,Lena_RU,27.0,0.0,27.0,27.0,1,2012,2012,1,0
71.5709,130.0239,Lena_RU,47.0,0.0,47.0,47.0,1,2012,2012,1,0
71.571,130.0226,Lena_RU,45.0,0.0,45.0,45.0,1,2012,2012,1,0
71.5715,130.0167,Lena_RU,63.0,0.0,63.0,63.0,1,2012,2012,1,0
71.5715,130.0233,Lena_RU,35.0,0.0,35.0,35.0,1,2012,2012,1,0
71.5717,130.0228,Lena_RU,35.0,0.0,35.0,35.0,1,2012,2012,1,0
71.572,130.0176,Lena_RU,25.0,0.0,25.0,25.0,1,2012,2012,1,0
71.572,130.0233,Lena_RU,42.0,0.0,42.0,42.0,1,2012,2012,1,0
71.5721,130.0167,Lena_RU,63.0,0.0,63.0,63.0,1,2012,2012,1,0
71.5722,130.018,Lena_RU,50.0,0.0,50.0,50.0,3,2012,2012,1,0
71.5723,130.018,Lena_RU,56.0,0.0,56.0,56.0,1,2012,2012,1,0
71.5724,130.0228,Lena_RU,40.0,0.0,40.0,40.0,1,2012,2012,1,0
71.5725,130.0173,Lena_RU,30.0,0.0,30.0,30.0,1,2012,2012,1,0
71.5726,130.018,Lena_RU,26.0,0.0,26.0,26.0,1,2012,2012,1,0
71.5727,130.0167,Lena_RU,60.0,0.0,60.0,60.0,1,2012,2012,1,0
71.5727,130.0172,Lena_RU,40.0,0.0,40.0,40.0,2,2012,2012,1,0
71.5727,130.0233,Lena_RU,22.0,0.0,22.0,22.0,1,2012,2012,1,0
71.5731,130.0233,Lena_RU,33.0,0.0,33.0,33.0,1,2012,2012,1,0
71.5732,130.0167,Lena_RU,44.0,0.0,44.0,44.0,1,2012,2012,1,0
71.5732,130.0227,Lena_RU,45.0,0.0,45.0,45.0,1,2012,2012,1,0
71.5737,130.0167,Lena_RU,63.0,0.0,63.0,63.0,1,2012,2012,1,0
71.5737,130.0233,Lena_RU,35.0,0.0,35.0,35.0,1,2012,2012,1,0
71.5738,130.0167,Lena_RU,70.0,0.0,70.0,70.0,1,2012,2012,1,0
71.574,130.0167,Lena_RU,53.0,0.0,53.0,53.0,1,2012,2012,1,0
71.5743,130.0233,Lena_RU,35.0,0.0,35.0,35.0,1,2012,2012,1,0
