lat,lon,alt_cm,alt_sd,alt_min,alt_max,n_obs,year_min,year_max,n_years,site,name,country,macro,region,qc,qc_flag,borehole_id,censor_flag,dem_elev,dem_slope,dem_aspect_sin,dem_aspect_cos,dem_tpi,dem_rough,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe,e5_fallback_deg,cci_alt,cci_valid,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,block,loc_id,source_id,fidelity_level,spatial_support_m,sigma_prior_cm,right_censored,insar_alt,insar_alt_std,insar_sub,insar_dist,insar_n,polsar_alt,polsar_std,polsar_valid,insar_miss
34.3333,97.8667,157.16666666666666,21.93309385519075,135.0,196.0,12,1998,2009,12,CN2,Fenghuo Shan,China,QTP_China,CALM_QTP_China,,,,0,4647.63720703125,4.616693496704102,0.9853578209877014,0.1704992949962616,-10.072265625,15.089289665222168,-7.1400275230407715,484.8180847167969,3071.7504272460938,22.018584984435236,5.972412109375,-18.984054565429688,-0.5575434565544128,0.03322598710656166,0.0,72.8,1,18.9,38.8,42.4,1.17,24.0,7.5,54.1,47.6,27.8,6800195,17427,F4_direct,4,100.0,21.93309385519075,0,,,,,,,,0.0,1
34.4667,92.7333,102.875,13.82996229723195,87.0,122.0,8,2000,2009,8,CN5,Lower Two Rivers,China,QTP_China,CALM_QTP_China,,,,0,4570.4365234375,0.8745819330215454,-0.9769890308380127,-0.21328961849212646,0.388671875,1.6362035274505615,-3.654627561569214,656.9932556152344,1975.23046875,25.63187967385994,7.321685791015625,-14.78350830078125,-0.6832783818244934,0.002689984394237399,0.0,120.8,1,17.8,43.1,39.1,1.3,20.6,8.1,16.7,15.2,12.9,6800185,17428,F4_direct,4,100.0,13.82996229723195,0,,,,,,,,0.0,1
34.7333,92.8833,268.6666666666667,7.659416862050701,260.0,279.0,6,1998,2008,6,CN3,Ecology Station,China,QTP_China,CALM_QTP_China,,,,0,4777.6240234375,3.0582776069641113,-0.6171102523803711,-0.7868766784667969,-5.31640625,13.312143325805664,-6.287248134613037,367.27288818359375,2646.528518676758,19.16436506079953,5.056396484375,-17.353500366210938,-2.254725217819214,0.004248871002346277,0.0,69.2,1,24.2,41.0,35.0,1.15,23.9,7.5,34.2,28.2,21.3,6900185,17429,F4_direct,4,100.0,7.659416862050701,0,,,,,,,,0.0,1
35.4333,93.6,316.25,18.5,292.0,337.0,4,2006,2009,4,CN4,Wuli,China,QTP_China,CALM_QTP_China,,,,0,4459.25830078125,2.7140703201293945,-0.6593731641769409,-0.7518157958984375,-2.86279296875,1.3090864419937134,-5.168894290924072,542.3236694335938,2413.2367248535156,23.287843812461336,6.66314697265625,-16.676422119140625,-2.118901491165161,0.0029412240255624056,0.0,79.2,1,20.3,43.0,36.7,1.29,19.2,7.8,15.2,15.5,12.6,7000187,17430,F4_direct,4,100.0,18.5,0,,,,,,,,0.0,1
35.6167,94.0667,138.0,2.280350850198275,136.0,142.0,6,2003,2008,6,CN7,Kunlun Basin,China,QTP_China,CALM_QTP_China,,,,0,4729.1240234375,1.6347403526306152,0.27526336908340454,0.9613688588142395,-1.7705078125,3.069694757461548,-8.26831340789795,226.11892700195312,3227.3314819335938,15.037251311391758,3.83306884765625,-19.404312133789062,-5.0846405029296875,0.010408349335193634,0.0,29.2,1,24.3,42.2,33.5,1.19,25.2,7.6,27.6,20.1,16.4,7100188,17431,F4_direct,4,100.0,3.0,0,,,,,,,,0.0,1
43.0833,76.9167,434.14285714285717,56.29572622507672,300.0,485.0,14,1998,2011,14,K2,"""Northern Tien Shan; Cosmostation  """,Kazakstan,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2087.6201171875,32.577423095703125,0.7726567983627319,0.6348239183425903,-40.9873046875,89.0505142211914,1.651031494140625,1710.4911193847656,1088.0411376953125,41.358084087452184,14.302886962890625,-10.15594482421875,5.603263854980469,0.059244733303785324,0.0,,0,21.2,39.3,39.6,1.25,19.6,6.6,91.6,40.3,28.1,8600153,17432,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
43.1,76.9,489.8205128205128,23.599589419791315,420.0,569.0,39,1990,2011,22,K0,"""Northern Tien Shan; Cosmostation""",Kazakstan,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1801.83056640625,46.46867752075195,-0.9490727186203003,0.31505706906318665,23.1038818359375,130.15750122070312,1.651031494140625,1710.4911193847656,1088.0411376953125,41.358084087452184,14.302886962890625,-10.15594482421875,5.603263854980469,0.059244733303785324,0.0,,0,21.9,40.5,37.6,1.25,18.8,6.7,100.2,45.5,31.3,8600153,17433,F4_direct,4,100.0,23.599589419791315,0,,,,,,,,0.0,1
45.9823,7.676,368.93333333333334,81.04449101456265,273.0,533.0,15,2006,2022,15,CH10,Matterhorn,Switzerland,Alps,CALM_Alps,,,,0,3283.0498046875,20.875450134277344,0.5973365902900696,-0.8019906282424927,199.192626953125,125.75480651855469,-2.8600566387176514,700.5798645019531,1727.5121154785156,26.468469251204407,7.678863525390625,-13.2216796875,-0.19222767651081085,1.171825647354126,0.0,27.6,1,17.6,42.0,40.4,1.16,27.3,6.9,87.4,45.8,35.1,9100015,17434,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
45.9868,7.8242,392.95238095238096,72.52067028818487,288.0,528.0,21,2001,2023,21,CH4,Stockhorn,Switzerland,Alps,CALM_Alps,,,,0,3408.7763671875,6.026834964752197,0.9593402147293091,0.2822522521018982,192.119873046875,104.13143157958984,-3.1971054077148438,640.1797790527344,1790.6049499511719,25.301774227368607,7.096832275390625,-13.38543701171875,-4.473073482513428,6.25794792175293,0.0,0.0,1,16.9,42.0,41.1,1.13,23.4,6.6,105.1,52.9,36.1,9100015,17435,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
46.0837,7.3025,334.72222222222223,158.18745601921177,138.0,589.0,18,2003,2021,18,CH7,Gentianes,Switzerland,Alps,CALM_Alps,,,,0,2889.154052734375,13.589994430541992,-0.4932352304458618,-0.8698959946632385,34.669189453125,66.12151336669922,2.1729557514190674,1658.3387756347656,847.7801513671875,40.72270589775151,13.338043212890625,-9.05242919921875,3.024571657180786,0.24297092854976654,0.0,0.0,1,19.4,41.4,39.3,1.12,20.1,5.8,113.0,70.9,60.7,9200014,17436,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
