lat,lon,site,name,country,macro,n_siteyear,year_min,year_max,alt_mean,alt_sd
34.3333,97.8667,CN2,Fenghuo Shan,China,QTP_China,12,1998,2009,157.16666666666666,21.93309385519075
34.4667,92.7333,CN5,Lower Two Rivers,China,QTP_China,8,2000,2009,102.875,13.82996229723195
34.7333,92.8833,CN3,Ecology Station,China,QTP_China,6,1998,2008,268.6666666666667,7.659416862050701
35.4333,93.6,CN4,Wuli,China,QTP_China,4,2006,2009,316.25,18.5
35.6167,94.0667,CN7,Kunlun Basin,China,QTP_China,6,2003,2008,138.0,2.280350850198275
43.0833,76.9167,K2,"""Northern Tien Shan; Cosmostation  """,Kazakstan,Mongolia_CAsia,14,1998,2011,434.14285714285717,56.29572622507672
43.1,76.9,K0,"""Northern Tien Shan; Cosmostation""",Kazakstan,Mongolia_CAsia,39,1990,2011,489.8205128205128,23.599589419791315
45.9823,7.676,CH10,Matterhorn,Switzerland,Alps,15,2006,2022,368.93333333333334,81.04449101456265
45.9868,7.8242,CH4,Stockhorn,Switzerland,Alps,21,2001,2023,392.95238095238096,72.52067028818487
46.0837,7.3025,CH7,Gentianes,Switzerland,Alps,18,2003,2021,334.72222222222223,158.18745601921177
46.0968,7.2731,CH5,Les Attelas,Switzerland,Alps,15,2009,2023,414.0,33.770232031014686
46.1061,7.2843,CH3,Lapires,Switzerland,Alps,16,1999,2017,494.9375,72.64660464651233
46.1747,7.8498,CH12,Ritigraben,Switzerland,Alps,20,2002,2022,378.85,32.290254355080414
46.4288,9.8218,CH1,Corvatsch,Switzerland,Alps,29,1990,2018,366.58620689655174,38.76809922141371
46.4966,9.9314,CH9,Muot da Barba Peider,Switzerland,Alps,22,1997,2018,244.86363636363637,68.26718897764205
46.4988,9.9252,CH11,Schafberg,Switzerland,Alps,25,1997,2022,484.64,63.56747071681658
46.5583,7.8344,CH2,Schilthorn,Switzerland,Alps,10,1999,2014,468.9,20.749564921810872
46.7489,9.9436,CH8,Fl�ela,Switzerland,Alps,19,2003,2022,292.7368421052632,5.0754540602914275
47.0389,107.6861,M9,Gurban turuu,Mongolia,Mongolia_CAsia,4,2001,2004,299.0,4.898979485566358
47.6889,108.2625,M 1,Baganuur Depression,Mongolia,Mongolia_CAsia,13,1996,2009,358.46153846153845,13.902130439944477
47.6944,108.2944,M1 A,Baganuur depression,Mongolia,Mongolia_CAsia,6,1996,2002,424.1666666666667,38.264430828991394
47.7528,107.3367,M2 F,Nalaikh depression plain,Mongolia,Mongolia_CAsia,5,2004,2008,549.0,36.12478373637688
47.7544,107.25,M2 A,Nalaikh � northern slope,Mongolia,Mongolia_CAsia,14,1996,2009,340.0,4.803844614152601
47.7708,107.2875,M2 E,Nalaikh � south western slope,Mongolia,Mongolia_CAsia,8,1999,2009,443.75,48.088460154178364
47.7728,107.2917,M2 C,Nalaikh south-western slope,Mongolia,Mongolia_CAsia,10,2000,2009,378.5,42.29854213405784
47.7764,107.3,M2 B,Nalaikh � pingo top,Mongolia,Mongolia_CAsia,9,1998,2008,135.0,3.5355339059327364
47.7764,107.3383,M2 D,Nalaikh thermokarst,Mongolia,Mongolia_CAsia,6,2003,2009,125.83333333333333,7.359800721939873
47.9794,100.4256,M14 A,Terelj forested slope,Mongolia,Mongolia_CAsia,7,2003,2009,269.57142857142856,34.32131088627561
47.9803,100.4253,M14,Terelj open slope,Mongolia,Mongolia_CAsia,7,2003,2009,414.2857142857143,30.445110640376427
48.0411,100.3917,M7 A,Chuluut � pingo top,Mongolia,Mongolia_CAsia,9,1999,2009,154.44444444444446,19.288021613887146
48.0819,99.3733,M6 A,Terkh � valley bottom,Mongolia,Mongolia_CAsia,11,1999,2009,218.36363636363637,12.101840581272974
48.2753,106.1947,M15,Borhujir,Mongolia,Mongolia_CAsia,3,2007,2009,225.0,8.660254037844387
48.6361,100.3756,M7 B,Chuluut � valley bottom,Mongolia,Mongolia_CAsia,8,2002,2009,279.375,10.500850305706543
48.6694,89.1114,M10,Tsengel Mountain,Mongolia,Mongolia_CAsia,2,2002,2003,107.0,2.8284271247461903
48.7525,89.1356,M10 A,Tsengel N slope,Mongolia,Mongolia_CAsia,3,2003,2005,280.0,5.0
48.7783,89.1406,M10 B,Tsengel valley bottom,Mongolia,Mongolia_CAsia,1,2005,2005,550.0,
49.2969,98.19,M16A,Khurimt tal,Mongolia,Mongolia_CAsia,1,2009,2009,275.0,
49.3472,99.2422,M16,Mongot pingo top,Mongolia,Mongolia_CAsia,1,2009,2009,115.0,
49.4903,98.6564,M8,Sharga � valley bottom,Mongolia,Mongolia_CAsia,8,2002,2009,281.25,5.175491695067655
49.7042,100.1675,M4 B,Burenkhan � valley bottom,Mongolia,Mongolia_CAsia,7,2000,2006,343.14285714285717,9.063269671749651
49.7828,100.0467,M4 D,Burenkhan north-facing steep slope,Mongolia,Mongolia_CAsia,2,2007,2008,405.0,7.0710678118654755
49.7883,100.0342,M4 A,Burenkhan � northern slope,Mongolia,Mongolia_CAsia,12,1996,2009,401.6666666666667,30.100840620497728
50.0442,100.7544,M12 G,Dalbay pingo,Mongolia,Mongolia_CAsia,4,2003,2009,112.25,27.47574688096152
50.0444,100.7328,M12 F,Dalbay,Mongolia,Mongolia_CAsia,3,2002,2009,221.66666666666666,10.40832999733066
50.2544,100.8447,M12 C,Shagnuul,Mongolia,Mongolia_CAsia,6,2003,2009,385.0,32.710854467592256
50.4333,100.1606,M11 B,Hatgal house,Mongolia,Mongolia_CAsia,9,2001,2009,390.55555555555554,14.169607537888183
50.4386,100.1503,M11,Hatgal � lake terrace,Mongolia,Mongolia_CAsia,8,2002,2009,476.875,5.938674695827102
50.4386,100.1522,M11 A,Hatgal house falt terrace,Mongolia,Mongolia_CAsia,7,2002,2009,457.85714285714283,23.603873774083297
50.6264,100.1658,M5,Ardag Mountain,Mongolia,Mongolia_CAsia,4,1999,2002,356.25,54.98105734402228
50.6564,100.1625,M5 B,Ardag watershed 2,Mongolia,Mongolia_CAsia,6,1999,2008,297.5,20.676073128135332
50.6592,100.1633,M5 A,Ardag watershed,Mongolia,Mongolia_CAsia,4,1999,2008,380.0,46.9041575982343
50.6767,100.1664,M5 C,Ardag watershed 3,Mongolia,Mongolia_CAsia,5,2006,2008,332.0,125.12993247021274
50.9333,121.3333,CN1,"""Yutulihe; Northeast China """,China,QTP_China,4,1991,1994,104.25,7.499999999999998
50.9703,100.7272,M12 A,Borsog Flood plain,Mongolia,Mongolia_CAsia,5,2003,2009,186.2,3.6331804249169872
50.9744,100.7286,M12 B,Borsog W slope,Mongolia,Mongolia_CAsia,6,2004,2009,255.83333333333334,26.347042844817835
51.02,100.7583,M12,Dalbay,Mongolia,Mongolia_CAsia,7,2003,2009,137.71428571428572,4.151878519188058
51.0311,100.7225,M12 H,Dalbay gully,Mongolia,Mongolia_CAsia,4,2003,2009,137.75,7.365459931328117
51.1147,99.6369,M13 B,Darhad Rinchin,Mongolia,Mongolia_CAsia,3,2005,2008,338.3333333333333,7.637626158259735
51.1872,99.4975,M13 A,Darhad Khuurch,Mongolia,Mongolia_CAsia,4,2004,2007,154.0,5.887840577551898
51.2097,100.7703,M12 E,Noyon,Mongolia,Mongolia_CAsia,5,2005,2009,372.8,10.568822072492283
51.2858,100.8272,M12 D,Turag,Mongolia,Mongolia_CAsia,7,2003,2009,475.0,6.164414002968976
51.3556,99.3592,M13,Darhad Tsagaan nuur,Mongolia,Mongolia_CAsia,3,2005,2008,147.0,2.6457513110645907
51.3586,99.4797,M13 C,Darhad Sharga,Mongolia,Mongolia_CAsia,2,2005,2006,177.5,3.5355339059327378
55.7507,160.2896,R30 A,Ploskii Tolbachik (Kamchatka),Russia,Russia_E,10,2003,2012,73.8,3.765338999051449
