cv_type,config,nfeat,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean
spatial_block,M0 지역평균(baseline),0,225421,21.163,17.1,0.708,-0.1989,19.328,-0.0949
spatial_block,M1 지형(DEM),6,225421,20.627,15.618,1.757,-0.1389,19.328,-0.0672
spatial_block,M2 기후(ERA5),8,225421,16.345,11.817,-3.285,0.2849,19.328,0.1543
spatial_block,M3 기후+지형 [현재],14,225421,19.371,15.073,5.931,-0.0044,19.328,-0.0022
spatial_block,M4 +InSAR,19,225421,19.635,15.419,6.437,-0.032,19.328,-0.0159
spatial_block,M5 +PolSAR,17,225421,18.976,14.521,4.23,0.0361,19.328,0.0182
spatial_block,M6 +InSAR+PolSAR,22,225421,17.952,13.603,3.284,0.1374,19.328,0.0712
LORO,M0 지역평균(baseline),0,225421,21.184,16.938,8.295,-0.2012,19.328,-0.096
LORO,M1 지형(DEM),6,225421,31.847,23.064,6.757,-1.7148,19.328,-0.6477
LORO,M2 기후(ERA5),8,225421,19.973,12.839,-2.314,-0.0678,19.328,-0.0334
LORO,M3 기후+지형 [현재],14,225421,19.665,14.626,2.961,-0.0351,19.328,-0.0174
LORO,M4 +InSAR,19,225421,16.384,11.835,-0.605,0.2814,19.328,0.1523
LORO,M5 +PolSAR,17,225421,17.856,13.093,0.81,0.1465,19.328,0.0762
LORO,M6 +InSAR+PolSAR,22,225421,18.151,13.294,1.446,0.1181,19.328,0.0609
