site,name,calm_id,country,area,lat,lon,year,alt_cm,wc_elev,wc_bio1,wc_bio4,wc_bio7,wc_bio12,y,x,ym,tdd,fdd,sqrt_tdd,thaw_months,summer_t,winter_prec,continentality
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1993,30.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4339872044851463,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1994,35.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.58351893845611,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1995,35.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.58351893845611,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1996,36.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6109179126442243,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1997,37.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6375861597263857,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1998,41.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.737669618283368,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,1999,37.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6375861597263857,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2000,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2001,31.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4657359027997265,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2002,31.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4657359027997265,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2003,29.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4011973816621555,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2004,42.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7612001156935624,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2005,33.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.526360524616161,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2006,32.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4965075614664802,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
