lat,lon,region,alt_cm,alt_sd,alt_min,alt_max,n_obs,year_min,year_max,n_years,qc,borehole_id,site
71.309,-156.6615,GTNPenv_US,40.7,,40.7,40.7,940,2006,2013,8,high,33,Barrow
65.3033,72.8592,GTNPenv_RU,92.3,,92.3,92.3,230,2006,2013,8,high,34,Nadym
78.0556,13.6391,GTNPenv_SJ,237.0,68.6,188.5,285.5,2466,2008,2020,13,high,57;98,Svalbard
78.1926,15.5984,GTNPenv_SJ,218.6,,218.6,218.6,267,2008,2015,8,high,60,Svalbard
78.1416,16.0626,GTNPenv_SJ,47.2,,47.2,47.2,468,2009,2015,7,high,62,Svalbard
78.1902,15.7816,GTNPenv_SJ,277.4,,277.4,277.4,1278,2008,2020,13,high,63,Svalbard
68.2875,54.4986,GTNPenv_RU,206.8,,206.8,206.8,402,2006,2015,10,high,69,Bolvansky
65.2991,72.8882,GTNPenv_RU,92.9,1.7,91.4,94.7,316,2007,2013,7,high,92;178;1104,Nadym
70.3745,-148.5522,GTNPenv_US,31.9,,31.9,31.9,1536,2001,2013,13,high,118,West Dock
78.2015,15.8346,GTNPenv_SJ,95.3,,95.3,95.3,686,1998,2016,19,high,166,Svalbard
65.3153,72.8693,GTNPenv_RU,286.8,,286.8,286.8,158,2006,2013,8,high,170,Nadym
66.1873,76.5408,GTNPenv_RU,47.5,,47.5,47.5,80,1974,2015,42,approx,420,Novyi Urengoy
68.2897,53.5025,GTNPenv_RU,98.2,,98.2,98.2,339,2006,2016,11,high,432,Bolvansky
69.7155,66.8142,GTNPenv_RU,179.7,11.4,165.5,190.3,529,2006,2016,11,approx,435;436;437;1833,Marre Sale
69.7093,66.8341,GTNPenv_RU,236.3,,236.3,236.3,139,2006,2016,11,high,438,Marre Sale
55.7506,160.2896,GTNPenv_RU,98.0,,98.0,98.0,144,2008,2012,5,high,468,Ust-Kamchatsky
71.2893,-156.7626,GTNPenv_US,83.7,,83.7,83.7,107,2006,2008,3,high,519,Barrow
64.8668,-147.858,GTNPenv_US,126.6,63.2,67.3,193.1,3330,2006,2013,8,high,618;619;620,Fairbanks
64.8678,-147.7849,GTNPenv_US,69.0,,69.0,69.0,353,2005,2012,8,approx,624,Fairbanks
64.7069,-148.2913,GTNPenv_US,74.7,,74.7,74.7,547,2009,2013,5,approx,630,Fairbanks
67.4847,171.9447,GTNPenv_RU,194.5,,194.5,194.5,256,2008,2011,4,high,634,Chukotka
61.538,-165.6013,GTNPenv_US,105.7,,105.7,105.7,60,2009,2010,2,high,746,Chevak
65.817,-144.067,GTNPenv_US,247.7,,247.7,247.7,127,2006,2010,5,high,752,Circle
64.7784,-141.1802,GTNPenv_US,97.8,,97.8,97.8,4,2008,2009,2,approx,754,Eagle
46.5583,7.8344,GTNPenv_CH,296.6,,296.6,296.6,2063,2002,2018,17,approx,864,Schilthorn
46.4285,9.822,GTNPenv_CH,248.3,,248.3,248.3,1290,2000,2018,19,high,870,Murtèl-Corvatsch
-62.98,-60.718,GTNPenv_AQ,93.8,,93.8,93.8,521,2009,2015,7,high,903,Deception Island
65.6748,72.8742,GTNPenv_RU,264.6,,264.6,264.6,85,2010,2013,4,high,1102,Nadym
70.8304,147.4883,GTNPenv_RU,68.2,,68.2,68.2,306,2010,2014,5,approx,1141,Kytalyk
78.9209,11.8334,GTNPenv_SJ,167.4,,167.4,167.4,695,2009,2021,13,high,1192,Svalbard
67.5772,55.1453,GTNPenv_RU,198.3,,198.3,198.3,66,2014,2016,3,high,1828,Bolvansky
68.2433,53.8528,GTNPenv_RU,181.3,,181.3,181.3,467,2010,2016,7,high,1829,Bolvansky
67.5767,55.1331,GTNPenv_RU,198.3,,198.3,198.3,66,2014,2016,3,high,1830,Bolvansky
78.9219,11.8658,GTNPenv_SJ,144.8,,144.8,144.8,204,2016,2019,4,high,1837,Svalbard
78.095,14.241,GTNPenv_SJ,169.4,,169.4,169.4,203,2016,2020,5,approx,1838,Svalbard
78.0907,14.2024,GTNPenv_SJ,144.5,,144.5,144.5,230,2016,2020,5,high,1839,Svalbard
78.2215,15.658,GTNPenv_SJ,97.5,,97.5,97.5,120,2017,2018,2,high,1859,Svalbard
