part,control,set,model,feats,eval_region,n,n_train,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,pred_mean,pred_std,coverage_90,width_90
B,physics_vs_ml,BASE,physics_stefan,climate_sqrt_tdd,Lena_RU,3037,,22.068,16.238,6.761,-0.0945,21.094,-0.0462,48.982,1.13,,
B,physics_vs_ml,BASE,gbm,full,Lena_RU,3037,,21.782,16.467,8.488,-0.0663,21.094,-0.0326,50.708,3.751,,
B,physics_vs_ml,AUG,physics_stefan,climate_sqrt_tdd,Lena_RU,3037,,22.156,16.392,7.043,-0.1033,21.094,-0.0504,49.263,1.125,,
B,physics_vs_ml,AUG,gbm,full,Lena_RU,3037,,88.128,86.281,85.542,-16.455,21.094,-3.1779,127.762,6.844,,
B,climate_vs_full,BASE,gbm,climate8,Lena_RU,3037,,22.001,16.024,6.349,-0.0879,21.094,-0.043,48.569,0.675,,
B,climate_vs_full,BASE,gbm,terr+clim,Lena_RU,3037,,21.584,14.65,1.676,-0.047,21.094,-0.0232,43.896,4.758,,
B,climate_vs_full,BASE,gbm,full,Lena_RU,3037,,21.782,16.467,8.488,-0.0663,21.094,-0.0326,50.708,3.751,,
B,climate_vs_full,AUG,gbm,climate8,Lena_RU,3037,,23.737,18.783,10.942,-0.2663,21.094,-0.1253,53.162,0.247,,
B,climate_vs_full,AUG,gbm,terr+clim,Lena_RU,3037,,23.171,17.963,9.774,-0.2066,21.094,-0.0985,51.995,5.622,,
B,climate_vs_full,AUG,gbm,full,Lena_RU,3037,,88.128,86.281,85.542,-16.455,21.094,-3.1779,127.762,6.844,,
B,physics_vs_ml,BASE,physics_stefan,climate_sqrt_tdd,GTNPenv_OUT,28,,147.64,127.695,-126.833,-2.7663,76.076,-0.9407,47.659,11.263,,
B,physics_vs_ml,BASE,gbm,full,GTNPenv_OUT,29,,144.784,125.222,-125.222,-2.6113,76.189,-0.9003,46.488,11.204,,
B,physics_vs_ml,AUG,physics_stefan,climate_sqrt_tdd,GTNPenv_OUT,28,,148.71,128.867,-128.072,-2.8211,76.076,-0.9548,46.42,11.549,,
B,physics_vs_ml,AUG,gbm,full,GTNPenv_OUT,29,,142.649,120.916,-120.675,-2.5055,76.189,-0.8723,51.036,15.109,,
B,climate_vs_full,BASE,gbm,climate8,GTNPenv_OUT,29,,148.223,127.505,-127.505,-2.7848,76.189,-0.9455,44.205,11.397,,
B,climate_vs_full,BASE,gbm,terr+clim,GTNPenv_OUT,29,,143.094,123.734,-123.734,-2.5274,76.189,-0.8781,47.976,17.344,,
B,climate_vs_full,BASE,gbm,full,GTNPenv_OUT,29,,144.784,125.222,-125.222,-2.6113,76.189,-0.9003,46.488,11.204,,
B,climate_vs_full,AUG,gbm,climate8,GTNPenv_OUT,29,,140.195,118.906,-118.19,-2.386,76.189,-0.8401,53.52,10.38,,
B,climate_vs_full,AUG,gbm,terr+clim,GTNPenv_OUT,29,,141.563,121.986,-121.986,-2.4523,76.189,-0.858,49.724,19.446,,
B,climate_vs_full,AUG,gbm,full,GTNPenv_OUT,29,,142.649,120.916,-120.675,-2.5055,76.189,-0.8723,51.036,15.109,,
B,deep_treatment,as_is,gbm,full,Lena_RU,3037,14386.0,88.128,86.281,85.542,-16.455,21.094,-3.1779,127.762,6.844,,
B,deep_treatment,cap_gt150,gbm,full,Lena_RU,3037,14345.0,25.063,20.564,13.635,-0.4117,21.094,-0.1882,55.856,4.092,,
B,deep_treatment,aoa_gate,gbm,full,Lena_RU,3037,14102.0,48.064,45.676,43.257,-4.192,21.094,-1.2786,85.478,3.534,,
B,deep_treatment,deep_downweight,gbm,full,Lena_RU,3037,14386.0,48.626,46.141,43.792,-4.314,21.094,-1.3052,86.013,5.256,,
