part,set,model,seed,eval_region,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,pred_mean,pred_std,coverage_90,width_90
C,BASE,gbm,0,Lena_RU,3037,21.782,16.467,8.488,-0.0663,21.094,-0.0326,50.708,3.751,,
C,BASE,gbm,1,Lena_RU,3037,23.19,18.173,10.498,-0.2086,21.094,-0.0994,52.719,3.075,,
C,BASE,gbm,7,Lena_RU,3037,23.913,18.849,11.327,-0.2852,21.094,-0.1337,53.547,3.388,,
C,BASE,gbm,42,Lena_RU,3037,23.873,19.055,11.922,-0.2809,21.094,-0.1318,54.142,2.63,,
C,BASE,mlp,0,Lena_RU,3037,24.182,14.063,-2.407,-0.3143,21.094,-0.1464,39.814,14.196,,
C,BASE,mlp,1,Lena_RU,3037,43.529,18.428,-0.423,-3.2584,21.094,-1.0636,41.798,39.898,,
C,BASE,mlp,2,Lena_RU,3037,30.666,17.048,5.988,-1.1136,21.094,-0.4538,48.209,23.671,,
C,+Lena+GTNPenv,gbm,0,Lena_RU,3037,88.128,86.281,85.542,-16.455,21.094,-3.1779,127.762,6.844,,
C,+Lena+GTNPenv,gbm,1,Lena_RU,3037,74.17,71.832,70.305,-11.3638,21.094,-2.5162,112.525,6.056,,
C,+Lena+GTNPenv,gbm,7,Lena_RU,3037,81.623,79.55,78.586,-13.9734,21.094,-2.8695,120.807,6.462,,
C,+Lena+GTNPenv,gbm,42,Lena_RU,3037,87.377,85.432,84.636,-16.1586,21.094,-3.1423,126.856,4.362,,
C,+Lena+GTNPenv,mlp,0,Lena_RU,3037,61.454,59.332,57.58,-7.4877,21.094,-1.9134,99.801,6.176,,
C,+Lena+GTNPenv,mlp,1,Lena_RU,3037,77.486,75.28,74.154,-12.4938,21.094,-2.6734,116.375,10.311,,
C,+Lena+GTNPenv,mlp,2,Lena_RU,3037,73.227,70.937,69.875,-11.0512,21.094,-2.4715,112.095,7.065,,
