part,variant,cv_type,tautology,eval_region,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,pred_mean,pred_std,coverage_90,width_90
A,BASE,spatial_block_AK,,Alaska_all,14348,18.223,14.046,4.254,0.0335,18.536,0.0169,55.378,9.858,,
A,+Lena,spatial_block_AK,,Alaska_all,14348,18.334,13.949,4.073,0.0218,18.536,0.0109,55.197,10.803,,
A,+GTNPenv,spatial_block_AK,,Alaska_all,14348,16.851,12.503,2.634,0.1736,18.536,0.0909,53.757,10.132,,
A,+Lena+GTNPenv,spatial_block_AK,,Alaska_all,14348,20.51,15.97,6.417,-0.2242,18.536,-0.1065,57.54,10.232,,
A,BASE,LORO,identical_to_BASE,Lena_RU,3037,21.782,16.467,8.488,-0.0663,21.094,-0.0326,50.708,3.751,,
A,+Lena,LORO,identical_to_BASE,Lena_RU,3037,21.782,16.467,8.488,-0.0663,21.094,-0.0326,50.708,3.751,,
A,+GTNPenv,LORO,,Lena_RU,3037,88.128,86.281,85.542,-16.455,21.094,-3.1779,127.762,6.844,,
A,+Lena+GTNPenv,LORO,,Lena_RU,3037,88.128,86.281,85.542,-16.455,21.094,-3.1779,127.762,6.844,,
A,BASE,LORO,identical_to_BASE,GTNPenv_OUT,29,144.784,125.222,-125.222,-2.6113,76.189,-0.9003,46.488,11.204,,
A,+Lena,LORO,,GTNPenv_OUT,29,147.06,125.939,-125.939,-2.7257,76.189,-0.9302,45.771,13.846,,
A,+GTNPenv,LORO,,GTNPenv_OUT,29,138.517,118.559,-117.94,-2.3054,76.189,-0.8181,53.77,13.489,,
A,+Lena+GTNPenv,LORO,,GTNPenv_OUT,29,142.649,120.916,-120.675,-2.5055,76.189,-0.8723,51.036,15.109,,
A,BASE,LORO,identical_to_BASE,GTNPenv_US,9,70.305,47.45,-42.203,-0.3677,60.117,-0.1695,55.33,15.257,,
A,+Lena,LORO,,GTNPenv_US,9,69.332,44.912,-43.077,-0.3301,60.117,-0.1533,54.456,14.253,,
A,+GTNPenv,LORO,,GTNPenv_US,9,57.676,40.795,-8.406,0.0796,60.117,0.0406,89.127,29.708,,
A,+Lena+GTNPenv,LORO,,GTNPenv_US,9,56.132,42.867,8.243,0.1282,60.117,0.0663,105.776,48.543,,
A,BASE,LORO,identical_to_BASE,GTNPenv_ALL,38,131.028,106.803,-105.56,-1.7336,79.249,-0.6534,48.582,12.848,,
A,+Lena,LORO,,GTNPenv_ALL,38,132.827,106.749,-106.314,-1.8092,79.249,-0.6761,47.828,14.424,,
A,+GTNPenv,LORO,identical_to_BASE,GTNPenv_ALL,38,131.028,106.803,-105.56,-1.7336,79.249,-0.6534,48.582,12.848,,
A,+Lena+GTNPenv,LORO,,GTNPenv_ALL,38,132.827,106.749,-106.314,-1.8092,79.249,-0.6761,47.828,14.424,,
