model,config,use_phys,use_bh,p_ratio,pseudo_w,stefan,rmse_cm,mae_cm,bias_cm,r2,skill_over_mean,pred_std_cm,n_train_last,n_phys_last
GBM,real_only,False,False,0.0,1.0,const,14.961,10.955,-1.788,0.2591,0.1393,10.487,11828,0
GBM,real+phys_r0.5_w0.3_const,True,False,0.5,0.3,const,15.195,11.381,0.533,0.2358,0.1258,9.416,17742,5914
GBM,real+phys_r0.5_w0.3_strat,True,False,0.5,0.3,strat,14.893,11.044,0.627,0.2659,0.1432,9.563,17742,5914
GBM,real+phys_r0.5_w1.0_const,True,False,0.5,1.0,const,15.121,11.134,0.031,0.2432,0.1301,9.692,17742,0
GBM,real+phys_r0.5_w1.0_strat,True,False,0.5,1.0,strat,14.885,11.026,-0.01,0.2667,0.1437,9.636,17742,0
GBM,real+phys_r1.0_w0.3_const,True,False,1.0,0.3,const,14.263,10.322,-1.995,0.3266,0.1794,11.404,23656,11828
GBM,real+phys_r1.0_w0.3_strat,True,False,1.0,0.3,strat,14.456,10.479,-2.874,0.3083,0.1683,11.341,23656,11828
GBM,real+phys_r1.0_w1.0_const,True,False,1.0,1.0,const,15.005,10.891,-0.058,0.2548,0.1368,10.444,23656,0
GBM,real+phys_r1.0_w1.0_strat,True,False,1.0,1.0,strat,14.473,10.6,0.363,0.3067,0.1673,10.432,23656,0
GBM,real+phys_r2.0_w0.3_const,True,False,2.0,0.3,const,14.218,10.35,-1.969,0.3309,0.182,11.183,23899,12071
GBM,real+phys_r2.0_w0.3_strat,True,False,2.0,0.3,strat,14.457,10.453,-2.642,0.3082,0.1683,10.584,23899,12071
GBM,real+phys_r2.0_w1.0_const,True,False,2.0,1.0,const,14.956,11.031,0.589,0.2597,0.1396,9.476,23899,0
GBM,real+phys_r2.0_w1.0_strat,True,False,2.0,1.0,strat,14.474,10.71,1.4,0.3066,0.1673,10.598,23899,0
GBM,real+borehole,False,True,0.0,0.3,const,15.591,11.431,-1.233,0.1954,0.103,9.368,11843,0
GBM,real+phys+borehole,True,True,1.0,0.3,strat,14.204,10.103,-1.808,0.3322,0.1828,10.271,23671,11843
MLP,real_only,False,False,0.0,1.0,const,13.982,10.238,-1.52,0.3529,0.1956,12.947,11828,0
MLP,real+phys_r0.5_w1.0_const,True,False,0.5,1.0,const,13.991,10.17,-1.073,0.3521,0.1951,12.739,17742,0
MLP,real+phys_r1.0_w1.0_const,True,False,1.0,1.0,const,14.11,10.219,-0.898,0.3411,0.1882,12.294,23656,0
MLP,real+phys_r2.0_w1.0_const,True,False,2.0,1.0,const,14.141,10.324,-1.079,0.3382,0.1865,12.241,23899,0
MLP,real+phys_r1.0_w0.3_const,True,False,1.0,0.3,const,13.857,10.121,-0.745,0.3645,0.2028,12.691,23656,11828
MLP,real+borehole,False,True,0.0,0.3,const,15.255,11.309,-3.624,0.2298,0.1224,15.407,11843,0
MLP,real+phys+borehole,True,True,1.0,0.3,strat,13.916,10.072,-1.244,0.359,0.1994,11.956,23671,11843
FTTransformer,real_only,False,False,0.0,1.0,const,15.25,10.807,-1.478,0.2303,0.1227,12.201,11828,0
FTTransformer,real+phys_r0.5_w1.0_const,True,False,0.5,1.0,const,14.832,10.597,-2.925,0.2719,0.1467,13.533,17742,0
FTTransformer,real+phys_r1.0_w1.0_const,True,False,1.0,1.0,const,15.014,10.554,-3.223,0.2539,0.1362,13.316,23656,0
FTTransformer,real+phys_r2.0_w1.0_const,True,False,2.0,1.0,const,14.389,10.375,-1.078,0.3147,0.1722,13.324,23899,0
FTTransformer,real+phys_r1.0_w0.3_const,True,False,1.0,0.3,const,14.879,10.56,-1.66,0.2672,0.144,12.807,23656,11828
FTTransformer,real+borehole,False,True,0.0,0.3,const,15.147,10.974,0.134,0.2406,0.1286,11.576,11843,0
FTTransformer,real+phys+borehole,True,True,1.0,0.3,strat,14.609,10.308,-1.507,0.2936,0.1595,13.384,23671,11843
TabM,real_only,False,False,0.0,1.0,const,15.375,11.494,-3.589,0.2176,0.1155,15.586,11828,0
TabM,real+phys_r0.5_w1.0_const,True,False,0.5,1.0,const,14.182,10.165,-2.353,0.3343,0.1841,12.225,17742,0
TabM,real+phys_r1.0_w1.0_const,True,False,1.0,1.0,const,14.62,10.528,-2.762,0.2925,0.1589,12.599,23656,0
TabM,real+phys_r2.0_w1.0_const,True,False,2.0,1.0,const,14.563,10.531,-2.08,0.298,0.1622,13.142,23899,0
TabM,real+phys_r1.0_w0.3_const,True,False,1.0,0.3,const,14.338,10.374,-1.743,0.3196,0.1751,12.673,23656,11828
TabM,real+borehole,False,True,0.0,0.3,const,15.574,11.742,-3.677,0.1972,0.104,15.712,11843,0
TabM,real+phys+borehole,True,True,1.0,0.3,strat,14.337,10.375,-3.149,0.3196,0.1752,12.492,23671,11843
