borehole_id,lat,lon,elev_dem,bdod_0-5cm,bdod_5-15cm,bdod_15-30cm,clay_0-5cm,clay_5-15cm,clay_15-30cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,wc_elev,wc_bio1,wc_bio4,wc_bio7,wc_bio12
97,68.627998,-149.595434,721.286254883,0.47,0.62,1.02,21.6,21.2,21.7,37.7,37.4,38.0,365.8,272.9,129.0,837.0,-9.726292,1375.4338,44.9625,245.0
115,70.11653,-143.62855,12.089947701,0.52,0.74,0.91,21.7,20.2,19.1,36.9,37.8,39.4,258.3,164.9,110.5,20.0,-10.996005,1410.8873,46.953423,114.0
830,68.477413,-149.502416,816.350280762,0.63,0.95,1.15,29.1,28.3,29.8,26.3,26.5,26.5,318.2,161.4,99.7,1260.0,-10.499823,1277.8162,40.793,266.0
624,64.86784,-147.78488,136.331741333,0.57,0.71,1.16,11.8,12.6,12.2,14.4,14.5,14.4,232.9,159.7,65.9,239.0,-2.7585313,1401.5613,48.01025,309.0
749,66.450214,-150.618819,394.051055908,0.58,1.0,1.02,12.3,12.1,10.4,34.5,36.3,38.3,230.5,154.8,137.0,475.0,-5.0538645,1407.3185,48.13275,356.0
631,64.32354,-146.6883,250.712493896,0.56,0.74,1.11,11.9,12.2,12.7,24.6,26.7,26.9,205.8,124.8,49.4,306.0,-2.5239167,1319.9543,45.0695,332.0
754,64.778417,-141.180194,277.466430664,0.51,0.82,1.04,12.1,11.8,11.2,21.5,21.6,21.1,131.2,91.5,48.7,602.0,-5.3841043,1443.0016,50.03175,283.0
831,68.069069,-149.580424,968.340454102,0.5,0.88,1.33,31.6,31.6,30.3,13.7,13.9,15.0,332.4,146.6,36.5,1271.0,-9.935198,1260.5938,39.73375,299.0
102,69.674138,-148.720761,120.15032959,0.52,0.8,1.08,24.9,25.0,24.2,18.2,18.6,18.8,327.1,209.4,122.2,102.0,-10.342333,1461.2786,46.3975,172.0
64,70.161283,-148.4653,17.354393005,0.53,0.68,0.9,17.9,15.1,17.7,31.0,31.9,29.8,262.0,133.2,94.6,28.0,-10.927855,1437.4376,45.1885,164.0
117,70.374467,-148.552166,3.131012917,0.44,0.6,0.62,21.5,20.1,19.7,48.6,49.0,50.4,334.7,169.1,218.1,3.0,-11.40115,1400.9987,43.462067,155.0
616,64.874494,-147.848247,171.730010986,0.29,0.42,1.07,10.6,11.5,11.8,17.2,17.1,16.4,242.7,172.1,81.9,270.0,-2.8440626,1386.292,47.47325,302.0
109,69.156459,-148.837404,313.685119629,0.47,0.67,1.16,23.0,22.8,27.9,19.3,20.0,19.1,313.4,163.3,78.1,387.0,-10.031094,1469.0923,47.6655,203.0
630,64.706944,-148.291281,122.379997253,0.4,0.45,0.76,9.7,10.0,9.9,34.4,36.3,39.2,131.0,88.3,20.4,206.0,-2.8335624,1424.1444,48.61475,294.0
615,64.875266,-147.846499,175.730010986,0.45,0.57,1.17,11.2,12.3,12.0,18.5,18.2,17.6,240.9,172.4,81.9,270.0,-2.8440626,1386.292,47.47325,302.0
621,64.85291,-147.85784,139.809997559,0.81,0.98,1.28,15.4,16.0,16.4,11.0,11.0,10.4,150.4,99.0,45.3,270.0,-2.8440626,1386.292,47.47325,302.0
33,71.309033,-156.661517,5.696348667,0.64,0.67,0.68,29.5,26.7,25.0,30.1,31.9,33.5,361.0,223.4,157.4,7.0,-11.9061575,1308.7799,40.1,112.0
620,64.866117,-147.856767,155.529998779,0.63,0.79,1.22,12.4,12.7,11.3,17.7,17.6,18.4,299.2,223.8,106.3,270.0,-2.8440626,1386.292,47.47325,302.0
618,64.867517,-147.858833,154.520004272,0.88,0.95,1.39,10.1,10.1,10.0,24.1,24.4,23.6,291.0,231.6,136.0,270.0,-2.8440626,1386.292,47.47325,302.0
619,64.8669,-147.858383,153.669998169,0.63,0.79,1.22,12.4,12.7,11.3,17.7,17.6,18.4,299.2,223.8,106.3,270.0,-2.8440626,1386.292,47.47325,302.0
88,70.161703,-148.465055,17.205133438,0.53,0.68,0.9,17.9,15.1,17.7,31.0,31.9,29.8,262.0,133.2,94.6,28.0,-10.927855,1437.4376,45.1885,164.0
1110,64.715,-148.2885,130.529998779,0.46,0.59,0.88,9.7,10.1,10.3,25.6,26.3,26.4,122.8,49.6,18.7,206.0,-2.8335624,1424.1444,48.61475,294.0
118,70.37446,-148.55216,3.131012917,0.44,0.6,0.62,21.5,20.1,19.7,48.6,49.0,50.4,334.7,169.1,218.1,3.0,-11.40115,1400.9987,43.462067,155.0
610,64.95061,-147.617694,244.505783081,0.4,0.57,0.99,11.7,11.5,13.1,16.2,16.1,15.4,231.5,144.0,62.4,268.0,-2.7613335,1386.5671,47.742752,322.0
116,69.43303,-148.67385,269.573730469,0.33,0.53,0.84,28.8,28.8,29.0,18.7,18.8,19.1,365.8,285.4,90.5,234.0,-10.2569685,1480.665,47.441,182.0
103,69.67414,-148.720766,120.15032959,0.52,0.8,1.08,24.9,25.0,24.2,18.2,18.6,18.8,327.1,209.4,122.2,102.0,-10.342333,1461.2786,46.3975,172.0
87,70.161528,-148.46557,17.182792664,0.53,0.68,0.9,17.9,15.1,17.7,31.0,31.9,29.8,262.0,133.2,94.6,28.0,-10.927855,1437.4376,45.1885,164.0
106,69.65513,-148.722016,125.160072327,0.55,0.82,1.06,23.8,23.4,23.1,19.5,19.8,19.9,329.9,208.4,114.9,144.0,-10.420605,1485.2612,47.427002,183.0
