tlat,tlon,n
58,-157,15853
58,-156,44907
58,-155,16
59,-156,3845
59,-155,22966
59,-129,4087
59,-128,7415
59,-113,5017
59,-112,57093
60,-157,29553
60,-156,1198
60,-155,27379
60,-154,31775
60,-139,21161
60,-138,47610
60,-137,2068
60,-136,54893
60,-135,25107
60,-131,16114
60,-130,19329
60,-129,26098
60,-128,6957
60,-122,34154
60,-121,86760
60,-114,7255
60,-113,52651
60,-112,21131
61,-165,6307
61,-162,4481
61,-158,6966
61,-157,42283
61,-154,13259
61,-140,3
61,-139,86754
61,-138,2404
61,-119,1192
61,-115,24
61,-114,84565
61,-113,12264
62,-143,1753
62,-140,92
62,-116,1689
62,-115,31
62,-113,32509
63,-153,630
63,-152,20947
63,-151,24274
63,-149,5733
63,-147,1504
63,-144,12177
63,-143,8022
63,-119,8476
63,-118,77041
63,-117,13083
63,-114,14761
63,-113,1827
64,-167,22145
64,-165,356
64,-162,7199
64,-161,42872
64,-160,4878
64,-155,36441
64,-154,30081
64,-152,54
64,-151,140
64,-146,5196
64,-119,863
64,-118,33792
64,-117,14590
64,-114,1298
64,-113,39711
64,-112,19158
65,-166,12174
65,-164,9596
65,-163,32508
65,-162,31979
65,-161,14228
65,-160,21615
65,-157,18856
65,-156,46923
65,-155,14221
65,-126,16951
65,-112,3245
66,-160,10616
66,-159,51093
66,-148,4635
66,-147,30528
66,-145,11104
66,-144,8375
66,-143,928
66,-137,17206
66,-131,1295
66,-130,27013
66,-129,17933
67,-160,12374
67,-159,8436
67,-158,9855
67,-157,2277
67,-150,6907
67,-146,350
67,-145,775
67,-144,7539
67,-143,20373
67,-142,19920
67,-141,40132
67,-137,14588
67,-136,22069
67,-134,1277
67,-132,8859
67,-131,23326
67,-130,1574
68,-163,19516
68,-161,547
68,-157,27548
68,-155,334
68,-140,30852
68,-136,23652
68,-133,26
69,-158,6812
69,-157,16752
69,-134,27584
69,-133,11303
70,-156,36656
70,-155,15965
70,-152,13628
71,-156,1715
