tlat,tlon,n
71,-157,60270
61,-163,42151
69,-149,35684
61,-164,30819
68,-150,29208
64,-148,5947
67,-140,2550
65,-165,2377
64,-166,2331
68,-149,1554
68,-151,1439
70,-149,1113
61,-122,1052
64,-164,812
67,-161,738
63,-150,719
69,-151,616
68,-160,472
65,-149,464
63,-146,432
63,-145,408
67,-151,404
64,-147,402
62,-142,389
60,-118,373
65,-147,370
62,-117,320
64,-149,313
60,-117,210
68,-134,209
68,-162,189
69,-135,110
67,-162,108
61,-117,101
61,-118,95
62,-114,87
68,-159,57
70,-158,43
65,-148,41
65,-172,40
68,-135,38
67,-135,37
65,-127,36
70,-153,32
62,-124,31
66,-151,26
70,-154,24
68,-156,20
69,-153,19
69,-154,19
70,-162,19
69,-155,18
63,-124,16
69,-143,15
69,-145,14
65,-129,14
52,-119,12
70,-157,11
64,-126,11
64,-142,11
65,-150,10
64,-150,10
62,-144,9
69,-159,9
63,-164,8
65,-145,8
62,-164,8
64,-157,7
62,-165,7
68,-145,7
68,-146,7
60,-134,6
66,-146,6
61,-166,6
63,-139,6
64,-156,5
62,-141,5
66,-153,5
67,-147,4
69,-152,1
