cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
noinfo,Lena,0,0,ku_cal,none,0.0,ridge,0.0,22.846,7.624,2958
noinfo,Lena,0,0,ku_cal,none,0.0,ridge,0.25,22.202,3.692,2958
noinfo,Lena,0,0,ku_cal,none,0.0,ridge,0.5,22.399,-0.24,2958
noinfo,Lena,0,0,ku_cal,none,0.0,ridge,0.75,23.414,-4.173,2958
noinfo,Lena,0,0,ku_cal,none,0.0,ridge,1.0,25.149,-8.105,2958
noinfo,Lena,0,1,ku_cal,none,0.0,ridge,0.0,22.846,7.624,2958
noinfo,Lena,0,1,ku_cal,none,0.0,ridge,0.25,22.202,3.692,2958
noinfo,Lena,0,1,ku_cal,none,0.0,ridge,0.5,22.399,-0.24,2958
noinfo,Lena,0,1,ku_cal,none,0.0,ridge,0.75,23.414,-4.173,2958
noinfo,Lena,0,1,ku_cal,none,0.0,ridge,1.0,25.149,-8.105,2958
noinfo,Lena,0,2,ku_cal,none,0.0,ridge,0.0,22.846,7.624,2958
noinfo,Lena,0,2,ku_cal,none,0.0,ridge,0.25,22.202,3.692,2958
noinfo,Lena,0,2,ku_cal,none,0.0,ridge,0.5,22.399,-0.24,2958
noinfo,Lena,0,2,ku_cal,none,0.0,ridge,0.75,23.414,-4.173,2958
noinfo,Lena,0,2,ku_cal,none,0.0,ridge,1.0,25.149,-8.105,2958
noinfo,Lena,0,0,ku_cal,none,0.0,catboost_lo,0.0,22.846,7.624,2958
noinfo,Lena,0,0,ku_cal,none,0.0,catboost_lo,0.25,23.163,8.898,2958
noinfo,Lena,0,0,ku_cal,none,0.0,catboost_lo,0.5,23.587,10.172,2958
noinfo,Lena,0,0,ku_cal,none,0.0,catboost_lo,0.75,24.113,11.446,2958
noinfo,Lena,0,0,ku_cal,none,0.0,catboost_lo,1.0,24.734,12.72,2958
noinfo,Lena,0,1,ku_cal,none,0.0,catboost_lo,0.0,22.846,7.624,2958
