cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
labels,Lena,0,0,none,none,0.0,ridge,1.0,20.146,9.002,1496
labels,Lena,0,1,none,none,0.0,ridge,1.0,20.146,9.002,1496
labels,Lena,0,2,none,none,0.0,ridge,1.0,20.146,9.002,1496
labels,Lena,0,0,none,none,0.0,mlp,1.0,15.513,4.872,1496
labels,Lena,0,1,none,none,0.0,mlp,1.0,16.188,6.392,1496
labels,Lena,0,2,none,none,0.0,mlp,1.0,15.183,5.249,1496
labels,Lena,0,0,stefan,none,0.0,catboost_lo,0.0,15.976,6.953,1496
labels,Lena,0,0,stefan,none,0.0,catboost_lo,0.25,15.063,5.612,1496
labels,Lena,0,0,stefan,none,0.0,catboost_lo,0.5,14.605,4.272,1496
labels,Lena,0,0,stefan,none,0.0,catboost_lo,0.75,14.646,2.931,1496
labels,Lena,0,0,stefan,none,0.0,catboost_lo,1.0,15.182,1.59,1496
labels,Lena,0,1,stefan,none,0.0,catboost_lo,0.0,15.976,6.953,1496
labels,Lena,0,1,stefan,none,0.0,catboost_lo,0.25,15.08,5.321,1496
labels,Lena,0,1,stefan,none,0.0,catboost_lo,0.5,14.716,3.688,1496
labels,Lena,0,1,stefan,none,0.0,catboost_lo,0.75,14.923,2.056,1496
labels,Lena,0,1,stefan,none,0.0,catboost_lo,1.0,15.678,0.423,1496
labels,Lena,0,2,stefan,none,0.0,catboost_lo,0.0,15.976,6.953,1496
labels,Lena,0,2,stefan,none,0.0,catboost_lo,0.25,15.166,5.83,1496
labels,Lena,0,2,stefan,none,0.0,catboost_lo,0.5,14.837,4.706,1496
labels,Lena,0,2,stefan,none,0.0,catboost_lo,0.75,15.021,3.582,1496
labels,Lena,0,2,stefan,none,0.0,catboost_lo,1.0,15.7,2.458,1496
labels,Lena,0,0,cci_cal,none,0.0,ridge,0.0,15.501,5.447,1496
labels,Lena,0,0,cci_cal,none,0.0,ridge,0.25,16.33,6.303,1496
labels,Lena,0,0,cci_cal,none,0.0,ridge,0.5,17.383,7.159,1496
labels,Lena,0,0,cci_cal,none,0.0,ridge,0.75,18.624,8.015,1496
labels,Lena,0,0,cci_cal,none,0.0,ridge,1.0,20.017,8.87,1496
labels,Lena,0,1,cci_cal,none,0.0,ridge,0.0,15.501,5.447,1496
labels,Lena,0,1,cci_cal,none,0.0,ridge,0.25,16.33,6.303,1496
labels,Lena,0,1,cci_cal,none,0.0,ridge,0.5,17.383,7.159,1496
labels,Lena,0,1,cci_cal,none,0.0,ridge,0.75,18.624,8.015,1496
labels,Lena,0,1,cci_cal,none,0.0,ridge,1.0,20.017,8.87,1496
labels,Lena,0,2,cci_cal,none,0.0,ridge,0.0,15.501,5.447,1496
labels,Lena,0,2,cci_cal,none,0.0,ridge,0.25,16.33,6.303,1496
labels,Lena,0,2,cci_cal,none,0.0,ridge,0.5,17.383,7.159,1496
labels,Lena,0,2,cci_cal,none,0.0,ridge,0.75,18.624,8.015,1496
labels,Lena,0,2,cci_cal,none,0.0,ridge,1.0,20.017,8.87,1496
labels,Lena,0,0,cci_cal,none,0.0,mlp,0.0,15.501,5.447,1496
labels,Lena,0,0,cci_cal,none,0.0,mlp,0.25,15.464,5.368,1496
labels,Lena,0,0,cci_cal,none,0.0,mlp,0.5,15.568,5.289,1496
labels,Lena,0,0,cci_cal,none,0.0,mlp,0.75,15.81,5.209,1496
labels,Lena,0,0,cci_cal,none,0.0,mlp,1.0,16.185,5.13,1496
labels,Lena,0,1,cci_cal,none,0.0,mlp,0.0,15.501,5.447,1496
labels,Lena,0,1,cci_cal,none,0.0,mlp,0.25,15.76,6.07,1496
labels,Lena,0,1,cci_cal,none,0.0,mlp,0.5,16.166,6.693,1496
labels,Lena,0,1,cci_cal,none,0.0,mlp,0.75,16.709,7.316,1496
labels,Lena,0,1,cci_cal,none,0.0,mlp,1.0,17.375,7.939,1496
labels,Lena,0,2,cci_cal,none,0.0,mlp,0.0,15.501,5.447,1496
labels,Lena,0,2,cci_cal,none,0.0,mlp,0.25,15.338,5.375,1496
labels,Lena,0,2,cci_cal,none,0.0,mlp,0.5,15.278,5.303,1496
labels,Lena,0,2,cci_cal,none,0.0,mlp,0.75,15.322,5.231,1496
labels,Lena,0,2,cci_cal,none,0.0,mlp,1.0,15.47,5.159,1496
labels,Lena,0,0,stefan_cci,none,0.0,catboost_lo,0.0,14.567,-0.031,1496
labels,Lena,0,0,stefan_cci,none,0.0,catboost_lo,0.25,14.129,1.035,1496
labels,Lena,0,0,stefan_cci,none,0.0,catboost_lo,0.5,14.155,2.101,1496
labels,Lena,0,0,stefan_cci,none,0.0,catboost_lo,0.75,14.643,3.168,1496
labels,Lena,0,0,stefan_cci,none,0.0,catboost_lo,1.0,15.549,4.234,1496
labels,Lena,0,1,stefan_cci,none,0.0,catboost_lo,0.0,14.567,-0.031,1496
labels,Lena,0,1,stefan_cci,none,0.0,catboost_lo,0.25,14.249,1.109,1496
labels,Lena,0,1,stefan_cci,none,0.0,catboost_lo,0.5,14.334,2.248,1496
labels,Lena,0,1,stefan_cci,none,0.0,catboost_lo,0.75,14.813,3.388,1496
labels,Lena,0,1,stefan_cci,none,0.0,catboost_lo,1.0,15.652,4.528,1496
labels,Lena,0,2,stefan_cci,none,0.0,catboost_lo,0.0,14.567,-0.031,1496
labels,Lena,0,2,stefan_cci,none,0.0,catboost_lo,0.25,14.108,0.65,1496
labels,Lena,0,2,stefan_cci,none,0.0,catboost_lo,0.5,13.916,1.332,1496
labels,Lena,0,2,stefan_cci,none,0.0,catboost_lo,0.75,14.0,2.014,1496
labels,Lena,0,2,stefan_cci,none,0.0,catboost_lo,1.0,14.357,2.695,1496
labels,Lena,0,0,stefan_soil,none,0.0,ridge,0.0,15.193,5.777,1496
labels,Lena,0,0,stefan_soil,none,0.0,ridge,0.25,15.919,6.438,1496
labels,Lena,0,0,stefan_soil,none,0.0,ridge,0.5,16.904,7.1,1496
labels,Lena,0,0,stefan_soil,none,0.0,ridge,0.75,18.104,7.761,1496
labels,Lena,0,0,stefan_soil,none,0.0,ridge,1.0,19.481,8.422,1496
labels,Lena,0,1,stefan_soil,none,0.0,ridge,0.0,15.193,5.777,1496
labels,Lena,0,1,stefan_soil,none,0.0,ridge,0.25,15.919,6.438,1496
labels,Lena,0,1,stefan_soil,none,0.0,ridge,0.5,16.904,7.1,1496
labels,Lena,0,1,stefan_soil,none,0.0,ridge,0.75,18.104,7.761,1496
labels,Lena,0,1,stefan_soil,none,0.0,ridge,1.0,19.481,8.422,1496
labels,Lena,0,2,stefan_soil,none,0.0,ridge,0.0,15.193,5.777,1496
labels,Lena,0,2,stefan_soil,none,0.0,ridge,0.25,15.919,6.438,1496
labels,Lena,0,2,stefan_soil,none,0.0,ridge,0.5,16.904,7.1,1496
labels,Lena,0,2,stefan_soil,none,0.0,ridge,0.75,18.104,7.761,1496
labels,Lena,0,2,stefan_soil,none,0.0,ridge,1.0,19.481,8.422,1496
labels,Lena,0,0,stefan_soil,none,0.0,mlp,0.0,15.193,5.777,1496
labels,Lena,0,0,stefan_soil,none,0.0,mlp,0.25,15.307,6.046,1496
labels,Lena,0,0,stefan_soil,none,0.0,mlp,0.5,15.563,6.315,1496
labels,Lena,0,0,stefan_soil,none,0.0,mlp,0.75,15.952,6.583,1496
labels,Lena,0,0,stefan_soil,none,0.0,mlp,1.0,16.466,6.852,1496
labels,Lena,0,1,stefan_soil,none,0.0,mlp,0.0,15.193,5.777,1496
labels,Lena,0,1,stefan_soil,none,0.0,mlp,0.25,15.095,5.57,1496
labels,Lena,0,1,stefan_soil,none,0.0,mlp,0.5,15.104,5.363,1496
labels,Lena,0,1,stefan_soil,none,0.0,mlp,0.75,15.218,5.156,1496
labels,Lena,0,1,stefan_soil,none,0.0,mlp,1.0,15.436,4.949,1496
labels,Lena,0,2,stefan_soil,none,0.0,mlp,0.0,15.193,5.777,1496
labels,Lena,0,2,stefan_soil,none,0.0,mlp,0.25,14.897,5.297,1496
labels,Lena,0,2,stefan_soil,none,0.0,mlp,0.5,14.718,4.817,1496
labels,Lena,0,2,stefan_soil,none,0.0,mlp,0.75,14.657,4.337,1496
labels,Lena,0,2,stefan_soil,none,0.0,mlp,1.0,14.718,3.857,1496
labels,Lena,0,0,stefan_soil_cci,none,0.0,catboost_lo,0.0,14.392,-0.62,1496
labels,Lena,0,0,stefan_soil_cci,none,0.0,catboost_lo,0.25,13.842,0.442,1496
labels,Lena,0,0,stefan_soil_cci,none,0.0,catboost_lo,0.5,13.815,1.505,1496
labels,Lena,0,0,stefan_soil_cci,none,0.0,catboost_lo,0.75,14.314,2.567,1496
labels,Lena,0,0,stefan_soil_cci,none,0.0,catboost_lo,1.0,15.286,3.629,1496
labels,Lena,0,1,stefan_soil_cci,none,0.0,catboost_lo,0.0,14.392,-0.62,1496
labels,Lena,0,1,stefan_soil_cci,none,0.0,catboost_lo,0.25,13.96,0.287,1496
labels,Lena,0,1,stefan_soil_cci,none,0.0,catboost_lo,0.5,13.943,1.193,1496
