cv,method,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region
spatial_block_AK,MEAN,0,13606,19.449,15.862,1.453,-0.252,17.382,-0.1189,,,
spatial_block_AK,IDW,0,13606,15.8,10.865,0.785,0.1737,17.382,0.091,,,
spatial_block_AK,OK,0,13606,15.773,10.82,0.092,0.1765,17.382,0.0926,,,
spatial_block_AK,GBM,0,13606,17.619,13.762,4.804,-0.0274,17.382,-0.0136,,,
spatial_block_AK,GBM,1,13606,17.838,14.011,4.742,-0.0532,17.382,-0.0263,,,
spatial_block_AK,GBM,2,13606,17.748,13.855,5.221,-0.0426,17.382,-0.0211,,,
spatial_block_AK,RK,0,13606,16.066,12.207,-5.587,0.1457,17.382,0.0757,,,
spatial_block_AK,RK,1,13606,18.044,13.933,4.275,-0.0776,17.382,-0.0381,,,
spatial_block_AK,RK,2,13606,17.584,13.657,4.675,-0.0234,17.382,-0.0116,,,
spatial_block_AK,STEF,0,13606,14.457,10.731,-0.993,0.3083,17.382,0.1683,,,
LORO,MEAN,0,742,33.849,23.894,-13.869,-0.2018,30.877,-0.0962,,,Canada
LORO,MEAN,0,13606,17.655,13.426,-3.096,-0.0317,17.382,-0.0157,,,Alaska
LORO,MEAN,0,3037,23.002,17.686,9.172,-0.1891,21.094,-0.0904,,,Lena
LORO_gate,MEAN,0,3,24.835333333333335,,,,,,,,UNWEIGHTED_MEAN
LORO,IDW,0,742,38.593,32.463,4.96,-0.5623,30.877,-0.2499,,,Canada
LORO,IDW,0,13606,29.377,24.302,12.708,-1.8564,17.382,-0.6901,,,Alaska
LORO,IDW,0,3037,84.802,82.839,82.107,-15.1621,21.094,-3.0202,,,Lena
LORO_gate,IDW,0,3,50.924,,,,,,,,UNWEIGHTED_MEAN
LORO,OK,0,742,35.417,26.562,-14.346,-0.3157,30.877,-0.147,,,Canada
LORO,OK,0,13606,30.491,23.979,12.826,-2.0772,17.382,-0.7542,,,Alaska
LORO,OK,0,3037,22.297,16.449,6.855,-0.1174,21.094,-0.0571,,,Lena
LORO_gate,OK,0,3,29.401666666666667,,,,,,,,UNWEIGHTED_MEAN
LORO,GBM,0,742,35.947,27.804,21.416,-0.3553,30.877,-0.1642,,,Canada
LORO,GBM,0,13606,33.358,26.179,12.759,-2.683,17.382,-0.9191,,,Alaska
LORO,GBM,0,3037,52.871,48.823,46.096,-5.2825,21.094,-1.5065,,,Lena
LORO_gate,GBM,0,3,40.72533333333334,,,,,,,,UNWEIGHTED_MEAN
LORO,GBM,1,742,39.799,30.092,23.971,-0.6614,30.877,-0.289,,,Canada
LORO,GBM,1,13606,33.358,26.179,12.759,-2.683,17.382,-0.9191,,,Alaska
LORO,GBM,1,3037,46.849,43.133,40.303,-3.9327,21.094,-1.221,,,Lena
LORO_gate,GBM,1,3,40.002,,,,,,,,UNWEIGHTED_MEAN
LORO,GBM,2,742,48.73,35.299,29.963,-1.4907,30.877,-0.5782,,,Canada
LORO,GBM,2,13606,33.358,26.179,12.759,-2.683,17.382,-0.9191,,,Alaska
LORO,GBM,2,3037,48.067,44.432,41.864,-4.1926,21.094,-1.2787,,,Lena
LORO_gate,GBM,2,3,43.385,,,,,,,,UNWEIGHTED_MEAN
LORO,RK,0,742,37.752,30.73,25.456,-0.4949,30.877,-0.2227,,,Canada
LORO,RK,0,13606,34.806,28.32,10.899,-3.0098,17.382,-1.0024,,,Alaska
LORO,RK,0,3037,42.339,38.499,33.661,-3.0287,21.094,-1.0072,,,Lena
LORO_gate,RK,0,3,38.299,,,,,,,,UNWEIGHTED_MEAN
LORO,RK,1,742,37.726,27.967,19.558,-0.4929,30.877,-0.2218,,,Canada
LORO,RK,1,13606,34.671,28.155,10.923,-2.9787,17.382,-0.9947,,,Alaska
LORO,RK,1,3037,23.775,16.898,2.804,-0.2704,21.094,-0.1271,,,Lena
LORO_gate,RK,1,3,32.05733333333333,,,,,,,,UNWEIGHTED_MEAN
LORO,RK,2,742,49.783,37.473,33.336,-1.5995,30.877,-0.6123,,,Canada
LORO,RK,2,13606,34.455,27.887,10.965,-2.9293,17.382,-0.9822,,,Alaska
LORO,RK,2,3037,31.416,27.487,21.01,-1.2182,21.094,-0.4893,,,Lena
LORO_gate,RK,2,3,38.55133333333333,,,,,,,,UNWEIGHTED_MEAN
LORO,STEF,0,742,27.469,21.408,1.273,0.2085,30.877,0.1104,,,Canada
LORO,STEF,0,13606,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,Alaska
LORO,STEF,0,3037,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,Lena
LORO_gate,STEF,0,3,21.264333333333333,,,,,,,,UNWEIGHTED_MEAN
