cv,method,model,psill,range_km,nugget,sill,n_fit
spatial_block_AK,OK,spherical,293.60837254161106,464.9150178463648,143.2045450566088,436.8129175982199,2500
spatial_block_AK,OK,spherical,268.0699893598625,942.8260229312552,135.0869790013976,403.1569683612601,2500
spatial_block_AK,OK,spherical,252.56375498942768,775.6149507124927,99.50647575754189,352.07023074696957,2500
spatial_block_AK,OK,spherical,328.87704733804225,1148.4602813393,141.73268164970864,470.6097289877509,2500
spatial_block_AK,OK,spherical,309.50783096477323,855.9252363489734,137.77164421272346,447.2794751774967,2500
spatial_block_AK,OK,spherical,394.44540268174325,1146.726500658189,60.45766552631735,454.9030682080606,2500
spatial_block_AK,RK,spherical,17.066706648926417,531.1969553579258,50.76163261898927,67.82833926791568,2500
spatial_block_AK,RK,spherical,41.83812814018016,82.7358007808898,26.782663637901393,68.62079177808155,2500
spatial_block_AK,RK,spherical,28.904180769533752,753.330569723975,35.767212751034776,64.67139352056853,2500
spatial_block_AK,RK,spherical,53.29709480179858,327.04999119808093,42.27181011523048,95.56890491702906,2500
spatial_block_AK,RK,spherical,37.98325602878478,641.6581940875564,43.97583114813476,81.95908717691954,2500
spatial_block_AK,RK,spherical,4.31311009079056,149.9877753612526,34.46126737591584,38.7743774667064,2500
LORO_Canada,OK,spherical,10545.911201672448,8766.719085677933,2.9009712693563e-09,10545.91120167535,2500
LORO_Alaska,OK,spherical,11342.391314602744,3321.253418059984,0.00011759059808897852,11342.391432193343,2500
LORO_Lena,OK,spherical,17265.850658622727,9762.840237533797,1.3050530357557004e-08,17265.850658635776,2500
LORO_Canada,RK,spherical,134.62067596440707,5465.762763244098,44.48414319295353,179.1048191573606,2500
LORO_Alaska,RK,spherical,677.6553082004729,3144.1724463941514,32.975144529828796,710.6304527303016,2500
LORO_Lena,RK,spherical,1372.8891281954739,9762.840237533797,7.794999216482301,1380.684127411956,2500
