cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
covonly,Canada,cci_cal,cci,10.0,catboost_lo,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,cci,10.0,catboost_lo,0.25,29.355,-4.327333333333333,370,1,3
covonly,Canada,cci_cal,cci,10.0,catboost_lo,0.5,29.208333333333332,-0.4526666666666667,370,1,3
covonly,Canada,cci_cal,cci,10.0,catboost_lo,0.75,29.995666666666665,3.422,370,1,3
covonly,Canada,cci_cal,cci,10.0,catboost_lo,1.0,31.646666666666665,7.297,370,1,3
covonly,Canada,cci_cal,cci,10.0,mlp,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,cci,10.0,mlp,0.25,29.49,-3.9143333333333334,370,1,3
covonly,Canada,cci_cal,cci,10.0,mlp,0.5,29.736666666666668,0.37366666666666665,370,1,3
covonly,Canada,cci_cal,cci,10.0,mlp,0.75,31.133,4.661333333333333,370,1,3
covonly,Canada,cci_cal,cci,10.0,mlp,1.0,33.536,8.949,370,1,3
covonly,Canada,cci_cal,cci,10.0,ridge,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,cci,10.0,ridge,0.25,29.614333333333335,-3.497666666666667,370,1,3
covonly,Canada,cci_cal,cci,10.0,ridge,0.5,30.241333333333333,1.207,370,1,3
covonly,Canada,cci_cal,cci,10.0,ridge,0.75,32.21966666666667,5.911333333333334,370,1,3
covonly,Canada,cci_cal,cci,10.0,ridge,1.0,35.32233333333333,10.615666666666668,370,1,3
covonly,Canada,cci_cal,const,10.0,catboost_lo,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,const,10.0,catboost_lo,0.25,32.18666666666667,-12.046333333333335,370,1,3
covonly,Canada,cci_cal,const,10.0,catboost_lo,0.5,34.522333333333336,-15.890333333333333,370,1,3
covonly,Canada,cci_cal,const,10.0,catboost_lo,0.75,37.32,-19.734666666666666,370,1,3
covonly,Canada,cci_cal,const,10.0,catboost_lo,1.0,40.485,-23.578666666666667,370,1,3
covonly,Canada,cci_cal,const,10.0,mlp,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,const,10.0,mlp,0.25,32.33266666666666,-12.521333333333333,370,1,3
covonly,Canada,cci_cal,const,10.0,mlp,0.5,34.99966666666666,-16.840666666666667,370,1,3
covonly,Canada,cci_cal,const,10.0,mlp,0.75,38.26533333333333,-21.16,370,1,3
covonly,Canada,cci_cal,const,10.0,mlp,1.0,41.989,-25.479333333333333,370,1,3
covonly,Canada,cci_cal,const,10.0,ridge,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,const,10.0,ridge,0.25,31.846333333333334,-12.292333333333334,370,1,3
covonly,Canada,cci_cal,const,10.0,ridge,0.5,34.022,-16.382666666666665,370,1,3
covonly,Canada,cci_cal,const,10.0,ridge,0.75,36.815666666666665,-20.47266666666667,370,1,3
covonly,Canada,cci_cal,const,10.0,ridge,1.0,40.09866666666667,-24.56233333333333,370,1,3
covonly,Canada,cci_cal,none,0.0,catboost_lo,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,none,0.0,catboost_lo,0.25,30.69633333333333,-8.812666666666667,370,1,3
covonly,Canada,cci_cal,none,0.0,catboost_lo,0.5,31.123,-9.422666666666666,370,1,3
covonly,Canada,cci_cal,none,0.0,catboost_lo,0.75,31.695666666666668,-10.033666666666667,370,1,3
covonly,Canada,cci_cal,none,0.0,catboost_lo,1.0,32.406,-10.644,370,1,3
covonly,Canada,cci_cal,none,0.0,mlp,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,none,0.0,mlp,0.25,30.252,-9.343000000000002,370,1,3
covonly,Canada,cci_cal,none,0.0,mlp,0.5,30.343,-10.483333333333334,370,1,3
covonly,Canada,cci_cal,none,0.0,mlp,0.75,30.689999999999998,-11.624333333333333,370,1,3
covonly,Canada,cci_cal,none,0.0,mlp,1.0,31.284666666666666,-12.764666666666665,370,1,3
covonly,Canada,cci_cal,none,0.0,ridge,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,none,0.0,ridge,0.25,32.135,-13.713,370,1,3
covonly,Canada,cci_cal,none,0.0,ridge,0.5,34.914,-19.224,370,1,3
covonly,Canada,cci_cal,none,0.0,ridge,0.75,38.529,-24.733999999999998,370,1,3
covonly,Canada,cci_cal,none,0.0,ridge,1.0,42.768,-30.245,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,catboost_lo,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,catboost_lo,0.25,31.778000000000002,-9.918999999999999,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,catboost_lo,0.5,33.51,-11.636333333333333,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,catboost_lo,0.75,35.562333333333335,-13.353333333333333,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,catboost_lo,1.0,37.88366666666667,-15.070666666666668,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,mlp,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,mlp,0.25,31.221333333333334,-9.467,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,mlp,0.5,32.38933333333333,-10.732,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,mlp,0.75,33.88766666666667,-11.996666666666668,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,mlp,1.0,35.67366666666667,-13.261666666666665,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,ridge,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,ridge,0.25,30.701333333333334,-8.947666666666667,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,ridge,0.5,31.329666666666668,-9.693666666666667,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,ridge,0.75,32.28633333333333,-10.439333333333334,370,1,3
covonly,Canada,cci_cal,shuffle,10.0,ridge,1.0,33.54266666666667,-11.185666666666668,370,1,3
covonly,Canada,cci_cal,stefan,10.0,catboost_lo,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,stefan,10.0,catboost_lo,0.25,30.798666666666666,-8.622,370,1,3
covonly,Canada,cci_cal,stefan,10.0,catboost_lo,0.5,31.314333333333334,-9.042666666666667,370,1,3
covonly,Canada,cci_cal,stefan,10.0,catboost_lo,0.75,31.962666666666667,-9.462666666666665,370,1,3
covonly,Canada,cci_cal,stefan,10.0,catboost_lo,1.0,32.736,-9.883333333333333,370,1,3
covonly,Canada,cci_cal,stefan,10.0,mlp,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,stefan,10.0,mlp,0.25,30.547666666666668,-8.625333333333332,370,1,3
covonly,Canada,cci_cal,stefan,10.0,mlp,0.5,30.81566666666667,-9.049,370,1,3
covonly,Canada,cci_cal,stefan,10.0,mlp,0.75,31.222333333333335,-9.472333333333333,370,1,3
covonly,Canada,cci_cal,stefan,10.0,mlp,1.0,31.762,-9.896,370,1,3
covonly,Canada,cci_cal,stefan,10.0,ridge,0.0,30.422,-8.202,370,1,3
covonly,Canada,cci_cal,stefan,10.0,ridge,0.25,29.924666666666667,-8.104,370,1,3
