cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
noinfo,Alps,cci_cal,none,0.0,catboost_lo,0.0,335.899,-324.706,8,1,3
noinfo,Alps,cci_cal,none,0.0,catboost_lo,0.25,335.40333333333336,-324.28000000000003,8,1,3
noinfo,Alps,cci_cal,none,0.0,catboost_lo,0.5,334.91166666666663,-323.8543333333334,8,1,3
noinfo,Alps,cci_cal,none,0.0,catboost_lo,0.75,334.4256666666667,-323.42833333333334,8,1,3
noinfo,Alps,cci_cal,none,0.0,catboost_lo,1.0,333.94433333333336,-323.002,8,1,3
noinfo,Alps,cci_cal,none,0.0,mlp,0.0,335.899,-324.706,8,1,3
noinfo,Alps,cci_cal,none,0.0,mlp,0.25,371.001,-351.86266666666666,8,1,3
noinfo,Alps,cci_cal,none,0.0,mlp,0.5,417.926,-379.019,8,1,3
noinfo,Alps,cci_cal,none,0.0,mlp,0.75,473.15000000000003,-406.176,8,1,3
noinfo,Alps,cci_cal,none,0.0,mlp,1.0,534.1146666666667,-433.3326666666667,8,1,3
noinfo,Alps,cci_cal,none,0.0,ridge,0.0,335.899,-324.706,8,1,3
noinfo,Alps,cci_cal,none,0.0,ridge,0.25,442.853,-400.26500000000004,8,1,3
noinfo,Alps,cci_cal,none,0.0,ridge,0.5,583.133,-475.824,8,1,3
noinfo,Alps,cci_cal,none,0.0,ridge,0.75,737.973,-551.383,8,1,3
noinfo,Alps,cci_cal,none,0.0,ridge,1.0,899.889,-626.942,8,1,3
noinfo,Alps,ku_cal,none,0.0,catboost_lo,0.0,333.941,-324.134,8,1,3
noinfo,Alps,ku_cal,none,0.0,catboost_lo,0.25,335.4363333333333,-325.7093333333333,8,1,3
noinfo,Alps,ku_cal,none,0.0,catboost_lo,0.5,336.935,-327.2846666666667,8,1,3
noinfo,Alps,ku_cal,none,0.0,catboost_lo,0.75,338.4376666666667,-328.86,8,1,3
noinfo,Alps,ku_cal,none,0.0,catboost_lo,1.0,339.943,-330.4356666666667,8,1,3
noinfo,Alps,ku_cal,none,0.0,mlp,0.0,333.941,-324.134,8,1,3
noinfo,Alps,ku_cal,none,0.0,mlp,0.25,374.91966666666667,-356.52400000000006,8,1,3
noinfo,Alps,ku_cal,none,0.0,mlp,0.5,428.78299999999996,-388.91433333333333,8,1,3
noinfo,Alps,ku_cal,none,0.0,mlp,0.75,490.66833333333335,-421.305,8,1,3
noinfo,Alps,ku_cal,none,0.0,mlp,1.0,557.6806666666666,-453.695,8,1,3
noinfo,Alps,ku_cal,none,0.0,ridge,0.0,333.941,-324.134,8,1,3
noinfo,Alps,ku_cal,none,0.0,ridge,0.25,513.543,-444.799,8,1,3
noinfo,Alps,ku_cal,none,0.0,ridge,0.5,744.821,-565.465,8,1,3
noinfo,Alps,ku_cal,none,0.0,ridge,0.75,992.276,-686.13,8,1,3
noinfo,Alps,ku_cal,none,0.0,ridge,1.0,1246.31,-806.7959999999999,8,1,3
noinfo,Alps,none,none,0.0,catboost_lo,1.0,332.9186666666667,-322.88733333333334,8,1,3
noinfo,Alps,none,none,0.0,mlp,1.0,356.86133333333333,-339.8906666666667,8,1,3
noinfo,Alps,none,none,0.0,ridge,1.0,896.715,-625.364,8,1,3
noinfo,Alps,stefan,none,0.0,catboost_lo,0.0,333.941,-324.134,8,1,3
noinfo,Alps,stefan,none,0.0,catboost_lo,0.25,333.469,-323.6666666666667,8,1,3
noinfo,Alps,stefan,none,0.0,catboost_lo,0.5,332.9986666666667,-323.1993333333333,8,1,3
noinfo,Alps,stefan,none,0.0,catboost_lo,0.75,332.53000000000003,-322.73266666666666,8,1,3
noinfo,Alps,stefan,none,0.0,catboost_lo,1.0,332.06266666666664,-322.26533333333333,8,1,3
noinfo,Alps,stefan,none,0.0,mlp,0.0,333.941,-324.134,8,1,3
noinfo,Alps,stefan,none,0.0,mlp,0.25,363.211,-347.25666666666666,8,1,3
noinfo,Alps,stefan,none,0.0,mlp,0.5,402.7033333333334,-370.3796666666667,8,1,3
noinfo,Alps,stefan,none,0.0,mlp,0.75,449.564,-393.503,8,1,3
noinfo,Alps,stefan,none,0.0,mlp,1.0,501.6613333333333,-416.626,8,1,3
noinfo,Alps,stefan,none,0.0,ridge,0.0,333.941,-324.134,8,1,3
noinfo,Alps,stefan,none,0.0,ridge,0.25,442.721,-401.095,8,1,3
noinfo,Alps,stefan,none,0.0,ridge,0.5,586.122,-478.055,8,1,3
noinfo,Alps,stefan,none,0.0,ridge,0.75,744.398,-555.016,8,1,3
noinfo,Alps,stefan,none,0.0,ridge,1.0,909.819,-631.977,8,1,3
noinfo,Alps,stefan_cci,none,0.0,catboost_lo,0.0,336.018,-324.728,8,1,3
noinfo,Alps,stefan_cci,none,0.0,catboost_lo,0.25,335.9446666666667,-324.785,8,1,3
noinfo,Alps,stefan_cci,none,0.0,catboost_lo,0.5,335.88033333333334,-324.84166666666664,8,1,3
noinfo,Alps,stefan_cci,none,0.0,catboost_lo,0.75,335.8256666666667,-324.89799999999997,8,1,3
noinfo,Alps,stefan_cci,none,0.0,catboost_lo,1.0,335.78133333333335,-324.9546666666667,8,1,3
noinfo,Alps,stefan_cci,none,0.0,mlp,0.0,336.018,-324.728,8,1,3
noinfo,Alps,stefan_cci,none,0.0,mlp,0.25,379.79733333333337,-357.79133333333334,8,1,3
noinfo,Alps,stefan_cci,none,0.0,mlp,0.5,436.58,-390.8546666666667,8,1,3
noinfo,Alps,stefan_cci,none,0.0,mlp,0.75,501.77700000000004,-423.91799999999995,8,1,3
noinfo,Alps,stefan_cci,none,0.0,mlp,1.0,572.4566666666666,-456.98133333333334,8,1,3
noinfo,Alps,stefan_cci,none,0.0,ridge,0.0,336.018,-324.728,8,1,3
noinfo,Alps,stefan_cci,none,0.0,ridge,0.25,445.578,-401.176,8,1,3
noinfo,Alps,stefan_cci,none,0.0,ridge,0.5,587.681,-477.623,8,1,3
noinfo,Alps,stefan_cci,none,0.0,ridge,0.75,743.9050000000001,-554.071,8,1,3
noinfo,Alps,stefan_cci,none,0.0,ridge,1.0,906.982,-630.518,8,1,3
noinfo,Alps,stefan_ku,none,0.0,catboost_lo,0.0,333.941,-324.134,8,1,3
noinfo,Alps,stefan_ku,none,0.0,catboost_lo,0.25,334.2823333333333,-324.49466666666666,8,1,3
noinfo,Alps,stefan_ku,none,0.0,catboost_lo,0.5,334.625,-324.85566666666665,8,1,3
noinfo,Alps,stefan_ku,none,0.0,catboost_lo,0.75,334.969,-325.2163333333333,8,1,3
noinfo,Alps,stefan_ku,none,0.0,catboost_lo,1.0,335.3143333333333,-325.57733333333334,8,1,3
noinfo,Alps,stefan_ku,none,0.0,mlp,0.0,333.941,-324.134,8,1,3
noinfo,Alps,stefan_ku,none,0.0,mlp,0.25,366.896,-349.17533333333336,8,1,3
noinfo,Alps,stefan_ku,none,0.0,mlp,0.5,411.36633333333333,-374.2166666666667,8,1,3
noinfo,Alps,stefan_ku,none,0.0,mlp,0.75,462.66833333333335,-399.258,8,1,3
noinfo,Alps,stefan_ku,none,0.0,mlp,1.0,518.244,-424.2993333333334,8,1,3
noinfo,Alps,stefan_ku,none,0.0,ridge,0.0,333.941,-324.134,8,1,3
noinfo,Alps,stefan_ku,none,0.0,ridge,0.25,477.50600000000003,-422.94800000000004,8,1,3
noinfo,Alps,stefan_ku,none,0.0,ridge,0.5,664.634,-521.762,8,1,3
noinfo,Alps,stefan_ku,none,0.0,ridge,0.75,867.58,-620.576,8,1,3
noinfo,Alps,stefan_ku,none,0.0,ridge,1.0,1077.443,-719.39,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,catboost_lo,0.0,335.104,-324.53,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,catboost_lo,0.25,335.18966666666665,-324.68966666666665,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,catboost_lo,0.5,335.2796666666666,-324.849,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,catboost_lo,0.75,335.3736666666667,-325.00866666666667,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,catboost_lo,1.0,335.4723333333333,-325.16766666666666,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,mlp,0.0,335.104,-324.53,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,mlp,0.25,378.266,-357.0173333333334,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,mlp,0.5,434.80466666666666,-389.5043333333333,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,mlp,0.75,499.09233333333333,-421.9916666666666,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,mlp,1.0,568.054,-454.479,8,1,3
noinfo,Alps,stefan_ku_cci,none,0.0,ridge,0.0,335.104,-324.53,8,1,3
