cond,method,rmse_Canada,rmse_Lena,rmse_mean,n_regions,rmse_mean_main,n_main,rmse_mean_deep,n_deep
labels,기계학습 단독(CatBoost),27.81989921060302,16.115979724315498,21.96793946745926,2,21.96793946745926,2,,0
labels,기계학습 단독(MLP),30.734062364342787,15.455639018543897,23.09485069144334,2,23.09485069144334,2,,0
labels,물리식 단독(Stefan),29.880275417908162,15.975896480397342,22.928085949152752,2,22.928085949152752,2,,0
labels,물리식 단독(토양 도일 Stefan),31.091460400461795,15.192568208262472,23.142014304362135,2,23.142014304362135,2,,0
labels,위성 제품 단독(보정),30.53787812344375,15.501242401736286,23.01956026259002,2,23.01956026259002,2,,0
labels,Stefan+위성 제품,28.77966003888257,14.566837915864939,21.673248977373756,2,21.673248977373756,2,,0
labels,Stefan+위성 제품 + ridge(λ=.25),28.55727059411967,15.230962568344134,21.894116581231902,2,21.894116581231902,2,,0
labels,토양 도일 Stefan+위성 제품,28.810326834341915,14.391954239500652,21.601140536921285,2,21.601140536921285,2,,0
labels,토양 도일 Stefan+위성 제품 + ridge(λ=.25),28.704075957089792,14.981098391453848,21.84258717427182,2,21.84258717427182,2,,0
covonly,기계학습 단독(CatBoost),35.551219652798466,19.770968950156167,27.661094301477316,2,27.661094301477316,2,,0
covonly,기계학습 단독(MLP),32.76103474797315,18.647975221306837,25.704504984639993,2,25.704504984639993,2,,0
covonly,"Stefan 유사라벨 증강(CatBoost, r=10)",30.20268302349343,16.481750555889644,23.342216789691538,2,23.342216789691538,2,,0
covonly,물리식 단독(Stefan),29.708663985574816,16.11395691126464,22.911310448419727,2,22.911310448419727,2,,0
covonly,물리식 단독(토양 도일 Stefan),30.958967290784265,15.270177886978773,23.11457258888152,2,23.11457258888152,2,,0
covonly,위성 제품 단독(보정),30.421723842278784,15.55868489057181,22.990204366425296,2,22.990204366425296,2,,0
covonly,Stefan+위성 제품,28.78536102094459,14.567517056791306,21.676439038867947,2,21.676439038867947,2,,0
covonly,Stefan+위성 제품 + ridge(λ=.25),29.173201590097534,15.323804683560393,22.248503136828965,2,22.248503136828965,2,,0
covonly,토양 도일 Stefan+위성 제품,28.804903644086462,14.387176580076495,21.59604011208148,2,21.59604011208148,2,,0
covonly,토양 도일 Stefan+위성 제품 + ridge(λ=.25),29.395490103011127,15.158882936171851,22.27718651959149,2,22.27718651959149,2,,0
noinfo,기계학습 단독(CatBoost),35.551219652798466,19.770968950156167,27.661094301477316,2,27.661094301477316,2,,0
noinfo,기계학습 단독(MLP),32.76103474797315,18.647975221306837,25.704504984639993,2,25.704504984639993,2,,0
noinfo,물리식 단독(Stefan),29.708663985574816,16.11395691126464,22.911310448419727,2,22.911310448419727,2,,0
noinfo,물리식 단독(토양 도일 Stefan),30.958967290784265,15.270177886978773,23.11457258888152,2,23.11457258888152,2,,0
noinfo,위성 제품 단독(보정),30.421723842278784,15.55868489057181,22.990204366425296,2,22.990204366425296,2,,0
noinfo,Stefan+위성 제품,28.78536102094459,14.567517056791306,21.676439038867947,2,21.676439038867947,2,,0
noinfo,Stefan+위성 제품 + ridge(λ=.25),29.173201590097534,15.323804683560393,22.248503136828965,2,22.248503136828965,2,,0
noinfo,토양 도일 Stefan+위성 제품,28.804903644086462,14.387176580076495,21.59604011208148,2,21.59604011208148,2,,0
noinfo,토양 도일 Stefan+위성 제품 + ridge(λ=.25),29.395490103011127,15.158882936171851,22.27718651959149,2,22.27718651959149,2,,0
