,F1k1,F1k2,F2k2,F3k2,F4k2,F5k0,F5k1,F5k2,F6k0,F6k1,F6k2,F7k1,F7k2,F8k2,F9k2,F10k2,method
F1k1,1.0,0.999,0.997,0.989,0.651,0.979,0.978,0.977,0.973,0.971,0.966,0.975,0.968,0.999,0.992,0.991,pearson
F1k2,0.999,1.0,0.999,0.984,0.628,0.977,0.975,0.975,0.972,0.969,0.963,0.97,0.962,0.999,0.996,0.987,pearson
F2k2,0.997,0.999,1.0,0.976,0.596,0.974,0.973,0.972,0.97,0.967,0.958,0.961,0.951,0.997,0.998,0.981,pearson
F3k2,0.989,0.984,0.976,1.0,0.746,0.968,0.968,0.968,0.957,0.958,0.96,0.99,0.987,0.986,0.965,0.992,pearson
F4k2,0.651,0.628,0.596,0.746,1.0,0.677,0.686,0.689,0.658,0.679,0.709,0.768,0.79,0.649,0.552,0.714,pearson
F5k0,0.979,0.977,0.974,0.968,0.677,1.0,0.999,0.999,0.998,0.996,0.996,0.959,0.953,0.98,0.964,0.972,pearson
F5k1,0.978,0.975,0.973,0.968,0.686,0.999,1.0,0.999,0.997,0.998,0.996,0.962,0.957,0.98,0.961,0.972,pearson
F5k2,0.977,0.975,0.972,0.968,0.689,0.999,0.999,1.0,0.996,0.997,0.997,0.961,0.957,0.978,0.961,0.973,pearson
F6k0,0.973,0.972,0.97,0.957,0.658,0.998,0.997,0.996,1.0,0.998,0.996,0.945,0.939,0.976,0.961,0.962,pearson
F6k1,0.971,0.969,0.967,0.958,0.679,0.996,0.998,0.997,0.998,1.0,0.997,0.949,0.945,0.974,0.955,0.962,pearson
F6k2,0.966,0.963,0.958,0.96,0.709,0.996,0.996,0.997,0.996,0.997,1.0,0.952,0.949,0.969,0.945,0.963,pearson
F7k1,0.975,0.97,0.961,0.99,0.768,0.959,0.962,0.961,0.945,0.949,0.952,1.0,0.999,0.974,0.946,0.98,pearson
F7k2,0.968,0.962,0.951,0.987,0.79,0.953,0.957,0.957,0.939,0.945,0.949,0.999,1.0,0.967,0.935,0.977,pearson
F8k2,0.999,0.999,0.997,0.986,0.649,0.98,0.98,0.978,0.976,0.974,0.969,0.974,0.967,1.0,0.991,0.988,pearson
F9k2,0.992,0.996,0.998,0.965,0.552,0.964,0.961,0.961,0.961,0.955,0.945,0.946,0.935,0.991,1.0,0.972,pearson
F10k2,0.991,0.987,0.981,0.992,0.714,0.972,0.972,0.973,0.962,0.962,0.963,0.98,0.977,0.988,0.972,1.0,pearson
F1k1,1.0,1.0,0.999,1.0,0.192,0.942,0.943,0.943,0.94,0.94,0.94,0.908,0.908,0.97,0.998,0.997,spearman
F1k2,1.0,1.0,1.0,1.0,0.191,0.942,0.942,0.943,0.94,0.94,0.94,0.908,0.908,0.969,0.999,0.997,spearman
F2k2,0.999,1.0,1.0,0.999,0.19,0.942,0.942,0.943,0.939,0.939,0.94,0.909,0.909,0.969,0.999,0.996,spearman
F3k2,1.0,1.0,0.999,1.0,0.191,0.942,0.942,0.943,0.94,0.94,0.94,0.908,0.908,0.969,0.998,0.997,spearman
F4k2,0.192,0.191,0.19,0.191,1.0,0.187,0.189,0.188,0.182,0.187,0.182,0.217,0.217,0.2,0.189,0.197,spearman
F5k0,0.942,0.942,0.942,0.942,0.187,1.0,1.0,1.0,0.998,0.999,0.999,0.921,0.921,0.916,0.941,0.942,spearman
F5k1,0.943,0.942,0.942,0.942,0.189,1.0,1.0,1.0,0.998,0.999,0.999,0.921,0.921,0.916,0.941,0.942,spearman
F5k2,0.943,0.943,0.943,0.943,0.188,1.0,1.0,1.0,0.998,0.998,0.999,0.921,0.921,0.916,0.942,0.942,spearman
F6k0,0.94,0.94,0.939,0.94,0.182,0.998,0.998,0.998,1.0,0.998,0.999,0.917,0.917,0.915,0.938,0.938,spearman
F6k1,0.94,0.94,0.939,0.94,0.187,0.999,0.999,0.998,0.998,1.0,0.999,0.919,0.919,0.916,0.938,0.94,spearman
F6k2,0.94,0.94,0.94,0.94,0.182,0.999,0.999,0.999,0.999,0.999,1.0,0.918,0.918,0.916,0.939,0.939,spearman
F7k1,0.908,0.908,0.909,0.908,0.217,0.921,0.921,0.921,0.917,0.919,0.918,1.0,1.0,0.914,0.909,0.908,spearman
F7k2,0.908,0.908,0.909,0.908,0.217,0.921,0.921,0.921,0.917,0.919,0.918,1.0,1.0,0.914,0.909,0.909,spearman
F8k2,0.97,0.969,0.969,0.969,0.2,0.916,0.916,0.916,0.915,0.916,0.916,0.914,0.914,1.0,0.968,0.967,spearman
F9k2,0.998,0.999,0.999,0.998,0.189,0.941,0.941,0.942,0.938,0.938,0.939,0.909,0.909,0.968,1.0,0.995,spearman
F10k2,0.997,0.997,0.996,0.997,0.197,0.942,0.942,0.942,0.938,0.94,0.939,0.908,0.909,0.967,0.995,1.0,spearman
