axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
indomain_AK,Alaska,F1k1,F1 Stefan,1,E·√TDD,13606,14.457,10.731,-0.993,0.3083,0.1683,14.457,0.0,0.0,0.0
indomain_AK,Alaska,F1k2,F1 Stefan,2,a+E·√TDD,13606,13.932,10.201,-0.566,0.3576,0.1985,14.457,-0.5250000000000004,-1.0988484709227047,0.10634806628868317
indomain_AK,Alaska,F2k2,F2 멱법칙,2,a·TDD^b,13606,14.019,10.284,-0.811,0.3495,0.1935,14.457,-0.4380000000000006,-0.9974550793472763,0.21915507199121975
indomain_AK,Alaska,F3k2,F3 TDD 선형,2,a+b·TDD,13606,13.808,10.052,0.128,0.369,0.2056,14.457,-0.6490000000000009,-1.1745289087227608,-0.057784510718449325
indomain_AK,Alaska,F4k2,F4 MAAT 선형,2,a+b·MAAT,13606,14.976,10.888,1.158,0.2577,0.1384,14.457,0.5190000000000001,-0.5241500072534545,1.1658874135763186
indomain_AK,Alaska,F5k0,F5 edaphic,0,pedotransfer raw,13606,40.955,33.251,32.191,-4.5516,-1.3562,14.457,26.497999999999998,13.943361974401112,42.61637355330937
indomain_AK,Alaska,F5k1,F5 edaphic,1,c·edaphic,13606,16.961,13.388,-2.768,0.0479,0.0242,14.457,2.503999999999998,0.7498613309185065,3.680901432043621
indomain_AK,Alaska,F5k2,F5 edaphic,2,a+c·edaphic,13606,13.963,10.153,-0.05,0.3547,0.1967,14.457,-0.49400000000000155,-1.1932613539419965,0.3576412502077299
indomain_AK,Alaska,F6k0,F6 Kudryavtsev,0,raw,11652,25.292,19.112,10.397,-1.3462,-0.5317,14.916,10.376000000000001,4.41321632897568,21.52627011929101
indomain_AK,Alaska,F6k1,F6 Kudryavtsev,1,c·Ku,11652,20.428,16.776,-4.796,-0.5305,-0.2371,14.916,5.5120000000000005,1.741079356520312,7.954598070828537
indomain_AK,Alaska,F6k2,F6 Kudryavtsev,2,a+c·Ku,11652,14.495,10.454,0.623,0.2294,0.1221,14.916,-0.42100000000000115,-1.164426550634815,0.9813167490632807
indomain_AK,Alaska,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,13606,13.65,9.873,0.155,0.3833,0.2147,14.457,-0.8070000000000004,-1.3315983440865025,-0.18806692207027714
indomain_AK,Alaska,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,13606,13.691,9.924,0.319,0.3796,0.2123,14.457,-0.766,-1.3886726672263672,-0.17510822473458282
indomain_AK,Alaska,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),13606,14.315,10.551,-0.944,0.3218,0.1765,14.457,-0.14200000000000124,-0.28710354014384826,0.027265605464182316
