split,phase,support,model,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,rmse_pct,rmse_over_mean_pct,mean_D_cm,rmse_ci_lo,rmse_ci_hi
profile,all,per_model,gru,882,44.03,36.12,-1.902,0.0856,46.044,0.0437,,,47.1,54.3,81.1,29.78,57.54
profile,all,per_model,persistence,941,26.039,14.188,-3.473,0.6747,45.655,0.4297,,,27.9,32.9,79.2,20.92,30.61
profile,all,per_model,persistence_now,1006,18.315,6.423,-0.624,0.8467,46.771,0.6084,,,19.6,24.3,75.5,12.94,22.86
profile,all,per_model,static,1018,39.011,33.961,0.445,0.3123,47.041,0.1707,,,41.7,52.2,74.8,33.12,44.46
profile,all,per_model,stefan,1018,39.624,32.406,-4.77,0.2905,47.041,0.1577,,,42.4,53.0,74.8,32.01,45.81
profile,all,per_model,stefan_site,616,69.925,54.978,53.497,-1.3375,45.736,-0.5289,,,74.8,78.1,89.5,47.52,85.56
profile,all,common,gru,616,46.596,38.611,0.96,-0.038,45.736,-0.0188,,,49.9,52.1,89.5,30.35,61.78
profile,all,common,persistence,616,17.499,8.632,0.444,0.8536,45.736,0.6174,,,18.7,19.6,89.5,12.63,21.67
profile,all,common,persistence_now,616,16.287,4.952,0.042,0.8732,45.736,0.6439,,,17.4,18.2,89.5,8.03,21.93
profile,all,common,static,616,41.331,35.62,4.352,0.1833,45.736,0.0963,,,44.2,46.2,89.5,32.14,51.0
profile,all,common,stefan,616,40.77,32.844,3.887,0.2053,45.736,0.1086,,,43.6,45.6,89.5,29.68,51.95
profile,all,common,stefan_site,616,69.925,54.978,53.497,-1.3375,45.736,-0.5289,,,74.8,78.1,89.5,47.85,85.41
profile,deepening,per_model,gru,653,45.93,38.275,-3.121,-0.1508,42.815,-0.0727,,,49.1,56.7,81.1,30.2,59.97
profile,deepening,per_model,persistence,712,26.057,14.595,-7.149,0.6245,42.524,0.3872,,,27.9,33.1,78.6,20.88,30.7
profile,deepening,per_model,persistence_now,777,15.437,5.656,-1.276,0.8781,44.207,0.6508,,,16.5,20.9,73.9,12.13,18.17
profile,deepening,per_model,static,789,35.889,32.758,-5.357,0.3518,44.577,0.1949,,,38.4,49.2,72.9,31.09,39.55
profile,deepening,per_model,stefan,789,37.186,31.863,-12.338,0.3041,44.577,0.1658,,,39.8,51.0,72.9,30.26,42.09
profile,deepening,per_model,stefan_site,402,49.987,41.126,40.177,-0.3968,42.294,-0.1819,,,53.5,55.0,90.9,35.47,61.65
profile,deepening,common,gru,402,50.035,42.373,0.7,-0.3995,42.294,-0.183,,,53.5,55.0,90.9,30.3,64.72
profile,deepening,common,persistence,402,10.471,6.524,-3.195,0.9387,42.294,0.7524,,,11.2,11.5,90.9,7.16,13.84
profile,deepening,common,persistence_now,402,5.605,2.542,-0.744,0.9824,42.294,0.8675,,,6.0,6.2,90.9,3.4,7.84
profile,deepening,common,static,402,37.243,34.764,-3.086,0.2246,42.294,0.1194,,,39.8,41.0,90.9,29.7,43.8
profile,deepening,common,stefan,402,36.387,32.009,-4.975,0.2599,42.294,0.1397,,,38.9,40.0,90.9,26.84,44.75
profile,deepening,common,stefan_site,402,49.987,41.126,40.177,-0.3968,42.294,-0.1819,,,53.5,55.0,90.9,34.35,61.53
temporal,all,per_model,gru,395,45.213,37.287,-1.712,0.1223,48.261,0.0631,,,48.4,49.5,91.3,37.29,52.45
temporal,all,per_model,persistence,395,19.97,9.407,3.019,0.8288,48.261,0.5862,,,21.4,21.9,91.3,12.77,25.42
temporal,all,per_model,persistence_now,395,19.621,5.886,0.524,0.8347,48.261,0.5934,,,21.0,21.5,91.3,7.93,27.18
temporal,all,per_model,static,395,47.756,34.098,30.171,0.0208,48.261,0.0105,,,51.1,52.3,91.3,30.63,64.26
temporal,all,per_model,stefan,395,53.727,39.127,38.22,-0.2394,48.261,-0.1133,,,57.5,58.9,91.3,34.27,72.46
temporal,all,per_model,stefan_site,348,51.023,41.728,41.558,-0.2561,45.527,-0.1207,,,54.6,51.7,98.7,37.9,61.3
temporal,all,common,gru,348,47.255,39.539,-4.671,-0.0774,45.527,-0.038,,,50.6,47.9,98.7,39.38,55.1
temporal,all,common,persistence,348,19.608,8.415,2.403,0.8145,45.527,0.5693,,,21.0,19.9,98.7,10.66,26.05
temporal,all,common,persistence_now,348,20.59,6.017,0.476,0.7955,45.527,0.5477,,,22.0,20.9,98.7,7.57,28.59
temporal,all,common,static,348,46.786,32.197,27.779,-0.0561,45.527,-0.0277,,,50.1,47.4,98.7,27.65,65.01
temporal,all,common,stefan,348,52.933,37.784,36.844,-0.3518,45.527,-0.1627,,,56.6,53.6,98.7,32.05,73.01
temporal,all,common,stefan_site,348,51.023,41.728,41.558,-0.2561,45.527,-0.1207,,,54.6,51.7,98.7,37.62,61.27
temporal,deepening,per_model,gru,191,43.513,36.762,-0.615,0.0427,44.472,0.0216,,,46.6,46.5,93.6,29.5,53.29
temporal,deepening,per_model,persistence,191,9.456,6.09,-2.656,0.9548,44.472,0.7874,,,10.1,10.1,93.6,5.23,14.32
temporal,deepening,per_model,persistence_now,191,3.992,1.907,-0.728,0.9919,44.472,0.9102,,,4.3,4.3,93.6,2.05,6.54
temporal,deepening,per_model,static,191,37.83,28.115,21.079,0.2764,44.472,0.1494,,,40.5,40.4,93.6,13.09,53.16
temporal,deepening,per_model,stefan,191,42.099,29.541,27.772,0.1039,44.472,0.0534,,,45.0,45.0,93.6,10.98,60.91
temporal,deepening,per_model,stefan_site,177,30.089,26.977,26.644,0.4406,40.228,0.252,,,32.2,30.2,99.6,22.27,37.66
temporal,deepening,common,gru,177,44.126,36.977,-3.355,-0.2032,40.228,-0.0969,,,47.2,44.3,99.6,28.93,54.39
