target,regime,anchor,n_labels,n_A,n_eval,n_blocks_eval,reps,rmse_mean,rmse_p10,rmse_p90,E_mean,E_alaska
Lena,main,stefan,0,1519,1496,11,1,16.11395641607807,16.11395641607807,16.11395641607807,1.6166886671406264,1.6166886671406264
Lena,main,stefan_soil,0,1519,1496,11,1,15.270178149335631,15.270178149335631,15.270178149335631,1.6166886671406264,1.6166886671406264
Lena,main,stefan_cci,0,1519,1496,11,1,14.567517054852114,14.567517054852114,14.567517054852114,1.6166886671406264,1.6166886671406264
Lena,main,stefan,3,1519,1496,11,30,17.499837721223535,14.428591708132869,22.444098217101665,1.378850088662161,1.6166886671406264
Lena,main,stefan_soil,3,1519,1496,11,30,17.22388757433049,14.179327818790457,21.959116365742595,1.378850088662161,1.6166886671406264
Lena,main,stefan_cci,3,1519,1496,11,30,15.912197653573477,15.0744510218417,16.929502330527196,1.378850088662161,1.6166886671406264
Lena,main,stefan,5,1519,1496,11,30,16.920819207654056,14.580372170322333,20.299391888560564,1.4373061803724811,1.6166886671406264
Lena,main,stefan_soil,5,1519,1496,11,30,16.641090079154303,14.290954556624746,20.191055566208885,1.4373061803724811,1.6166886671406264
Lena,main,stefan_cci,5,1519,1496,11,30,15.486330785028596,14.636338675096288,16.108897897438244,1.4373061803724811,1.6166886671406264
Lena,main,stefan,10,1519,1496,11,30,16.00849561239631,14.393540204098525,19.800721017591105,1.4567202301759328,1.6166886671406264
Lena,main,stefan_soil,10,1519,1496,11,30,15.717609530068595,14.104622519607256,19.49906546952651,1.4567202301759328,1.6166886671406264
Lena,main,stefan_cci,10,1519,1496,11,30,15.132986666992412,14.630010976473429,15.83167967784711,1.4567202301759328,1.6166886671406264
Lena,main,stefan,20,1519,1496,11,30,15.340445501455061,14.387056332420004,16.69928177811413,1.4757717805455246,1.6166886671406264
Lena,main,stefan_soil,20,1519,1496,11,30,15.011588728027045,14.102955139410835,16.406411967808822,1.4757717805455246,1.6166886671406264
Lena,main,stefan_cci,20,1519,1496,11,30,14.853101029036651,14.569493959996459,15.363516604134094,1.4757717805455246,1.6166886671406264
Lena,main,stefan,40,1519,1496,11,30,15.216507460473018,14.402985172999353,16.407147678089526,1.5075693624222002,1.6166886671406264
Lena,main,stefan_soil,40,1519,1496,11,30,14.865332082255145,14.10425473814056,16.0599060318648,1.5075693624222002,1.6166886671406264
Lena,main,stefan_cci,40,1519,1496,11,30,14.707350249812341,14.567886605817158,14.93999486743389,1.5075693624222002,1.6166886671406264
