loc_id,region,label_class,n_pts,frac_gpr,frac_probe,frac_late,month_mean
139,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
140,ABoVE_AK,ABoVE 탐침 우세,24.0,0.0,1.0,1.0,8.0
141,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
142,ABoVE_AK,ABoVE 탐침 우세,24.0,0.0,1.0,1.0,8.0
143,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
144,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
145,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
146,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
147,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
148,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
149,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
150,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
151,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
152,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
153,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
154,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
155,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
156,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
157,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
158,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
159,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
160,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
161,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
162,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
163,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
164,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
165,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
166,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
167,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,1.0,1.0,8.0
168,ABoVE_AK,ABoVE 탐침 우세,7.0,0.0,1.0,1.0,8.0
169,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
170,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
171,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
172,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
173,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
174,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
175,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
176,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
177,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
178,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
179,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
180,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
181,ABoVE_AK,ABoVE 탐침 우세,4.0,0.0,1.0,1.0,8.0
182,ABoVE_AK,ABoVE 탐침 우세,24.0,0.0,1.0,1.0,8.0
183,ABoVE_AK,ABoVE 탐침 우세,2.0,0.0,1.0,1.0,8.0
184,ABoVE_AK,ABoVE 탐침 우세,22.0,0.0,1.0,1.0,8.0
185,ABoVE_AK,ABoVE 탐침 우세,10.0,0.0,1.0,1.0,8.0
186,ABoVE_AK,ABoVE 탐침 우세,8.0,0.0,1.0,1.0,8.0
187,ABoVE_AK,ABoVE 탐침 우세,22.0,0.0,1.0,1.0,8.0
188,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,1.0,1.0,8.0
189,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
190,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
191,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,1.0,1.0,8.0
192,ABoVE_AK,ABoVE 탐침 우세,22.0,0.0,1.0,1.0,8.0
193,ABoVE_AK,ABoVE 탐침 우세,14.0,0.0,1.0,1.0,8.0
194,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
195,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
196,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
197,ABoVE_AK,ABoVE 탐침 우세,33.0,0.0,1.0,1.0,8.0
198,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
199,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
200,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
201,ABoVE_AK,ABoVE 탐침 우세,35.0,0.0,1.0,1.0,8.0
202,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
203,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
204,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
205,ABoVE_AK,ABoVE 탐침 우세,24.0,0.0,1.0,1.0,8.0
206,ABoVE_AK,ABoVE 탐침 우세,33.0,0.0,1.0,1.0,8.0
207,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
208,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
209,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
210,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
211,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
212,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
213,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
214,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
215,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
216,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
217,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
218,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
219,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
220,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
221,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
222,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,1.0,1.0,8.0
223,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,1.0,1.0,8.0
224,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
225,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,1.0,1.0,8.0
226,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,1.0,1.0,8.0
227,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
228,ABoVE_AK,ABoVE 탐침 우세,9.0,0.0,1.0,1.0,8.0
229,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
230,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,1.0,1.0,8.0
231,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,1.0,1.0,8.0
232,ABoVE_AK,ABoVE 탐침 우세,11.0,0.0,1.0,1.0,8.0
233,ABoVE_AK,ABoVE 탐침 우세,13.0,0.0,1.0,1.0,8.0
234,ABoVE_AK,ABoVE 탐침 우세,10.0,0.0,1.0,1.0,8.0
235,ABoVE_AK,ABoVE 탐침 우세,5.0,0.0,1.0,1.0,8.0
236,ABoVE_AK,ABoVE 탐침 우세,15.0,0.0,1.0,1.0,8.0
237,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
238,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
239,ABoVE_AK,ABoVE 탐침 우세,24.0,0.0,1.0,1.0,8.0
240,ABoVE_AK,ABoVE 탐침 우세,10.0,0.0,1.0,1.0,8.0
241,ABoVE_AK,ABoVE 탐침 우세,8.0,0.0,1.0,1.0,8.0
242,ABoVE_AK,ABoVE 탐침 우세,1.0,0.0,1.0,1.0,8.0
243,ABoVE_AK,ABoVE 탐침 우세,2.0,0.0,1.0,1.0,8.0
244,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
245,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
246,ABoVE_AK,ABoVE 탐침 우세,21.0,0.0,1.0,1.0,8.0
247,ABoVE_AK,ABoVE 탐침 우세,13.0,0.0,1.0,1.0,8.0
248,ABoVE_AK,ABoVE 탐침 우세,5.0,0.0,1.0,1.0,8.0
249,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
250,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
251,ABoVE_AK,ABoVE 탐침 우세,5.0,0.0,1.0,1.0,8.0
252,ABoVE_AK,ABoVE 탐침 우세,22.0,0.0,1.0,1.0,8.0
