proto,reference,rmse_lena,rmse_canada,rmse_mean2,note,delta_vs_R1
loro,R0 in-sample 최소(표 tab:s12),20.842000000000002,24.996666666666666,22.919333333333334,family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=0.25,-1.1916666666666629
loro,R1 물리식 단독(CCI 유효 셀),21.65,26.572,24.110999999999997,anchor=stefan_cci_w(W_SC=1.00),0.0
loro,R2 H1 사전지정: Stefan+CCI 등가중 앵커(λ=0),20.757,25.775,23.266,,-0.8449999999999989
loro,"R3 H2 사전지정: Stefan+CCI 앵커 + ridge(λ=0.25), 증강 없음",21.459,24.548,23.0035,,-1.1074999999999982
loro,R4 중첩 선택(전 구성),25.494333333333334,25.490333333333336,25.492333333333335,레나선택→캐나다채점: family=anchored anchor=stefan_cci pseudo=stefan resid=mlp r=0.5 lam=0.25 | 캐나다선택→레나채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=1.0,1.3813333333333375
loro,R5 중첩 선택(anchored 계열),25.494333333333334,25.490333333333336,25.492333333333335,레나선택→캐나다채점: family=anchored anchor=stefan_cci pseudo=stefan resid=mlp r=0.5 lam=0.25 | 캐나다선택→레나채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=1.0,1.3813333333333375
loro,R6 중첩 선택(direct 계열),21.992,28.545,25.268500000000003,레나선택→캐나다채점: family=direct anchor=none pseudo=none resid=ftt r=0.0 lam=1.0 | 캐나다선택→레나채점: family=direct anchor=none pseudo=stefan resid=ridge r=0.5 lam=1.0,1.157500000000006
loro,R7 중첩 선택(analytic 계열),20.757,25.775,23.266,레나선택→캐나다채점: family=analytic anchor=stefan_cci pseudo=none resid=none r=0.0 lam=0.0 | 캐나다선택→레나채점: family=analytic anchor=stefan_cci pseudo=none resid=none r=0.0 lam=0.0,-0.8449999999999989
loro,"R8 중첩 선택(anchored, 증강 없음)",25.494333333333334,25.774999999999995,25.634666666666664,레나선택→캐나다채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=0.0 | 캐나다선택→레나채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=1.0,1.5236666666666672
half,R0 in-sample 최소(표 tab:s12),14.800666666666666,27.849,21.324833333333334,family=anchored anchor=stefan pseudo=cci resid=mlp r=1.0 lam=0.25,-1.586666666666666
half,R1 물리식 단독(CCI 유효 셀),16.158,29.665,22.9115,anchor=stefan_cci_w(W_SC=1.00),0.0
half,R2 H1 사전지정: Stefan+CCI 등가중 앵커(λ=0),14.568,28.787,21.6775,,-1.2340000000000018
half,"R3 H2 사전지정: Stefan+CCI 앵커 + ridge(λ=0.25), 증강 없음",15.323,29.16,22.241500000000002,,-0.6699999999999982
half,R4 중첩 선택(전 구성),21.677000000000003,28.971333333333334,25.32416666666667,레나선택→캐나다채점: family=anchored anchor=stefan pseudo=stefan_cci resid=catboost r=0.5 lam=1.0 | 캐나다선택→레나채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=1.0,2.41266666666667
half,R5 중첩 선택(anchored 계열),21.677000000000003,28.971333333333334,25.32416666666667,레나선택→캐나다채점: family=anchored anchor=stefan pseudo=stefan_cci resid=catboost r=0.5 lam=1.0 | 캐나다선택→레나채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=1.0,2.41266666666667
half,R6 중첩 선택(direct 계열),20.991333333333333,35.160000000000004,28.07566666666667,레나선택→캐나다채점: family=direct anchor=none pseudo=none resid=ftt r=0.0 lam=1.0 | 캐나다선택→레나채점: family=direct anchor=none pseudo=stefan resid=ridge r=0.5 lam=1.0,5.16416666666667
half,R7 중첩 선택(analytic 계열),14.568,28.787,21.6775,레나선택→캐나다채점: family=analytic anchor=stefan_cci pseudo=none resid=none r=0.0 lam=0.0 | 캐나다선택→레나채점: family=analytic anchor=stefan_cci pseudo=none resid=none r=0.0 lam=0.0,-1.2340000000000018
half,"R8 중첩 선택(anchored, 증강 없음)",21.677000000000003,28.786999999999995,25.232,레나선택→캐나다채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=0.0 | 캐나다선택→레나채점: family=anchored anchor=stefan_cci pseudo=none resid=catboost r=0.0 lam=1.0,2.320499999999999
