model,cv,depth_band,n,rmse_c,r2
FIELD_base,site_gkf6,0-2m,2245,1.3636,0.6727
FIELD_base,site_gkf6,2-5m,1766,1.0792,0.4323
FIELD_base,site_gkf6,5-10m,1653,1.1988,0.414
FIELD_base,site_gkf6,10-20m,1715,1.2168,0.5455
FIELD_base,site_gkf6,all,8258,1.2271,0.5941
FIELD_full,site_gkf6,0-2m,2245,1.3697,0.6698
FIELD_full,site_gkf6,2-5m,1766,1.0444,0.4683
FIELD_full,site_gkf6,5-10m,1653,1.075,0.5288
FIELD_full,site_gkf6,10-20m,1715,1.1473,0.596
FIELD_full,site_gkf6,all,8258,1.1815,0.6237
FIELD_base,spatial_block6,0-2m,2245,1.6247,0.5354
FIELD_base,spatial_block6,2-5m,1766,1.2792,0.2023
FIELD_base,spatial_block6,5-10m,1653,1.2,0.4128
FIELD_base,spatial_block6,10-20m,1715,1.3472,0.4429
FIELD_base,spatial_block6,all,8258,1.3705,0.4937
FIELD_full,spatial_block6,0-2m,2245,1.8581,0.3923
FIELD_full,spatial_block6,2-5m,1766,1.3853,0.0645
FIELD_full,spatial_block6,5-10m,1653,1.2191,0.394
FIELD_full,spatial_block6,10-20m,1715,1.2333,0.5331
FIELD_full,spatial_block6,all,8258,1.4436,0.4382
FIELD_base,loro,0-2m,2224,1.961,0.3282
FIELD_base,loro,2-5m,1740,1.3525,0.1194
FIELD_base,loro,5-10m,1636,1.2992,0.2814
FIELD_base,loro,10-20m,1662,1.5147,0.2279
FIELD_base,loro,all,8133,1.5992,0.2929
FIELD_full,loro,0-2m,2224,2.1298,0.2076
FIELD_full,loro,2-5m,1740,1.5798,-0.2015
FIELD_full,loro,5-10m,1636,1.4511,0.1035
FIELD_full,loro,10-20m,1662,1.5694,0.1711
FIELD_full,loro,all,8133,1.7288,0.1736
