site,lat,lon,region,block,nn_km,block_share
Abisko#25,68.349074,18.973389,Sweden,13600037,0.19671713953579076,8
Vorkuta#32,67.39367,63.36592,Russia,13400126,0.27330817932713647,15
Barrow#33,71.309033,-156.661517,United States,14199686,4.21714644285224,2
Nadym#34,65.303303,72.85916,Russia,13000145,0.6882071135449509,19
Abisko#46,68.35098,18.872,Sweden,13600037,0.05707328248904625,8
Samoylov (Lena River Delta)#53,72.369555,126.475111,Russia,14400252,117.66932237433045,1
Chara#54,56.901794,117.584158,Russia,11300235,30.225125967512533,1
Yakutsk#55,61.42883,128.84942,Russia,12200257,55.7211374646352,1
Svalbard #57,78.05663,13.641478,Svalbard,15600027,0.2508766751671163,2
Svalbard #60,78.192595,15.598418,Svalbard,15600031,3.487660021247658,4
Svalbard #62,78.141589,16.06259,Svalbard,15600032,8.383766542536083,1
Svalbard #63,78.190206,15.78158,Svalbard,15600031,1.7387471612253511,4
Dead Horse#64,70.161283,-148.4653,United States,13999703,0.02908573603598866,3
Ivotuk#65,68.4789,-155.738093,United States,13599688,0.2411588684023426,2
Bolvansky#69,68.2875,54.498611,Russia,13600108,0.38639189337193897,2
Bolvansky#70,68.286667,54.519444,Russia,13600109,0.6548857580315895,3
Bolvansky#71,68.285278,54.482778,Russia,13600108,0.6966330971403394,2
Ivotuk#74,68.481002,-155.739549,United States,13599688,0.2411588684023426,2
Mackenzie Delta#76,69.313778,-135.248674,Canada,13799729,127.83231398694882,1
Dead Horse#87,70.161528,-148.46557,United States,13999703,0.02750162434161488,3
Dead Horse#88,70.161703,-148.465055,United States,13999703,0.02750162434161488,3
Nadym#92,65.299411,72.886239,Russia,13000145,0.10976041612645455,19
Happy Valley#95,69.14664,-148.848353,United States,13799702,0.0020613111889138972,4
Toolik Lake#97,68.627998,-149.595434,United States,13699700,17.166068179525396,1
Svalbard #98,78.054605,13.636671,Svalbard,15600027,0.2508766751671163,2
Franklin Bluff#102,69.674138,-148.720761,United States,13899702,0.00029453972052580283,6
Franklin Bluff#103,69.67414,-148.720766,United States,13899702,0.0,6
Franklin Bluff#104,69.67414,-148.720766,United States,13899702,0.0,6
Franklin Bluff#105,69.67414,-148.720766,United States,13899702,0.0,6
Franklin Bluff#106,69.65513,-148.722016,United States,13899702,0.0,6
Franklin Bluff#107,69.65513,-148.722016,United States,13899702,0.0,6
Happy Valley#109,69.156459,-148.837404,United States,13799702,1.1737974795601536,4
Happy Valley#110,69.146641,-148.848301,United States,13799702,0.0020613111889138972,4
Kaktovik#115,70.11653,-143.62855,United States,13999712,182.73003334622302,1
Sagwon#116,69.43303,-148.67385,United States,13799702,24.767222704214582,4
West Dock#117,70.374467,-148.552166,United States,13999702,0.0008099781130711981,2
West Dock#118,70.37446,-148.55216,United States,13999702,0.0008099781130711981,2
Mackenzie Delta#137,68.406617,-133.29005,Canada,13599733,127.83231398694882,1
Svalbard #166,78.20146,15.83465,Svalbard,15600031,1.7387471612253511,4
Nadym#169,65.315638,72.87325,Russia,13000145,0.1872386534643909,19
Nadym#170,65.3153,72.8693,Russia,13000145,0.05926091300712976,19
Nadym#171,65.3086,72.8239,Russia,13000145,1.1751862291259167,19
Nadym#172,65.3147,72.8606,Russia,13000145,0.02786326720155579,19
Nadym#173,65.3147,72.8612,Russia,13000145,0.02786326720155579,19
Nadym#174,65.3134,72.8872,Russia,13000145,0.6939785308463136,19
Nadym#175,65.3146,72.8629,Russia,13000145,0.05280510050444002,19
Nadym#176,65.314472,72.861805,Russia,13000145,0.037843204781800095,19
Nadym#177,65.3055,72.892027,Russia,13000145,0.7285137188219875,19
Nadym#178,65.298472,72.895,Russia,13000145,0.4202702130000796,19
Nadym#179,65.3166,72.862,Russia,13000145,0.15999408209631538,19
Vorkuta#180,67.39564,63.37228,Russia,13400126,0.16520837018329046,15
Vorkuta#181,67.38333333,63.33333333,Russia,13400126,0.7606087616635524,15
Vorkuta#182,67.54861,64.17378,Russia,13500128,8.56336089999826,3
Vorkuta#183,67.33183,62.37263,Russia,13400124,0.387223393059719,9
Vorkuta#184,67.32485,62.38992,Russia,13400124,0.36588053614467675,9
Vorkuta#185,67.3471,62.37699,Russia,13400124,1.7057994055124408,9
