source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
GGD200,Yusno-Tambeysky,71.3,71.5833,20.0,-6.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,50.0,-6.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,100.0,-6.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,200.0,-5.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,300.0,-3.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,400.0,-2.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,500.0,0.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,1000.0,17.0,,,
GGD200,Yusno-Tambeysky,71.3,71.5833,2000.0,49.0,,,
GGD200,Messoyakhsky,69.5,82.4333,20.0,-6.0,,,
GGD200,Messoyakhsky,69.5,82.4333,50.0,-4.0,,,
GGD200,Messoyakhsky,69.5,82.4333,100.0,-3.0,,,
GGD200,Messoyakhsky,69.5,82.4333,200.0,-2.0,,,
GGD200,Messoyakhsky,69.5,82.4333,300.0,-1.0,,,
GGD200,Messoyakhsky,69.5,82.4333,400.0,0.4,,,
GGD200,Messoyakhsky,69.5,82.4333,500.0,3.0,,,
GGD200,Messoyakhsky,69.5,82.4333,1000.0,15.0,,,
GGD200,Messoyakhsky,69.5,82.4333,2000.0,42.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,20.0,-7.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,50.0,-6.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,100.0,-5.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,200.0,-4.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,300.0,-2.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,400.0,-1.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,500.0,0.8,,,
GGD200,Yusno-Soleninsky,69.2,82.75,1000.0,12.0,,,
GGD200,Yusno-Soleninsky,69.2,82.75,2000.0,34.0,,,
GGD200,Yamburgsky,68.0,76.2,20.0,-5.0,,,
GGD200,Yamburgsky,68.0,76.2,50.0,-6.0,,,
GGD200,Yamburgsky,68.0,76.2,100.0,-5.0,,,
