site,lat,lon,depth_m,temp_c_mean,temp_c_max,n_years,region,source
Golmud,36.42,94.9,0.0,8.58119426945098,82.6666666666667,63,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,0.05,8.645904835654074,27.538923076923076,65,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,0.1,8.599615798572232,25.335076923076922,65,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,0.15,8.467604781114861,23.918461538461543,65,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,0.2,8.446339529840737,22.841538461538462,65,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,0.4,8.879002038327956,20.899555555555555,45,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,0.8,8.751205742113989,18.240444444444442,45,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,1.6,8.624580202469325,14.715555555555557,45,QTP_CN,TPDC_QTEC
Golmud,36.42,94.9,3.2,8.319322191146535,11.146666666666667,45,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,0.01,-0.2051114187916666,12.422503585,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,0.3,-0.12683185681944448,10.243938173333335,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,0.63,-0.3972623106527778,8.162989695166667,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,0.8,-0.23072334543055553,7.411954301166667,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,1.0,-0.2827964058611111,6.389219534166666,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,1.23,-0.10196545787500001,5.563749104,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,1.4,0.034799954055555575,4.4163885455,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,1.75,0.007410327097222225,3.233168309333333,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,2.05,-0.15989955343055556,1.9580097223333333,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,2.35,0.007773599152777766,1.5046443099999998,6,QTP_CN,TPDC_QTEC
Slopes,35.6517,94.0612,2.6,-0.10055947856944443,1.0764435481666668,6,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.0,-0.5721274917327603,18.67435897435897,39,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.05,0.6079320254580975,15.045882352941177,17,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.1,0.7846899931558092,14.195882352941178,17,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.15,0.7724510904133495,13.58235294117647,17,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.2,0.7203483301179934,12.969411764705882,17,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.4,0.8577661217396346,11.338333333333333,6,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,0.8,0.6969163980735482,8.471666666666668,6,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,1.6,0.2802762652876905,4.4750000000000005,6,QTP_CN,TPDC_QTEC
Wudaoliang,35.22,93.08,3.2,-0.11884498773862251,0.36666666666666664,6,QTP_CN,TPDC_QTEC
