target,radius_km,n_all,n_excluded,frac_excluded,n_kept,n_blocks_kept,nearest_site_mode,min_dist_km,median_dist_km,all_cells_within,rmse_S_kept,rmse_SC_kept,h1_delta_kept,h1_ci_lo_kept,h1_ci_hi_kept,h1cal_delta_kept,h1cal_ci_lo_kept,h1cal_ci_hi_kept,flag,n_blocks_excluded,rmse_S_excl,rmse_SC_excl,h1_delta_excl,h1_ci_lo_excl,h1_ci_hi_excl
Lena,0,2958,0,0.0,2958,20,Samoylov (Lena Delta),0.0,54.4,False,21.624,20.761,-0.863,-2.453,2.05,-0.34,-0.715,0.205,,,,,,,
Lena,25,2958,1309,0.443,1649,15,Samoylov (Lena Delta),0.0,54.4,False,16.062,14.575,-1.487,-4.343,2.033,-0.315,-0.871,0.111,,5.0,27.049,26.578,-0.471,-1.925,3.796
Lena,50,2958,1325,0.448,1633,13,Samoylov (Lena Delta),0.0,54.4,False,16.069,14.592,-1.477,-3.972,2.122,-0.309,-0.813,0.094,,9.0,26.938,26.454,-0.484,-1.933,3.445
Lena,100,2958,1740,0.588,1218,9,Samoylov (Lena Delta),0.0,54.4,False,15.673,15.58,-0.093,-1.073,3.134,-0.032,-0.157,0.277,,12.0,24.959,23.724,-1.236,-5.93,3.077
Canada,0,747,0,0.0,747,36,Richardson Mountains (중심 근사),62.4,172.8,False,26.504,25.719,-0.785,-4.095,4.748,-0.628,-1.637,0.664,,,,,,,
Canada,25,747,0,0.0,747,36,Richardson Mountains (중심 근사),62.4,172.8,False,26.504,25.719,-0.785,-4.095,4.748,-0.628,-1.637,0.664,,,,,,,
Canada,50,747,0,0.0,747,36,Richardson Mountains (중심 근사),62.4,172.8,False,26.504,25.719,-0.785,-4.095,4.748,-0.628,-1.637,0.664,,,,,,,
Canada,100,747,2,0.003,745,34,Richardson Mountains (중심 근사),62.4,172.8,False,26.487,25.64,-0.847,-4.112,4.166,-0.649,-1.621,0.562,,2.0,32.268,46.665,14.397,,
Russia_W,0,28,0,0.0,28,18,Seida,0.0,431.8,False,42.456,41.444,-1.012,-3.147,0.884,-0.502,-1.82,0.315,,,,,,,
Russia_W,25,28,1,0.036,27,17,Seida,0.0,431.8,False,43.234,42.182,-1.053,-3.528,0.706,-0.513,-1.778,0.361,,1.0,1.189,7.217,6.029,,
Russia_W,50,28,2,0.071,26,16,Seida,0.0,431.8,False,41.11,40.357,-0.753,-3.248,0.954,-0.457,-1.848,0.49,,2.0,57.136,53.601,-3.535,,
Russia_W,100,28,3,0.107,25,15,Seida,0.0,431.8,False,41.577,40.894,-0.683,-2.819,1.06,-0.443,-1.919,0.511,,3.0,49.17,45.77,-3.401,-5.334,6.029
Russia_C,0,7,0,0.0,7,6,Spasskaya Pad (Yakutsk),0.0,118.0,False,53.386,54.0,0.614,-4.358,11.695,2.286,1.086,5.012,참고(n<10),,,,,,
Russia_C,25,7,2,0.286,5,4,Spasskaya Pad (Yakutsk),0.0,118.0,False,58.614,58.334,-0.28,-6.229,15.446,1.531,0.305,2.816,참고(n<10),2.0,37.233,41.216,3.983,,
Russia_C,50,7,3,0.429,4,3,Spasskaya Pad (Yakutsk),0.0,118.0,False,11.723,23.41,11.687,-2.087,16.768,2.177,-0.678,3.079,참고(n<10),3.0,80.417,77.931,-2.486,-7.204,5.775
Russia_C,100,7,3,0.429,4,3,Spasskaya Pad (Yakutsk),0.0,118.0,False,11.723,23.41,11.687,-2.087,16.768,2.177,-0.678,3.079,참고(n<10),3.0,80.417,77.931,-2.486,-7.204,5.775
Russia_E,0,27,0,0.0,27,19,Cherskii (NESS),0.3,110.6,False,28.444,27.657,-0.788,-2.41,2.386,-0.226,-1.072,0.869,,,,,,,
Russia_E,25,27,9,0.333,18,16,Cherskii (NESS),0.3,110.6,False,7.583,7.164,-0.419,-3.284,2.255,-1.05,-1.718,-0.408,,3.0,48.086,46.819,-1.267,-4.049,5.667
Russia_E,50,27,12,0.444,15,14,Cherskii (NESS),0.3,110.6,False,7.077,7.532,0.456,-2.401,3.787,-0.63,-1.145,0.097,,5.0,41.926,40.621,-1.305,-3.737,3.409
Russia_E,100,27,12,0.444,15,14,Cherskii (NESS),0.3,110.6,False,7.077,7.532,0.456,-2.401,3.787,-0.63,-1.145,0.097,,5.0,41.926,40.621,-1.305,-3.737,3.409
Svalbard,0,3,0,0.0,3,3,Adventdalen,14.7,53.4,False,117.716,113.372,-4.344,-5.98,-2.57,-8.315,-10.879,-6.607,참고(n<10),,,,,,
Svalbard,25,3,1,0.333,2,2,Adventdalen,14.7,53.4,False,95.101,91.852,-3.249,,,-6.673,,,참고(n<10),1.0,153.241,147.261,-5.98,,
Svalbard,50,3,1,0.333,2,2,Adventdalen,14.7,53.4,False,95.101,91.852,-3.249,,,-6.673,,,참고(n<10),1.0,153.241,147.261,-5.98,,
Svalbard,100,3,3,1.0,0,0,Adventdalen,14.7,53.4,True,,,,,,,,,참고(n<10),3.0,117.716,113.372,-4.344,-5.98,-2.57
Mongolia_CAsia,0,43,0,0.0,43,19,Spasskaya Pad (Yakutsk),2094.8,2191.3,False,266.057,232.752,-33.305,-47.283,-18.444,-11.899,-17.52,-5.833,,,,,,,
Mongolia_CAsia,25,43,0,0.0,43,19,Spasskaya Pad (Yakutsk),2094.8,2191.3,False,266.057,232.752,-33.305,-47.283,-18.444,-11.899,-17.52,-5.833,,,,,,,
Mongolia_CAsia,50,43,0,0.0,43,19,Spasskaya Pad (Yakutsk),2094.8,2191.3,False,266.057,232.752,-33.305,-47.283,-18.444,-11.899,-17.52,-5.833,,,,,,,
Mongolia_CAsia,100,43,0,0.0,43,19,Spasskaya Pad (Yakutsk),2094.8,2191.3,False,266.057,232.752,-33.305,-47.283,-18.444,-11.899,-17.52,-5.833,,,,,,,
Alps,0,8,0,0.0,8,4,Tarfala,2404.6,2510.9,False,333.941,336.018,2.078,-27.071,16.509,0.765,-12.556,8.671,참고(n<10),,,,,,
Alps,25,8,0,0.0,8,4,Tarfala,2404.6,2510.9,False,333.941,336.018,2.078,-27.071,16.509,0.765,-12.556,8.671,참고(n<10),,,,,,
Alps,50,8,0,0.0,8,4,Tarfala,2404.6,2510.9,False,333.941,336.018,2.078,-27.071,16.509,0.765,-12.556,8.671,참고(n<10),,,,,,
Alps,100,8,0,0.0,8,4,Tarfala,2404.6,2510.9,False,333.941,336.018,2.078,-27.071,16.509,0.765,-12.556,8.671,참고(n<10),,,,,,
Tibet,0,7,0,0.0,7,7,Spasskaya Pad (Yakutsk),1354.7,3883.5,False,183.522,167.506,-16.017,-19.28,-11.723,-11.693,-13.581,-9.614,참고(n<10),,,,,,
Tibet,25,7,0,0.0,7,7,Spasskaya Pad (Yakutsk),1354.7,3883.5,False,183.522,167.506,-16.017,-19.28,-11.723,-11.693,-13.581,-9.614,참고(n<10),,,,,,
Tibet,50,7,0,0.0,7,7,Spasskaya Pad (Yakutsk),1354.7,3883.5,False,183.522,167.506,-16.017,-19.28,-11.723,-11.693,-13.581,-9.614,참고(n<10),,,,,,
Tibet,100,7,0,0.0,7,7,Spasskaya Pad (Yakutsk),1354.7,3883.5,False,183.522,167.506,-16.017,-19.28,-11.723,-11.693,-13.581,-9.614,참고(n<10),,,,,,
Scandinavia,0,3,0,0.0,3,3,Tarfala,0.0,758.4,False,294.281,290.619,-3.662,-25.615,-0.11,-3.742,-15.031,-3.398,참고(n<10),,,,,,
Scandinavia,25,3,1,0.333,2,2,Tarfala,0.0,758.4,False,359.877,355.93,-3.947,,,-4.158,,,참고(n<10),1.0,27.947,2.332,-25.615,,
Scandinavia,50,3,1,0.333,2,2,Tarfala,0.0,758.4,False,359.877,355.93,-3.947,,,-4.158,,,참고(n<10),1.0,27.947,2.332,-25.615,,
Scandinavia,100,3,1,0.333,2,2,Tarfala,0.0,758.4,False,359.877,355.93,-3.947,,,-4.158,,,참고(n<10),1.0,27.947,2.332,-25.615,,
