site,lat,lon,coord_source,atbd_group,in_audit_list,Lena_n_within_25km,Lena_n_within_50km,Lena_n_within_100km,Lena_nearest_km,Canada_nearest_km,Russia_W_nearest_km,Russia_C_nearest_km,Russia_E_nearest_km,Svalbard_nearest_km,Mongolia_CAsia_nearest_km,Alps_nearest_km,Tibet_nearest_km,Scandinavia_nearest_km,Russia_W_n_within_25km,Russia_W_n_within_50km,Russia_W_n_within_100km,Russia_E_n_within_25km,Russia_E_n_within_50km,Russia_E_n_within_100km,Russia_C_n_within_25km,Russia_C_n_within_50km,Russia_C_n_within_100km,Canada_n_within_100km,Scandinavia_n_within_25km,Scandinavia_n_within_50km,Scandinavia_n_within_100km,Svalbard_n_within_25km,Svalbard_n_within_50km,Svalbard_n_within_100km
Samoylov (Lena Delta),72.369775,126.48063,CALM R51,Siberia,True,1309.0,1325.0,1740.0,0.0,2863.4,1395.2,118.0,498.1,2699.2,2655.5,5896.4,2397.0,3516.0,,,,,,,,,,,,,,,,
Seida,67.06556,62.92508,CALM R52,Siberia,True,,,,2260.2,3333.6,0.0,1498.3,2870.1,1888.0,2515.1,3752.0,3610.3,1826.9,1.0,2.0,3.0,,,,,,,,,,,,,
Cherskii (NESS),68.74,161.4,web: Wikipedia Northeast Science Station,Siberia,True,,,,1210.0,2327.3,2724.8,1253.6,0.3,3517.9,3670.3,6958.4,2895.9,4512.9,,,,9.0,10.0,10.0,,,,,,,,,,
Kytalyk (Chokurdakh),70.817,147.483,web: INTERACT/PAGE21 70°49'N 147°29'E,Siberia,True,,,,629.1,2697.7,2148.0,672.7,27.9,3149.6,3179.8,6510.0,2578.9,4082.1,,,,,2.0,2.0,,,,,,,,,,
Shalaurovo (Kolyma),69.45,161.8,web: 69°27'N 161°48'E,Siberia,False,,,,1187.3,2279.9,2692.0,1230.8,59.5,3444.6,3687.2,6890.8,2941.3,4444.3,,,,,,8.0,,,,,,,,,,
Spasskaya Pad (Yakutsk),62.255,129.618,근사: 문헌 62°15'N 129°37'E(웹 미확인),Siberia,False,,,,1034.8,3904.2,1986.9,9.2,1172.2,3783.7,2094.8,6769.1,1354.7,4495.3,,,,,,,1.0,2.0,2.0,,,,,,,
Taymyr (미확인 → CALM R6 Labaz Lake),72.38333,99.5,"미확인: ATBD 지점 불명, CALM R6 좌표 대체",Siberia,True,,,,782.4,2913.7,517.0,0.0,1390.0,2210.5,2337.8,5104.8,2613.2,2818.8,,,,,,,1.0,1.0,1.0,,,,,,,
Zackenberg,74.473,-20.5528,CALM G1,Greenland,True,,,,3374.0,1428.6,2530.6,2962.3,3694.0,967.8,5337.0,3414.0,5784.7,1518.7,,,,,,,,,,,,,,,,
Herschel Island,69.59,-139.099,web: 69°35'N 139°06'W,N. America,True,,,,3026.7,163.6,3987.1,3083.4,1920.6,3501.5,5730.8,6834.4,5146.1,4592.0,,,,,,,,,,,,,,,,
Tulemalu Lake,62.933,-99.4,web: 62°56'N 99°24'W,N. America,False,,,,4510.5,581.6,4843.3,4614.0,3802.5,3719.8,7191.4,6288.7,6860.8,4625.9,,,,,,,,,,,,,,,,
Richardson Mountains (중심 근사),67.5,-136.0,근사: 산맥 중심(범위 ~100 km),N. America,False,,,,3286.4,85.8,4241.6,3341.7,2084.3,3706.3,5987.7,6993.2,5377.6,4790.8,,,,,,,,,,1.0,,,,,,
Ogilvie Mountains (중심 근사),64.5,-138.5,근사: 산맥 중심(범위 ~100 km),N. America,False,,,,3489.0,62.4,4544.5,3535.8,2074.9,4054.6,6167.4,7343.7,5475.3,5140.8,,,,,,,,,,1.0,,,,,,
Abisko,68.3,18.83333,CALM S2,Scandinavia,False,,,,3349.1,2671.8,1826.9,2677.2,3863.8,1039.4,4297.8,2448.6,5321.7,0.0,,,,,,,,,,,1.0,1.0,1.0,,,
Tarfala,67.91147,18.61233,web: SITES 기상관측소,Scandinavia,False,,,,3390.3,2708.7,1848.4,2716.3,3906.4,1081.5,4312.1,2404.6,5353.5,44.2,,,,,,,,,,,,1.0,1.0,,,
Adventdalen,78.202,15.831,web: SIOS 기상관측소,Svalbard,False,,,,2541.0,1653.4,1511.4,2017.3,2966.2,14.7,4318.5,3506.4,4835.2,1104.9,,,,,,,,,,,,,,1.0,1.0,3.0
Ny-Ålesund (Bayelva),78.921,11.831,근사: Bayelva 78°55'N 11°50'E,Svalbard,False,,,,2543.3,1536.4,1587.5,2049.3,2948.5,104.6,4391.9,3578.2,4872.6,1199.2,,,,,,,,,,,,,,,,
