target,n_cells,n_blocks,flag,rmse_S,bias_S,sd_S,rmse_C,bias_C,sd_C,rmse_Ccal,bias_Ccal,sd_Ccal,rmse_SC,bias_SC,sd_SC,rmse_SCcal,bias_SCcal,sd_SCcal,rho_S_C,rho_S_Ccal,w_star_SC,rmse_wstar_SC,rmse_SC_if_indep,delta_SC_obs,delta_SC_if_indep,gain_realized_SC,w_star_SCcal,rmse_wstar_SCcal,rmse_SCcal_if_indep,delta_SCcal_obs,delta_SCcal_if_indep,gain_realized_SCcal,rmse_S_blockEW,rmse_SC_blockEW,delta_SC_blockEW,blocks_SC_better,frac_blocks_SC_better,delta_SC_all,jk_delta_min,jk_delta_max,jk_most_influential_block,jk_block_n,jk_delta_without_it,jk_sign_consistent,h1_delta,h1_ci_lo,h1_ci_hi,h1cal_delta,h1cal_ci_lo,h1cal_ci_hi
Lena,2958,20,,21.624,5.676,20.866,22.448,-8.823,20.641,21.034,3.305,20.772,20.761,-1.573,20.701,21.283,4.491,20.804,0.99,0.997,0.583,20.725,14.759,-0.863,-6.865,0.126,-1.062,20.816,15.391,-0.341,-6.233,0.055,24.952,27.339,2.388,8,0.4,-0.863,-1.633,-0.248,14400253,112,-1.633,1.0,-0.863,-2.453,2.05,-0.34,-0.715,0.205
Canada,747,36,,26.504,2.307,26.403,30.048,10.365,28.204,25.838,-0.482,25.833,25.719,6.336,24.927,25.876,0.913,25.86,0.667,0.961,0.677,25.371,20.33,-0.785,-6.174,0.127,0.218,25.781,18.492,-0.628,-8.012,0.078,20.922,26.015,5.093,13,0.361,-0.785,-2.234,1.46,12199757,143,1.46,0.972,-0.785,-4.095,4.748,-0.628,-1.637,0.664
Russia_W,28,18,,42.456,-32.366,27.476,42.742,-26.661,33.408,41.8,-30.501,28.581,41.444,-29.514,29.096,41.954,-31.434,27.786,0.825,0.966,0.531,41.439,36.59,-1.012,-5.866,0.173,0.03,41.799,37.162,-0.502,-5.294,0.095,37.988,35.497,-2.491,11,0.611,-1.012,-1.575,-0.326,13800176,1,-0.326,1.0,-1.012,-3.147,0.884,-0.502,-1.82,0.315
Russia_C,7,6,참고(n<10),53.386,-19.904,49.537,56.766,-14.226,54.955,58.143,-20.513,54.405,54.0,-17.065,51.232,55.672,-20.208,51.874,0.923,0.993,0.887,53.328,40.739,0.614,-12.647,-0.049,4.638,44.74,41.974,2.286,-11.412,-0.2,34.731,36.627,1.896,3,0.5,0.614,-1.935,6.991,12400259,1,6.991,0.667,0.614,-4.358,11.695,2.286,1.086,5.012
Russia_E,27,19,,28.444,-9.287,26.886,28.38,-15.12,24.016,28.169,-10.903,25.974,27.657,-12.204,24.819,28.218,-10.095,26.35,0.902,0.988,0.489,27.656,21.768,-0.787,-6.676,0.118,0.115,28.165,21.243,-0.226,-7.201,0.031,11.763,11.884,0.122,11,0.579,-0.787,-1.369,1.401,13700323,4,1.401,0.947,-0.788,-2.41,2.386,-0.226,-1.072,0.869
Svalbard,3,3,참고(n<10),117.716,-110.815,39.714,109.074,-101.498,39.942,101.126,-94.078,37.092,113.372,-106.156,39.8,109.401,-102.446,38.384,0.997,0.998,-9.736,53.12,109.828,-4.344,-7.888,0.551,-5.701,26.665,105.988,-8.315,-11.728,0.709,110.815,106.156,-4.659,3,1.0,-4.344,-5.289,-3.249,15600032,1,-3.249,1.0,-4.344,-5.98,-2.57,-8.315,-10.879,-6.607
Mongolia_CAsia,43,19,,266.057,-236.227,122.406,204.713,-166.681,118.847,242.887,-212.748,117.186,232.752,-201.454,116.576,254.158,-224.487,119.172,0.868,0.979,-1.161,173.746,218.771,-33.305,-47.286,0.704,-4.516,187.141,239.945,-11.899,-26.112,0.456,229.435,194.361,-35.074,17,0.895,-33.305,-37.392,-25.47,9500214,6,-25.47,1.0,-33.305,-47.283,-18.444,-11.899,-17.52,-5.833
Alps,8,4,참고(n<10),333.941,-324.134,80.336,340.072,-325.323,99.065,335.899,-324.706,85.99,336.018,-324.728,86.37,334.706,-324.42,82.339,0.853,0.961,1.266,333.655,330.931,2.077,-3.01,-0.69,1.635,333.591,329.712,0.765,-4.229,-0.181,317.485,308.039,-9.446,2,0.5,2.077,-8.839,9.296,9200014,3,-8.839,0.5,2.078,-27.071,16.509,0.765,-12.556,8.671
Tibet,7,7,참고(n<10),183.522,-158.126,93.148,153.307,-116.558,99.586,160.462,-132.17,90.99,167.506,-137.342,95.892,171.83,-145.148,91.964,0.98,0.995,-1.884,126.198,153.334,-16.016,-30.188,0.531,-4.749,93.311,159.081,-11.692,-24.441,0.478,158.126,137.342,-20.784,7,1.0,-16.016,-17.582,-15.085,7100188,1,-17.582,1.0,-16.017,-19.28,-11.723,-11.693,-13.581,-9.614
Scandinavia,3,3,참고(n<10),294.281,-229.208,184.567,288.014,-204.977,202.328,287.053,-213.599,191.769,290.619,-217.092,193.21,290.539,-221.403,188.132,0.995,0.999,-0.937,286.073,256.67,-3.662,-37.611,0.097,-5.506,267.946,258.321,-3.742,-35.96,0.104,229.208,218.647,-10.561,3,1.0,-3.662,-4.791,-1.545,12400018,1,-1.545,1.0,-3.662,-25.615,-0.11,-3.742,-15.031,-3.398
