target,block,n_block,delta_SC_without_block,rmse_S_block,rmse_SC_block
Lena,14300254,2,-0.862,12.589,9.106
Lena,14300257,28,-0.878,15.504,16.703
Lena,14300258,893,-0.791,12.726,11.354
Lena,14300259,133,-0.996,17.316,19.688
Lena,14300260,115,-0.847,15.924,14.469
Lena,14400251,15,-0.894,26.726,30.375
Lena,14400252,1180,-0.248,20.415,18.485
Lena,14400253,112,-1.633,63.751,67.299
Lena,14400254,5,-0.862,10.863,8.348
Lena,14400258,4,-0.893,57.851,64.136
Lena,14500247,41,-0.972,34.639,38.111
Lena,14500248,4,-0.866,6.696,11.03
Lena,14500252,1,-0.865,6.455,16.327
Lena,14500253,1,-0.864,2.074,8.563
Lena,14500254,8,-0.861,17.442,15.715
Lena,14500255,64,-0.84,14.782,12.172
Lena,14500256,347,-0.36,17.614,10.822
Lena,14600247,2,-0.887,65.95,75.043
Lena,14600248,1,-0.867,15.044,25.922
Lena,14700246,2,-0.885,64.67,73.115
Canada,11999732,1,-0.822,6.127,38.147
Canada,12099765,48,-2.234,31.386,44.443
Canada,12099766,7,-0.871,21.985,30.277
Canada,12099767,5,-0.907,7.124,30.997
Canada,12199757,143,1.46,39.502,32.585
Canada,12299756,1,-0.782,17.823,13.194
Canada,12299765,10,-0.768,27.659,25.697
Canada,12299766,16,-0.792,17.375,17.009
Canada,12399718,1,-0.792,19.186,24.593
Canada,12399767,19,-0.926,18.208,24.127
Canada,12399772,8,-0.76,27.598,24.546
Canada,12399773,60,-0.952,16.476,18.544
Canada,12499753,1,-0.785,11.704,10.883
Canada,12499767,8,-0.73,31.744,26.463
Canada,12499773,17,-0.806,13.165,13.98
Canada,12699722,1,-0.833,28.354,51.227
Canada,12699752,1,-0.818,6.901,36.369
Canada,12899748,1,-0.787,3.729,9.544
Canada,12999746,1,-0.787,1.96,9.771
Canada,12999747,1,-0.788,14.356,17.898
Canada,13099742,1,-0.804,14.802,30.715
Canada,13099821,1,-0.785,0.956,2.645
Canada,13299870,1,-0.783,9.575,4.91
Canada,13499720,157,-0.499,26.477,24.588
Canada,13499721,33,-0.706,29.828,27.507
Canada,13499731,1,-0.798,35.756,41.605
Canada,13599732,121,-0.804,15.432,14.695
Canada,13699731,1,-0.81,76.387,81.333
Canada,13699732,68,-0.705,14.103,11.414
Canada,13699733,7,-0.775,15.269,12.337
Canada,13799730,1,-0.807,60.798,66.649
Canada,13799731,1,-0.794,18.686,25.799
Canada,14499841,1,-0.789,10.054,15.405
Canada,14599838,1,-0.789,15.41,19.592
Canada,15999828,1,-0.791,12.531,19.332
Canada,16199846,1,-0.792,34.777,37.739
Russia_W,13000145,1,-1.124,54.944,56.139
Russia_W,13200153,2,-0.733,75.453,72.368
Russia_W,13300132,2,-1.167,35.042,36.403
Russia_W,13300133,3,-1.239,17.577,20.562
Russia_W,13400125,1,-1.053,1.189,7.217
Russia_W,13400127,1,-0.715,80.794,75.459
Russia_W,13400153,1,-0.904,35.933,31.223
Russia_W,13400172,1,-1.03,22.658,22.385
Russia_W,13500128,1,-0.956,26.91,23.203
Russia_W,13600138,1,-0.966,36.229,33.714
Russia_W,13800176,1,-0.326,40.473,2.558
Russia_W,13900133,1,-0.982,64.524,62.893
Russia_W,14000137,5,-1.207,38.073,38.066
Russia_W,14000151,1,-1.147,35.523,38.661
Russia_W,14100156,2,-1.139,34.852,35.802
Russia_W,14100157,1,-1.021,17.375,16.554
Russia_W,14300142,1,-0.971,16.208,11.004
Russia_W,14600140,2,-1.575,50.033,54.729
Russia_C,11300236,2,-1.935,16.196,32.964
Russia_C,12400258,1,-0.279,52.508,58.283
Russia_C,12400259,1,6.991,128.95,121.746
Russia_C,14300257,1,0.683,4.408,2.321
Russia_C,14400199,1,0.684,3.944,0.772
Russia_C,14900197,1,0.652,2.379,3.677
Russia_E,11100320,1,-0.798,6.754,6.133
Russia_E,11100321,1,-0.794,3.634,0.601
Russia_E,12800354,1,-0.877,5.299,11.683
Russia_E,12900353,2,-0.806,8.119,7.411
Russia_E,12900354,1,-0.812,1.559,3.949
Russia_E,13600322,1,-0.718,13.78,7.79
Russia_E,13700321,1,-1.103,32.265,37.933
Russia_E,13700322,4,-1.369,22.277,25.493
Russia_E,13700323,4,1.401,66.678,62.629
Russia_E,13800308,1,-0.748,11.258,6.54
Russia_E,13800309,1,-0.921,1.807,13.284
Russia_E,13800313,1,-0.794,4.599,2.922
Russia_E,13800316,1,-0.736,10.943,4.305
Russia_E,13800317,1,-0.859,0.241,9.113
Russia_E,13900307,1,-0.877,4.85,11.475
Russia_E,14000319,1,-0.86,1.204,9.248
Russia_E,14100294,2,-0.763,6.851,2.462
Russia_E,14100313,1,-0.704,12.357,1.945
Russia_E,14300282,1,-0.749,9.02,0.89
Svalbard,15500029,1,-5.289,121.474,118.903
Svalbard,15600027,1,-4.437,57.729,52.303
Svalbard,15600032,1,-3.249,153.241,147.261
Mongolia_CAsia,9400215,1,-33.729,218.039,205.319
Mongolia_CAsia,9500200,2,-32.713,286.626,241.842
Mongolia_CAsia,9500214,6,-25.47,298.015,218.147
Mongolia_CAsia,9500216,2,-34.177,316.75,297.011
Mongolia_CAsia,9600198,1,-33.43,156.922,127.443
Mongolia_CAsia,9600200,1,-33.489,89.859,54.052
