target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Lena,ridge,direct,all,2958,20,1.0,26.19,21.624,4.566,1.844,10.859,-9.875,5.676,
Lena,ridge,direct,complete,2638,18,0.892,25.493,22.227,3.266,-1.411,10.183,-8.016,6.263,
Lena,ridge,direct,sg_missing,320,5,0.108,31.353,15.799,15.554,4.767,23.896,-25.202,0.843,
Lena,ridge,direct,aoa_in,1870,19,0.632,28.589,24.193,4.396,0.258,12.12,-11.243,5.494,
Lena,ridge,direct,aoa_out,1088,13,0.368,21.447,16.288,5.16,-0.324,12.42,-7.525,5.99,
Lena,ridge,direct,swe_in_range,2958,20,1.0,26.19,21.624,4.566,1.844,10.859,-9.875,5.676,
Lena,ridge,direct,x25_any_out_of_range,2958,20,1.0,26.19,21.624,4.566,1.844,10.859,-9.875,5.676,
Lena,ridge,stefan+lam0.25,all,2958,20,1.0,21.525,21.624,-0.099,-0.874,1.322,2.82,5.676,
Lena,ridge,stefan+lam0.25,complete,2638,18,0.892,22.011,22.227,-0.216,-0.93,1.521,3.752,6.263,
Lena,ridge,stefan+lam0.25,sg_missing,320,5,0.108,17.0,15.799,1.201,-1.069,3.561,-4.863,0.843,
Lena,ridge,stefan+lam0.25,aoa_in,1870,19,0.632,24.096,24.193,-0.097,-1.039,1.609,2.379,5.494,
Lena,ridge,stefan+lam0.25,aoa_out,1088,13,0.368,16.18,16.288,-0.107,-0.405,1.019,3.577,5.99,
Lena,ridge,stefan+lam0.25,swe_in_range,2958,20,1.0,21.525,21.624,-0.099,-0.874,1.322,2.82,5.676,
Lena,ridge,stefan+lam0.25,x25_any_out_of_range,2958,20,1.0,21.525,21.624,-0.099,-0.874,1.322,2.82,5.676,
Lena,catboost_lo,direct,all,2958,20,1.0,24.103,21.624,2.479,-0.041,4.223,11.748,5.676,
Lena,catboost_lo,direct,complete,2638,18,0.892,24.536,22.227,2.309,-1.539,4.062,11.819,6.263,
Lena,catboost_lo,direct,sg_missing,320,5,0.108,20.189,15.799,4.389,1.131,7.807,11.159,0.843,
Lena,catboost_lo,direct,aoa_in,1870,19,0.632,26.712,24.193,2.519,-0.087,4.735,12.102,5.494,
Lena,catboost_lo,direct,aoa_out,1088,13,0.368,18.791,16.288,2.504,-0.054,4.001,11.139,5.99,
Lena,catboost_lo,direct,swe_in_range,2958,20,1.0,24.103,21.624,2.479,-0.041,4.223,11.748,5.676,
Lena,catboost_lo,direct,x25_any_out_of_range,2958,20,1.0,24.103,21.624,2.479,-0.041,4.223,11.748,5.676,
Lena,catboost_lo,stefan+lam0.25,all,2958,20,1.0,22.082,21.624,0.458,-0.373,0.807,7.2,5.676,
Lena,catboost_lo,stefan+lam0.25,complete,2638,18,0.892,22.711,22.227,0.484,-0.574,0.864,7.87,6.263,
Lena,catboost_lo,stefan+lam0.25,sg_missing,320,5,0.108,15.981,15.799,0.182,0.034,0.39,1.677,0.843,
Lena,catboost_lo,stefan+lam0.25,aoa_in,1870,19,0.632,24.652,24.193,0.459,-0.454,0.915,7.137,5.494,
Lena,catboost_lo,stefan+lam0.25,aoa_out,1088,13,0.368,16.767,16.288,0.48,-0.174,0.767,7.309,5.99,
Lena,catboost_lo,stefan+lam0.25,swe_in_range,2958,20,1.0,22.082,21.624,0.458,-0.373,0.807,7.2,5.676,
Lena,catboost_lo,stefan+lam0.25,x25_any_out_of_range,2958,20,1.0,22.082,21.624,0.458,-0.373,0.807,7.2,5.676,
Lena,mlp,direct,all,2958,20,1.0,23.237,21.624,1.613,-1.422,2.77,9.504,5.676,
Lena,mlp,direct,complete,2638,18,0.892,23.94,22.227,1.713,-2.208,2.832,11.128,6.263,
Lena,mlp,direct,sg_missing,320,5,0.108,16.33,15.799,0.531,-1.168,3.696,-3.888,0.843,
Lena,mlp,direct,aoa_in,1870,19,0.632,25.804,24.193,1.611,-1.57,3.155,9.343,5.494,
Lena,mlp,direct,aoa_out,1088,13,0.368,17.99,16.288,1.702,-0.543,2.916,9.781,5.99,
Lena,mlp,direct,swe_in_range,2958,20,1.0,23.237,21.624,1.613,-1.422,2.77,9.504,5.676,
Lena,mlp,direct,x25_any_out_of_range,2958,20,1.0,23.237,21.624,1.613,-1.422,2.77,9.504,5.676,
Lena,mlp,stefan+lam0.25,all,2958,20,1.0,22.0,21.624,0.376,-0.662,0.798,7.115,5.676,
Lena,mlp,stefan+lam0.25,complete,2638,18,0.892,22.66,22.227,0.433,-0.823,0.875,7.884,6.263,
Lena,mlp,stefan+lam0.25,sg_missing,320,5,0.108,15.535,15.799,-0.265,-0.469,0.237,0.771,0.843,
Lena,mlp,stefan+lam0.25,aoa_in,1870,19,0.632,24.582,24.193,0.389,-0.739,0.953,7.166,5.494,
Lena,mlp,stefan+lam0.25,aoa_out,1088,13,0.368,16.652,16.288,0.364,-0.442,0.684,7.027,5.99,
Lena,mlp,stefan+lam0.25,swe_in_range,2958,20,1.0,22.0,21.624,0.376,-0.662,0.798,7.115,5.676,
Lena,mlp,stefan+lam0.25,x25_any_out_of_range,2958,20,1.0,22.0,21.624,0.376,-0.662,0.798,7.115,5.676,
Canada,ridge,direct,all,747,36,1.0,47.627,26.504,21.123,-0.95,51.953,-24.165,2.307,
Canada,ridge,direct,complete,746,35,0.999,47.644,26.522,21.122,0.143,51.869,-24.154,2.312,
Canada,ridge,direct,sg_missing,1,1,0.001,32.614,0.956,31.658,,,-32.614,-0.956,참고(n<10)
Canada,ridge,direct,aoa_in,354,23,0.474,37.005,30.361,6.644,-5.62,17.369,-23.527,4.977,
Canada,ridge,direct,aoa_out,393,22,0.526,55.48,22.469,33.011,4.441,73.668,-24.74,-0.097,
Canada,ridge,direct,swe_in_range,746,35,0.999,34.624,26.519,8.105,-2.538,15.534,-22.998,2.323,
Canada,ridge,direct,swe_out_of_range,1,1,0.001,894.478,9.575,884.903,,,-894.478,-9.575,참고(n<10)
Canada,ridge,direct,x25_all_in_range,4,4,0.005,32.396,36.116,-3.72,-8.945,5.722,-2.106,-7.986,참고(n<10)
Canada,ridge,direct,x25_any_out_of_range,743,32,0.995,47.696,26.443,21.253,0.343,49.283,-24.284,2.363,
Canada,ridge,stefan+lam0.25,all,747,36,1.0,27.745,26.504,1.241,-3.469,6.334,-4.239,2.307,
Canada,ridge,stefan+lam0.25,complete,746,35,0.999,27.762,26.522,1.241,-3.277,5.654,-4.234,2.312,
