target,stratum,n,catboost_lo|direct,catboost_lo|stefan+lam0.25,mlp|direct,mlp|stefan+lam0.25,ridge|direct,ridge|stefan+lam0.25
Alps,all,8.0,-1.024,-0.472,21.736,29.019,562.814,108.78
Alps,complete,8.0,-1.024,-0.472,21.736,29.019,562.814,108.78
Alps,aoa_out,8.0,-1.024,-0.472,21.736,29.019,562.814,108.78
Alps,swe_out_of_range,8.0,-1.024,-0.472,21.736,29.019,562.814,108.78
Canada,all,747.0,2.015,-0.2,1.141,0.394,21.123,1.241
Canada,complete,746.0,2.014,-0.2,1.135,0.393,21.122,1.241
Canada,sg_missing,1.0,9.329,-0.746,16.202,5.617,31.658,7.271
Canada,aoa_in,354.0,0.75,-0.472,0.23,0.137,6.644,-0.805
Canada,aoa_out,393.0,3.493,0.123,2.223,0.712,33.011,3.537
Canada,swe_in_range,746.0,2.012,-0.2,1.123,0.188,8.105,-0.118
Canada,swe_out_of_range,1.0,7.572,-0.813,19.885,81.849,884.903,225.06
Lena,all,2958.0,2.479,0.458,1.613,0.376,4.566,-0.099
Lena,complete,2638.0,2.309,0.484,1.713,0.433,3.266,-0.216
Lena,sg_missing,320.0,4.389,0.182,0.531,-0.265,15.554,1.201
Lena,aoa_in,1870.0,2.519,0.459,1.611,0.389,4.396,-0.097
Lena,aoa_out,1088.0,2.504,0.48,1.702,0.364,5.16,-0.107
Lena,swe_in_range,2958.0,2.479,0.458,1.613,0.376,4.566,-0.099
Mongolia_CAsia,all,43.0,6.501,-0.485,2.485,-0.462,14.488,3.115
Mongolia_CAsia,complete,43.0,6.501,-0.485,2.485,-0.462,14.488,3.115
Mongolia_CAsia,aoa_out,43.0,6.501,-0.485,2.485,-0.462,14.488,3.115
Mongolia_CAsia,swe_in_range,4.0,2.813,-0.002,1.431,0.133,-0.683,-0.236
Mongolia_CAsia,swe_out_of_range,39.0,6.847,-0.531,2.585,-0.518,15.878,3.429
Russia_C,all,7.0,6.953,-0.119,3.361,0.126,28.311,6.455
Russia_C,complete,6.0,7.12,-0.139,3.648,0.142,30.329,6.995
Russia_C,sg_missing,1.0,13.977,0.85,-2.09,-0.585,13.061,-3.256
Russia_C,aoa_in,3.0,12.987,1.964,7.377,1.463,6.996,-1.153
Russia_C,aoa_out,4.0,7.953,-0.255,3.905,0.098,37.128,8.581
Russia_C,swe_in_range,5.0,3.198,0.632,-1.061,0.268,-1.48,-3.494
Russia_C,swe_out_of_range,2.0,12.294,-0.402,6.629,0.165,53.704,12.932
Russia_E,all,27.0,2.111,0.376,1.921,0.39,8.678,1.133
Russia_E,complete,27.0,2.111,0.376,1.921,0.39,8.678,1.133
Russia_E,aoa_in,19.0,1.618,0.271,1.089,0.299,8.311,1.206
Russia_E,aoa_out,8.0,6.363,1.487,7.846,1.402,13.677,1.381
Russia_E,swe_in_range,25.0,2.233,0.403,1.97,0.398,8.253,1.062
Russia_E,swe_out_of_range,2.0,-5.001,-0.846,1.848,0.503,22.298,5.49
Russia_W,all,28.0,3.822,0.193,5.251,1.396,10.05,2.293
Russia_W,complete,28.0,3.822,0.193,5.251,1.396,10.05,2.293
Russia_W,aoa_in,25.0,3.176,0.178,4.756,1.289,6.007,1.507
Russia_W,aoa_out,3.0,7.416,0.287,8.297,2.084,29.367,6.333
Russia_W,swe_in_range,23.0,2.294,-0.169,2.551,0.733,1.897,0.667
Russia_W,swe_out_of_range,5.0,10.148,1.779,15.879,4.257,37.075,8.966
Scandinavia,all,3.0,-5.598,0.215,,,-9.122,-2.0
Scandinavia,complete,3.0,-5.598,0.215,,,-9.122,-2.0
Scandinavia,aoa_out,3.0,-5.598,0.215,,,-9.122,-2.0
Scandinavia,swe_out_of_range,3.0,-5.598,0.215,,,-9.122,-2.0
Svalbard,all,3.0,-15.581,0.072,-3.511,12.77,169.636,38.513
Svalbard,complete,3.0,-15.581,0.072,-3.511,12.77,169.636,38.513
Svalbard,aoa_in,1.0,-12.862,-0.209,-14.748,-0.98,-20.133,-4.805
Svalbard,aoa_out,2.0,-17.273,0.135,-1.742,16.419,212.655,49.373
Svalbard,swe_in_range,1.0,-12.862,-0.209,-14.748,-0.98,-20.133,-4.805
Svalbard,swe_out_of_range,2.0,-17.273,0.135,-1.742,16.419,212.655,49.373
Tibet,all,7.0,-21.504,-3.131,-37.665,-3.91,-45.071,-11.991
Tibet,complete,7.0,-21.504,-3.131,-37.665,-3.91,-45.071,-11.991
Tibet,aoa_in,1.0,20.489,1.6,23.796,3.825,18.477,4.494
Tibet,aoa_out,6.0,-24.085,-3.432,-41.868,-4.339,-49.643,-13.114
Tibet,swe_in_range,1.0,-23.647,-4.136,-49.087,-5.17,-50.86,-13.114
Tibet,swe_out_of_range,6.0,-21.54,-3.059,-37.173,-3.819,-45.181,-12.007
