target,n_cells,n_blocks,flag,E_alaska,E_oracle_k1,a_oracle_k2,E_oracle_k2,y_mean,y_sd,rmse_S,bias_S,rmse_SC,rmse_SCcal,rmse_C,rmse_oracle_k1,rmse_oracle_k2,rmse_oracle_k3_S_C,rmse_const_mean,gain_SC,gain_SCcal,gain_oracle_k1,gain_oracle_k2,ratio_SC_over_oracle_k1,ratio_SCcal_over_oracle_k1,residual_after_oracle_k1_pct
Lena,2958,20,,1.6167,1.4251,-31.73,2.5005,41.98,20.97,21.624,5.676,20.761,21.283,22.448,20.873,20.851,20.614,20.97,0.863,0.341,0.751,0.773,1.149,0.454,96.5
Canada,747,36,,1.6167,1.5885,-91.29,3.8296,62.7,30.04,26.504,2.307,25.719,25.876,30.048,26.479,24.376,24.197,30.042,0.785,0.628,0.025,2.128,31.4,25.12,99.9
Russia_W,28,18,,1.6167,2.5571,25.77,1.8099,87.55,28.17,42.456,-32.366,41.444,41.954,42.742,27.591,27.468,27.465,28.174,1.012,0.502,14.865,14.988,0.068,0.034,65.0
Russia_C,7,6,참고(n<10),1.6167,2.2831,-105.23,5.0189,79.37,57.43,53.386,-19.904,54.0,55.672,56.766,47.134,41.672,36.372,57.425,-0.614,-2.286,6.252,11.714,-0.098,-0.366,88.3
Russia_E,27,19,,1.6167,1.9258,-89.89,4.6574,62.02,29.0,28.444,-9.287,27.657,28.218,28.38,26.581,25.204,23.759,28.996,0.787,0.226,1.863,3.24,0.422,0.121,93.5
Svalbard,3,3,참고(n<10),1.6167,6.7826,343.73,-10.1445,142.83,34.99,117.716,-110.815,113.372,109.401,109.074,55.903,14.145,0.0,34.995,4.344,8.315,61.813,103.571,0.07,0.135,47.5
Mongolia_CAsia,43,19,,1.6167,7.4883,100.83,4.9998,300.93,123.51,266.057,-236.227,232.752,254.158,204.713,121.983,121.468,116.371,123.507,33.305,11.899,144.074,144.589,0.231,0.083,45.8
Alps,8,4,참고(n<10),1.6167,11.0002,283.25,2.833,378.47,81.79,333.941,-324.134,336.018,334.706,340.072,94.214,80.004,79.863,81.788,-2.077,-0.765,239.727,253.937,-0.009,-0.003,28.2
Tibet,7,7,참고(n<10),1.6167,6.6267,292.64,-3.8509,197.9,86.27,183.522,-158.126,167.506,171.83,153.307,128.192,78.923,78.919,86.273,16.016,11.692,55.33,104.599,0.289,0.211,69.9
Scandinavia,3,3,참고(n<10),1.6167,9.8294,517.64,-8.7529,274.18,184.47,294.281,-229.208,290.619,290.539,288.014,185.308,184.232,0.0,184.471,3.662,3.742,108.973,110.049,0.034,0.034,63.0
