target,n_cells,n_blocks,flag,auc_x25,eps_bal_x25,a_dist_x25,cv_folds,auc_x14,a_dist_x14,mmd2_linear,mmd2_rbf,p_perm_rbf,rbf_bandwidth,di_x25_median,di_x25_q3,out_aoa_x25,di_x14_median,out_aoa_x14,smd_top5,swe_out_of_range,any_x25_out_of_range,mean_n_out_of_range,top_out_of_range,soil_missing
Lena,2958,20,,1.0,0.0,2.0,5,1.0,2.0,64.948,0.5515,0.005,8.458,2.329,2.438,0.368,2.341,0.693,sg_soc_5_15:-4.17; sg_soc_0_5:-4.09; sg_soc_15_30:-2.71; e5_tcold:-2.54; sg_bdod_5_15:+2.35,0.0,1.0,5.81,e5_fdd:1.00,0.108
Canada,747,36,,1.0,0.0,2.0,5,0.998,1.989,53.507,0.4714,0.005,8.003,2.405,2.522,0.526,1.411,0.048,sg_soc_0_5:-3.91; sg_soc_5_15:-3.50; sg_bdod_5_15:+2.75; sg_clay_5_15:+1.74; sg_phh2o_5_15:+1.67,0.001,0.995,2.06,sg_bdod_5_15:0.57,0.001
Russia_W,28,18,,1.0,0.0,2.0,5,1.0,1.928,25.93,0.3249,0.005,7.182,1.687,2.016,0.107,1.506,0.107,e5_swe:+2.12; sg_soc_0_5:-1.90; sg_soc_5_15:-1.84; sg_sand_5_15:+1.71; sg_bdod_5_15:+1.69,0.179,0.607,1.07,sg_silt_5_15:0.61,0.0
Russia_C,7,6,참고(n<10),1.0,0.0,2.0,5,1.0,2.0,54.489,0.5268,0.005,7.174,2.774,2.883,0.571,2.472,0.571,sg_soc_5_15:-3.50; sg_soc_0_5:-3.50; sg_cfvo_5_15:+3.03; sg_bdod_5_15:+2.66; e5_tcold:-2.56,0.286,1.0,4.43,e5_fdd:0.71,0.143
Russia_E,27,19,,1.0,0.019,1.926,5,0.992,1.704,59.583,0.5738,0.005,7.228,2.252,2.438,0.296,1.78,0.222,sg_soc_0_5:-3.87; sg_soc_5_15:-3.79; sg_bdod_5_15:+3.29; sg_soc_15_30:-2.22; e5_tcold:-2.07,0.074,0.889,3.78,e5_fdd:0.78,0.0
Svalbard,3,3,참고(n<10),1.0,0.0,2.0,3,1.0,1.333,552.145,0.5214,0.005,7.16,2.574,13.213,0.667,4.401,1.0,e5_swe:+22.36; sg_cfvo_5_15:+3.48; dem_tpi:+3.18; dem_rough:+1.95; sg_soc_0_5:-1.80,0.667,1.0,5.33,e5_stl1:1.00,0.0
Mongolia_CAsia,43,19,,1.0,0.0,2.0,5,1.0,2.0,171.993,0.8658,0.005,7.288,3.88,4.564,1.0,4.297,1.0,dem_elev:+5.74; sg_soc_5_15:-4.68; sg_soc_0_5:-4.59; cci_alt:+4.19; sg_phh2o_5_15:+3.98,0.907,1.0,7.05,dem_elev:1.00,0.0
Alps,8,4,참고(n<10),1.0,0.0,2.0,5,1.0,2.0,3779.303,0.8125,0.005,7.179,8.84,16.861,1.0,17.453,1.0,e5_swe:+55.11; dem_rough:+17.24; dem_slope:+12.61; dem_tpi:+10.48; dem_elev:+9.72,1.0,1.0,9.25,dem_elev:1.00,0.0
Tibet,7,7,참고(n<10),1.0,0.071,1.714,5,1.0,1.714,340.949,1.1993,0.005,7.176,6.628,6.715,0.857,11.56,1.0,dem_elev:+14.22; sg_soc_0_5:-5.18; sg_soc_5_15:-5.06; sg_cfvo_5_15:+4.89; sg_phh2o_5_15:+4.76,0.857,1.0,8.29,sg_soc_5_15:1.00,0.0
Scandinavia,3,3,참고(n<10),1.0,0.0,2.0,3,1.0,2.0,176.792,0.8421,0.005,7.162,4.605,4.991,1.0,7.931,1.0,e5_swe:+8.07; dem_tpi:+4.26; dem_elev:+4.23; dem_slope:+4.03; dem_rough:+3.30,1.0,1.0,2.67,e5_swe:1.00,0.0
