scheme,model,seed,n_folds,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,rmse_fold_mean_cm,rmse_fold_sd_cm,nnd_median_km,W_km,max_fold_share
random_cell,stefan,0,6,13606,14.24,10.496,-0.93,0.3289,17.382,0.1808,14.237,0.302,0.004,103.923,0.1667
random_cell,ridge,0,6,13606,12.655,9.249,-0.0,0.4699,17.382,0.2719,12.652,0.34,0.004,103.923,0.1667
random_cell,catboost_lo,0,6,13606,11.544,8.189,-0.005,0.5589,17.382,0.3358,11.54,0.354,0.004,103.923,0.1667
random_cell,stefan_ridge_l075,0,6,13606,12.77,9.323,-0.233,0.4602,17.382,0.2653,12.767,0.325,0.004,103.923,0.1667
random_cell,stefan,1,6,13606,14.241,10.496,-0.93,0.3288,17.382,0.1807,14.233,0.527,0.004,103.9,0.1667
random_cell,ridge,1,6,13606,12.656,9.251,-0.004,0.4699,17.382,0.2719,12.648,0.487,0.004,103.9,0.1667
random_cell,catboost_lo,1,6,13606,11.573,8.211,-0.023,0.5567,17.382,0.3342,11.562,0.531,0.004,103.9,0.1667
random_cell,stefan_ridge_l075,1,6,13606,12.77,9.324,-0.235,0.4602,17.382,0.2653,12.762,0.512,0.004,103.9,0.1667
random_cell,stefan,2,6,13606,14.24,10.495,-0.93,0.3289,17.382,0.1808,14.236,0.376,0.004,103.873,0.1667
random_cell,ridge,2,6,13606,12.646,9.245,-0.002,0.4706,17.382,0.2724,12.643,0.339,0.004,103.873,0.1667
random_cell,catboost_lo,2,6,13606,11.54,8.2,-0.004,0.5592,17.382,0.3361,11.538,0.26,0.004,103.873,0.1667
random_cell,stefan_ridge_l075,2,6,13606,12.764,9.32,-0.234,0.4608,17.382,0.2657,12.76,0.351,0.004,103.873,0.1667
site_0.05,stefan,0,6,13606,14.276,10.546,-0.897,0.3255,17.382,0.1787,14.267,1.633,0.828,100.592,0.2181
site_0.05,ridge,0,6,13606,13.301,9.714,-0.363,0.4144,17.382,0.2348,13.315,1.617,0.828,100.592,0.2181
site_0.05,catboost_lo,0,6,13606,13.349,9.489,-1.029,0.4102,17.382,0.232,13.362,1.746,0.828,100.592,0.2181
site_0.05,stefan_ridge_l075,0,6,13606,13.262,9.674,-0.495,0.4179,17.382,0.237,13.271,1.515,0.828,100.592,0.2181
site_0.05,stefan,1,6,13606,14.319,10.589,-0.9,0.3214,17.382,0.1762,14.23,2.405,0.815,100.518,0.1907
site_0.05,ridge,1,6,13606,13.368,9.873,-0.355,0.4086,17.382,0.231,13.261,2.314,0.815,100.518,0.1907
site_0.05,catboost_lo,1,6,13606,13.325,9.591,-0.524,0.4124,17.382,0.2334,13.178,2.56,0.815,100.518,0.1907
