scheme,seed,fold,model,n_test,E_train,nnd_median_km,rmse_cm,mae_cm,bias_cm,r2
random_cell,0,0,stefan,2268,1.6144,0.004,14.677,10.628,-1.269,0.3386
random_cell,0,0,ridge,2268,1.6144,0.004,13.206,9.424,-0.216,0.4645
random_cell,0,0,catboost_lo,2268,1.6144,0.004,12.123,8.368,-0.277,0.5487
random_cell,0,0,stefan_ridge_l075,2268,1.6144,0.004,13.304,9.497,-0.479,0.4566
random_cell,0,1,stefan,2268,1.6158,0.004,14.142,10.382,-1.053,0.3428
random_cell,0,1,ridge,2268,1.6158,0.004,12.693,9.343,0.147,0.4706
random_cell,0,1,catboost_lo,2268,1.6158,0.004,11.432,8.178,0.058,0.5705
random_cell,0,1,stefan_ridge_l075,2268,1.6158,0.004,12.775,9.354,-0.152,0.4637
random_cell,0,2,stefan,2268,1.6185,0.004,13.95,10.33,-0.597,0.3318
random_cell,0,2,ridge,2268,1.6185,0.004,12.232,9.061,0.312,0.4863
random_cell,0,2,catboost_lo,2268,1.6185,0.004,11.078,7.987,0.285,0.5786
random_cell,0,2,stefan_ridge_l075,2268,1.6185,0.004,12.376,9.148,0.087,0.4741
random_cell,0,3,stefan,2268,1.6166,0.004,14.553,10.613,-1.019,0.3004
random_cell,0,3,ridge,2268,1.6166,0.004,12.734,9.265,-0.359,0.4643
random_cell,0,3,catboost_lo,2268,1.6166,0.004,11.624,8.162,-0.238,0.5537
random_cell,0,3,stefan_ridge_l075,2268,1.6166,0.004,12.908,9.355,-0.528,0.4496
random_cell,0,4,stefan,2267,1.6154,0.004,14.041,10.538,-1.25,0.3212
random_cell,0,4,ridge,2267,1.6154,0.004,12.682,9.231,-0.352,0.4462
random_cell,0,4,catboost_lo,2267,1.6154,0.004,11.649,8.268,-0.242,0.5328
random_cell,0,4,stefan_ridge_l075,2267,1.6154,0.004,12.729,9.313,-0.579,0.4422
random_cell,0,5,stefan,2267,1.6194,0.004,14.06,10.485,-0.394,0.3354
random_cell,0,5,ridge,2267,1.6194,0.004,12.362,9.169,0.467,0.4862
random_cell,0,5,catboost_lo,2267,1.6194,0.004,11.332,8.172,0.381,0.5683
random_cell,0,5,stefan_ridge_l075,2267,1.6194,0.004,12.511,9.268,0.253,0.4738
random_cell,1,0,stefan,2268,1.6176,0.004,13.9,10.277,-0.782,0.3408
