assignment,method,rmse_pooled,rmse_pooled_excl_bigblock,rmse_fold_mean,rmse_fold_sd,rmse_fold_min,rmse_fold_max,max_fold_share,bigblock_fold,bigblock_fold_size
current,stefan,14.456724652001068,15.972264300231124,14.731125156425234,4.372507464309899,11.04826970573343,22.56257686893177,0.3466117889166544,0,4716
current,stefan_ridge075,13.329976140284538,14.99913351276577,13.608191050840025,4.523805463046439,9.410166349515459,21.140121700702068,0.3466117889166544,0,4716
current,ridge,13.619658636814481,15.056765222577704,13.805665238220776,4.421804786382758,10.318454446113048,21.268173513026372,0.3466117889166544,0,4716
current,catboost_lo,16.038445856947924,15.417390875804253,15.18885313004777,4.434643058855179,10.89644511662368,22.621791324781906,0.3466117889166544,0,4716
random_1,stefan,14.510656980033827,16.011728876333517,15.288671353544823,3.369521109161082,11.926111795783523,20.477316561190378,0.3813758635895928,3,5189
random_1,stefan_ridge075,13.684034750223017,15.061255777001392,14.246265391518094,3.628596195160282,9.749047556173474,19.57276568092499,0.3813758635895928,3,5189
random_1,ridge,14.62177582542935,15.201092132472581,14.74971218253176,3.6089872075493874,9.810404251147464,20.060386189844156,0.3813758635895928,3,5189
random_1,catboost_lo,16.065160041195597,15.206673694370263,15.314009811687384,3.4507144803916585,10.130693969280204,19.068662373157135,0.3813758635895928,3,5189
random_2,stefan,14.412755216108954,15.932713515762467,14.51886830628196,4.711436455676367,10.517751647208454,22.3943396267581,0.35550492429810376,1,4837
random_2,stefan_ridge075,13.517636159648198,15.247224651890594,13.830811997807075,4.39933152117535,9.422241447350299,20.346707859469923,0.35550492429810376,1,4837
random_2,ridge,13.878762441533622,15.376001409621374,14.157850834415372,4.142437222036555,9.733628091083059,20.149450769976006,0.35550492429810376,1,4837
random_2,catboost_lo,15.887245474023711,15.590715200314001,15.311212069738344,3.7575880108905766,10.457973448934519,20.974837249405006,0.35550492429810376,1,4837
random_3,stefan,14.467312573711165,16.003645284248353,15.389348996130474,4.803761609224764,11.231742357581687,24.171006992610035,0.3691753638100838,5,5023
random_3,stefan_ridge075,13.380525578448989,15.06816115775349,14.329677018892314,4.750916111163713,10.060955058498067,22.34353009908004,0.3691753638100838,5,5023
random_3,ridge,13.643839138874872,15.14119245723977,14.522027240580604,4.489792065135313,10.776603099689455,22.043101617508654,0.3691753638100838,5,5023
random_3,catboost_lo,15.397796295414988,15.132703887473646,15.385675086386277,4.0872665184893275,10.94644760519869,22.33707036561166,0.3691753638100838,5,5023
random_4,stefan,14.383860847175413,15.904206391694167,15.048730955457074,2.243479701628241,11.527158311512895,17.711640159451868,0.35682787005732763,5,4855
random_4,stefan_ridge075,13.50352096122077,15.13173259197483,14.1093725773936,2.2469418612628482,10.155168073530355,16.81941371789552,0.35682787005732763,5,4855
random_4,ridge,14.103837468043407,15.325286281877343,14.523078253629613,1.7158878291421777,11.73655389485877,16.84100541509548,0.35682787005732763,5,4855
random_4,catboost_lo,16.40564653884129,15.512400218805874,15.810278846412587,1.5412939177758809,14.0645124602464,18.05538191632474,0.35682787005732763,5,4855
random_5,stefan,14.3707912750325,15.876632453103586,14.946472126249631,4.044122021849299,11.33771850405995,21.855076686790422,0.3545494634719977,1,4824
random_5,stefan_ridge075,13.587784028900158,15.341119655460885,14.280671622303535,3.9915332497200002,9.816389474717992,20.47970991267953,0.3545494634719977,1,4824
random_5,ridge,14.068605511979936,15.60396842386624,14.705932163327228,3.875889078885174,10.863558106480683,20.993520960937516,0.3545494634719977,1,4824
random_5,catboost_lo,16.022708118444665,15.24444983807617,15.478829684684024,3.2306667498442594,10.825139270416857,20.062744173548833,0.3545494634719977,1,4824
random_6,stefan,14.464771314001197,15.971117158942256,15.34992914173199,5.081688411032715,10.519314533582666,24.216430643942893,0.3585917977362928,0,4879
random_6,stefan_ridge075,13.571657572214816,15.234063109252265,14.441707545660492,5.172451405658447,9.463988993782646,23.230637416636135,0.3585917977362928,0,4879
random_6,ridge,14.10481938425807,15.356539776651365,14.81132199834562,4.90721775560118,9.590737289253447,23.31028679217325,0.3585917977362928,0,4879
random_6,catboost_lo,15.992285518801623,15.493731532431172,15.871081937936014,4.780697120528143,9.746420129908882,23.89509315549616,0.3585917977362928,0,4879
random_7,stefan,14.448546900679068,15.961407670819119,14.89839291002574,3.7190194027594727,11.04797018512475,20.91663297763358,0.34683227987652504,3,4719
random_7,stefan_ridge075,13.443142321895108,15.136671463366241,13.944233223937646,3.726278561444692,9.467205980937667,19.560469528815652,0.34683227987652504,3,4719
random_7,ridge,13.829810852725116,15.269287805464064,14.261159580576662,3.4018244382689478,10.605333810646822,19.46783961744916,0.34683227987652504,3,4719
random_7,catboost_lo,16.294862926870813,15.28168446712579,15.493513087781052,3.385764380107824,11.192581876384514,20.19832533492321,0.34683227987652504,3,4719
random_8,stefan,14.351659761364145,15.859614363519553,14.432605888046368,4.810032087121631,10.985260331743504,23.061804338261958,0.37505512273996766,0,5103
random_8,stefan_ridge075,13.491595019088166,15.197227652058734,13.742395093936013,4.690052971303557,9.686833112232302,21.553497622791454,0.37505512273996766,0,5103
random_8,ridge,13.834822069016045,15.330005153025942,14.022090652432174,4.560026866709974,9.801939124852149,21.636416837216135,0.37505512273996766,0,5103
random_8,catboost_lo,15.910029127435285,15.272967132265798,15.049003359349449,4.086290250884185,10.791255177889111,21.48815973678442,0.37505512273996766,0,5103
random_9,stefan,14.470740858565048,15.991678041652936,15.078318223743752,3.713898042824008,10.856867415574524,19.508068970461167,0.3466117889166544,4,4716
random_9,stefan_ridge075,13.289297477439321,14.943786086477102,13.754815434009979,3.4372296339037933,9.410166349515459,18.80671467962641,0.3466117889166544,4,4716
random_9,ridge,13.642005329900245,15.08769571316367,14.031264955541099,3.1569313939087444,10.383123278867753,18.92022503090957,0.3466117889166544,4,4716
random_9,catboost_lo,15.909112572912658,15.210922470925185,15.264671041371718,2.9327555686620035,10.45173043013281,18.866720267053985,0.3466117889166544,4,4716
random_10,stefan,14.439739502126722,15.981274703601878,15.040990386645129,4.02004917912064,10.838471274300797,21.883023096083395,0.3533735116860209,2,4808
random_10,stefan_ridge075,13.587224291659867,15.340072807007086,14.30292785036869,4.258197366502215,10.043281127410223,20.898185993784086,0.3533735116860209,2,4808
random_10,ridge,13.896714072715573,15.491487329158241,14.575051599655282,4.224850890635771,10.748818835181726,21.174701366717038,0.3533735116860209,2,4808
random_10,catboost_lo,16.607481784898365,15.337658584860861,15.783912020242512,3.836526058904283,10.445190202774565,20.569315963045533,0.3533735116860209,2,4808
