assignment,method,fold,n,n_blocks,has_bigblock,rmse,bias,E_fold
current,stefan,0,4716,1,True,11.04826970573343,-5.928663311800569,1.5733794682552538
current,stefan,1,1778,13,False,12.393012327618024,1.5247648488727428,1.624858225419867
current,stefan,2,1778,7,False,17.095104163955103,2.5304661141559577,1.6269999259931562
current,stefan,3,1778,17,False,13.326100191336595,6.793764267335565,1.6515893063003515
current,stefan,4,1778,18,False,11.961687680976489,-3.168557721227809,1.6063477761999378
current,stefan,5,1778,18,False,22.56257686893177,0.4439357931198877,1.620761439998167
current,stefan_ridge075,0,4716,1,True,9.410166349515459,1.1842986969353404,1.5733794682552538
current,stefan_ridge075,1,1778,13,False,12.07088670613203,1.93813027936573,1.624858225419867
current,stefan_ridge075,2,1778,7,False,17.010550522600628,4.720481853306496,1.6269999259931562
current,stefan_ridge075,3,1778,17,False,10.500411450438161,1.1967474494276489,1.6515893063003515
current,stefan_ridge075,4,1778,18,False,11.517009575651798,-2.587457561166636,1.6063477761999378
current,stefan_ridge075,5,1778,18,False,21.140121700702068,-3.5698072843886224,1.620761439998167
current,ridge,0,4716,1,True,10.383123278867753,4.501277217311435,1.5733794682552538
current,ridge,1,1778,13,False,12.0903207284164,2.016353844421554,1.624858225419867
current,ridge,2,1778,7,False,17.08697011640151,5.20681405996195,1.6269999259931562
current,ridge,3,1778,17,False,10.318454446113048,-0.687263821060233,1.6515893063003515
current,ridge,4,1778,18,False,11.686949346499569,-1.8883820617290596,1.6063477761999378
current,ridge,5,1778,18,False,21.268173513026372,-4.771035897028788,1.620761439998167
current,catboost_lo,0,4716,1,True,17.148123648013875,14.059472582615168,1.5733794682552538
current,catboost_lo,1,1778,13,False,12.155033897263898,-2.7303714842157567,1.624858225419867
current,catboost_lo,2,1778,7,False,16.333018652917843,1.0156475784792627,1.6269999259931562
current,catboost_lo,3,1778,17,False,10.89644511662368,-0.44597238185710036,1.6515893063003515
current,catboost_lo,4,1778,18,False,11.978706140685421,-3.5049374753850464,1.6063477761999378
current,catboost_lo,5,1778,18,False,22.621791324781906,-7.002390998124328,1.620761439998167
