a,b,spearman_rho,p,top5_overlap,n_features
Alaska_oof,Lena,-0.1351361423998303,0.5195409472631534,1,25
Alaska_oof,Canada,0.3223076923076923,0.11611273112778325,2,25
Alaska_oof,Russia_W,-0.08424697212968428,0.6888749606981848,2,25
Alaska_oof,Russia_E,-0.2653846153846154,0.1997981662941645,1,25
Lena,Canada,-0.3382264592635753,0.09818758363696825,0,25
Lena,Russia_W,-0.01969505433867877,0.9255520585537044,2,25
Lena,Russia_E,0.11119774003186038,0.596687502491093,0,25
Canada,Russia_W,-0.2054241238230658,0.3245776080833863,1,25
Canada,Russia_E,0.20923076923076922,0.315493655798588,2,25
Russia_W,Russia_E,-0.3242931392937162,0.11375488223633337,1,25
