scope,region,method,feature,group,delta_rmse_cm,delta_rmse_sd,rmse_base,n_eval,n_blocks,n_rep,rank
noinfo,Lena,catboost_lo,dem_elev,지형,-0.2759202882710593,0.011792628441384437,24.103325186835132,2958,20,10,25
noinfo,Lena,catboost_lo,dem_slope,지형,-0.014480782564519146,0.012308383226686734,24.103325186835132,2958,20,10,21
noinfo,Lena,catboost_lo,dem_aspect_sin,지형,-0.005881246644354121,0.004229967908741087,24.103325186835132,2958,20,10,20
noinfo,Lena,catboost_lo,dem_aspect_cos,지형,-0.005133813260840015,0.0034760971617186893,24.103325186835132,2958,20,10,19
noinfo,Lena,catboost_lo,dem_tpi,지형,0.4152353881096893,0.040070711770841205,24.103325186835132,2958,20,10,1
noinfo,Lena,catboost_lo,dem_rough,지형,-0.08033238598086889,0.026403996746421438,24.103325186835132,2958,20,10,24
noinfo,Lena,catboost_lo,e5_maat,기후,0.0,0.0,24.103325186835132,2958,20,10,14
noinfo,Lena,catboost_lo,e5_tdd,기후,4.938064973742939e-05,0.00018945676188709368,24.103325186835132,2958,20,10,11
noinfo,Lena,catboost_lo,e5_fdd,기후,0.0,0.0,24.103325186835132,2958,20,10,14
noinfo,Lena,catboost_lo,e5_sqrt_tdd,기후,-0.0005828221403906042,0.00018855964427944916,24.103325186835132,2958,20,10,17
noinfo,Lena,catboost_lo,e5_twarm,기후,0.00036794123113246255,0.00015352673319467798,24.103325186835132,2958,20,10,9
noinfo,Lena,catboost_lo,e5_tcold,기후,0.0,0.0,24.103325186835132,2958,20,10,14
noinfo,Lena,catboost_lo,e5_stl1,기후,0.007747208381274362,0.0023768212567604552,24.103325186835132,2958,20,10,7
noinfo,Lena,catboost_lo,e5_swe,기후,-0.015057279332943452,0.002731248694982724,24.103325186835132,2958,20,10,22
noinfo,Lena,catboost_lo,sg_clay_5_15,토양,0.015485444172239581,0.005822016346610863,24.103325186835132,2958,20,10,4
noinfo,Lena,catboost_lo,sg_sand_5_15,토양,-0.015186188311934145,0.01580871165190059,24.103325186835132,2958,20,10,23
noinfo,Lena,catboost_lo,sg_silt_5_15,토양,0.0,0.0,24.103325186835132,2958,20,10,14
noinfo,Lena,catboost_lo,sg_bdod_5_15,토양,0.0169793904067685,0.0029491318576311816,24.103325186835132,2958,20,10,3
noinfo,Lena,catboost_lo,sg_cfvo_5_15,토양,0.014850438663642862,0.0029316849615845845,24.103325186835132,2958,20,10,5
noinfo,Lena,catboost_lo,sg_phh2o_5_15,토양,0.0847264413083412,0.010099846141349492,24.103325186835132,2958,20,10,2
noinfo,Lena,catboost_lo,sg_soc_0_5,토양,-0.004508048016285926,0.0009435569838826446,24.103325186835132,2958,20,10,18
noinfo,Lena,catboost_lo,sg_soc_5_15,토양,0.0037391758598911196,0.002268243902899243,24.103325186835132,2958,20,10,8
noinfo,Lena,catboost_lo,sg_soc_15_30,토양,0.01305545678319362,0.0076234943015434905,24.103325186835132,2958,20,10,6
noinfo,Lena,catboost_lo,cci_alt,CCI,0.00019569725759254196,0.0008375526751319083,24.103325186835132,2958,20,10,10
noinfo,Lena,catboost_lo,cci_valid,CCI,0.0,0.0,24.103325186835132,2958,20,10,14
noinfo,Canada,catboost_lo,dem_elev,지형,0.04540932778867699,0.01037260445262599,28.51866490320412,747,36,10,12
noinfo,Canada,catboost_lo,dem_slope,지형,-0.05511528998719832,0.0222744164994404,28.51866490320412,747,36,10,22
noinfo,Canada,catboost_lo,dem_aspect_sin,지형,-0.030843661778993336,0.00955216099314221,28.51866490320412,747,36,10,20
noinfo,Canada,catboost_lo,dem_aspect_cos,지형,0.009983269210616185,0.012372401178829234,28.51866490320412,747,36,10,15
noinfo,Canada,catboost_lo,dem_tpi,지형,-0.034823069350929006,0.0328934955836902,28.51866490320412,747,36,10,21
noinfo,Canada,catboost_lo,dem_rough,지형,0.60073162541937,0.04116177760366829,28.51866490320412,747,36,10,2
noinfo,Canada,catboost_lo,e5_maat,기후,0.7770801395827295,0.03451479370064897,28.51866490320412,747,36,10,1
noinfo,Canada,catboost_lo,e5_tdd,기후,0.12701404278012624,0.013688337037698497,28.51866490320412,747,36,10,9
