region,regime,within_sd_rms,n_within,within_sd_rms_1yr,n_within_1yr,within_sd_median,n_obs_median,within_source,interannual_sd_rms,interannual_sd_median,interannual_sd_detr_rms,se_multiyear_rms,n_sites_5yr,n_years_median,alt_mean_calm,cv_median,interannual_source,var_y_eval_cm2,sd_y_eval_cm,n_eval,rmse_stefan,rmse_best,best_label,bound_r2_a_within,noise_share_of_mse_a_within,bound_r2_b_interannual,noise_share_of_mse_b_interannual,bound_r2_b_interannual_detr,noise_share_of_mse_b_interannual_detr,bound_r2_c_se_multiyear,noise_share_of_mse_c_se_multiyear,r2_achieved_stefan,r2_achieved_best
Alaska,alaska,6.387232932860517,12765,4.898692245293804,12076,2.2687113740406315,13.0,ABoVE_AK 셀(n_obs≥2),13.411504941839178,5.219585451041251,8.09687679506779,2.7885065750236766,62.0,20.0,53.58663442235551,0.11252335629230742,CALM 사이트-연도(PANGAEA 972777),302.1532554620214,17.38255606813973,13606,14.46,13.33,Stefan+ridge λ=0.75 (지역 내 6-fold),0.8649799603309393,0.19511422045944435,0.40471114722910884,0.8602376413255084,0.7830259557049597,0.3135439866283831,0.974265480254183,0.03718833716395242,0.3079948793526025,0.41192458863864767
Lena,main,,0,,0,,,,8.256728195979512,4.8216122342571435,,5.0800074549166885,25.0,2.0,,,Lena_RU 셀 n_years≥2 (n=146; n_years≥5 는 25),439.9100056000584,20.974031696363443,2958,21.623974076906,20.76094055492512,Stefan+CCI (정보 없음),,,0.8450283930021298,0.14579577956621517,,,0.941336920248477,0.0551896544780999,-0.06293616632083388,0.020216300519904862
Canada,main,16.721017215734978,332,4.018756824795892,107,10.776721813101444,15.0,ABoVE_CA 셀(n_obs≥2),20.04227714030313,5.916977019840209,13.935510080359608,6.020732392945043,32.0,11.5,80.97774904866638,0.08708683181430639,CALM 사이트-연도(PANGAEA 972777),903.7340770385097,30.062170198415643,747,26.50381058079329,25.7192633059778,Stefan+CCI (정보 없음),0.6906253467335042,0.3980235326528556,0.5555187270518287,0.5718438940906878,0.7851155045119217,0.2764579615797312,0.9598895079111717,0.051603838870043696,0.2227227088697712,0.2680584678516783
Russia_W,main,,0,,0,,,,13.616968125586771,9.402391397160514,9.063426400812066,3.5094389056707582,30.0,15.5,89.68231782436473,0.1164445737302246,CALM 사이트-연도(PANGAEA 972777),823.1992233563354,28.691448610279952,28,42.45573520473923,41.44395775138159,Stefan+CCI (정보 없음),,,0.7747546211508229,0.10286985077813295,0.900211642829285,0.045573469537947796,0.9850386624729548,0.0068328618625244615,-1.1896151024363837,-1.0864956931024823
Russia_E,main,,0,,0,,,,7.3001262397213695,5.983849230462213,6.753354985518774,1.6428402055743965,27.0,20.0,62.71250441487263,0.10944653287586283,CALM 사이트-연도(PANGAEA 972777),873.0868504068468,29.548043089295216,27,28.444276371760154,27.65674152478464,Stefan+CCI (정보 없음),,,0.9389615785748747,0.06586746681518252,0.9477625810774969,0.056370174343539685,0.9969087566262234,0.003335806621238664,0.07331457582249234,0.12391836916073584
Russia_C,main,,0,,0,,,,5.462501360753336,5.556478999731653,5.372661301256385,1.9170661546511942,7.0,13.0,78.57764457764458,0.11401754250991379,CALM 사이트-연도(PANGAEA 972777),3847.2388401439002,62.02611417898029,7,53.38599364319602,53.999612442895256,Stefan+CCI (정보 없음),,,0.9922440684459517,0.010469560611460045,0.9924970893002998,0.010128013351520995,0.9990447323927589,0.0012894946331694283,0.2591922582158266,0.24206469492967042
Greenland,main,,0,,0,,,,9.320378647248125,9.301628822694775,7.056121625878999,1.730750864838914,2.0,29.0,70.75862068965517,0.1314463173951447,CALM 사이트-연도(PANGAEA 972777),,,1,,,,,,,,,,,,,
Svalbard,deep,,0,,0,,,,15.640864931412722,11.81220838463017,12.682792584442126,4.946722518416013,8.0,11.0,144.5355324074074,0.08755520554552805,CALM 사이트-연도(PANGAEA 972777),,,0,,,,,,,,,,,,,
Scandinavia,deep,,0,,0,,,,46.10087840057728,15.108275877809483,26.57715085430311,11.02706293040597,3.0,25.0,287.2188235294118,0.13803057012041114,CALM 사이트-연도(PANGAEA 972777),,,0,,,,,,,,,,,,,
Mongolia_CAsia,deep,,0,,0,,,,43.64911114012287,19.98204737101124,24.6311341955481,13.551119812950434,30.0,8.0,360.95792088028935,0.056954534034019524,CALM 사이트-연도(PANGAEA 972777),,,0,,,,,,,,,,,,,
Alps,deep,,0,,0,,,,112.40779200452555,70.39392963291345,62.37842288867012,24.058430828959434,12.0,20.5,440.9224952295512,0.18087068236950432,CALM 사이트-연도(PANGAEA 972777),,,0,,,,,,,,,,,,,
Tibet,deep,,0,,0,,,,13.56645799269406,10.744689579641324,6.967607136886881,4.319760132972821,4.0,7.0,166.67708333333331,0.08147181159903005,CALM 사이트-연도(PANGAEA 972777),,,0,,,,,,,,,,,,,
