Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_C1,Canada,78.8833,-75.9167,5,1995,2001,53.8,7.661592523751183,43.0,62.0,3.1286670027236076,3.426368339802363,0.14240878296935283
CALM_C10,Canada,65.2833,-126.8833,11,1990,2000,67.81818181818181,8.36442684011501,58.0,80.0,5.571844806296592,2.5219695831854114,0.12333605260223207
CALM_C11A,Canada,65.1931,-126.4689,14,1992,2005,62.285714285714285,2.4314785444432587,59.0,66.0,2.528156461055188,0.6498399754713193,0.03903749956674957
CALM_C11B,Canada,65.1931,-126.4689,11,1998,2008,46.09090909090909,3.5058392848088595,39.0,50.0,3.692060824433034,1.0570503166362644,0.07606357422662219
CALM_C12,Canada,64.9167,-125.5833,11,1990,2000,74.18181818181819,8.20753534038303,63.0,87.0,6.905129113985298,2.4746650161484003,0.1106407950296732
CALM_C13,Canada,63.5,-123.7,16,1994,2017,64.5625,3.9322385482063527,58.0,72.0,2.699943182416519,0.9830596370515882,0.060905921366216496
CALM_C14A,Canada,62.6967,-123.065,20,1993,2018,87.35,5.091530635332198,79.0,102.0,4.060301132550785,1.1385008610125487,0.05828884528142185
CALM_C14B,Canada,62.6967,-123.065,11,2001,2013,81.0909090909091,6.284179269475775,72.0,88.0,4.734474185003872,1.8947513411073493,0.07749548426483578
CALM_C15A,Canada,61.8878,-121.6017,3,1993,1995,108.0,14.106735979665885,95.0,123.0,2.449489742783178,8.144527815247079,0.13061792573764708
CALM_C15B,Canada,61.8878,-121.6017,14,1999,2015,89.28571428571429,9.571018524921767,76.0,104.0,5.953940098581288,2.5579622973374114,0.10719540747912379
CALM_C16,Canada,81.4007,-71.3833,6,1994,1999,47.666666666666664,3.3266599866332407,43.0,52.0,3.560363812335823,1.358103252497558,0.06979006964964841
CALM_C17,Canada,56.6333,-76.1,7,1990,1997,134.0,17.492855684535893,107.0,157.0,11.231038771371935,6.6116779802320735,0.13054369913832756
CALM_C18,Canada,81.4007,-76.7094,20,1999,2018,59.1,4.204008112566661,50.0,67.0,4.107891218007215,0.9400447917659641,0.07113380901128022
CALM_C19,Canada,80.0167,-85.75,3,1997,2000,51.333333333333336,2.0816659994661335,49.0,53.0,1.6035674514746676,1.2018504251546636,0.04055193505453507
CALM_C20,Canada,64.2,-95.5,6,1997,2004,170.66666666666666,26.333755270881266,120.0,193.0,23.17500983993502,10.75071057083102,0.15429934729031994
CALM_C21,Canada,52.8,-118.1167,12,1990,2002,250.16666666666666,102.40191167723148,84.0,362.0,68.18374083365795,29.56088563619094,0.40933475687101195
CALM_C22,Canada,63.9405,-138.5916,6,2009,2014,38.5,9.22496612459905,26.0,52.0,4.994282445242151,3.7660766499546097,0.23960950972984543
CALM_C23,Canada,60.4494,-133.5202,6,2009,2014,54.833333333333336,6.369196704975179,46.0,65.0,4.990467102863244,2.6002136664341866,0.11615556300866588
CALM_C24,Canada,62.3377,-140.8383,5,2010,2014,47.6,5.5497747702046425,42.0,54.0,3.8643671323172466,2.481934729198171,0.11659190693707232
CALM_C25,Canada,65.8781,-89.3672,3,2014,2017,48.333333333333336,4.72581562625261,43.0,52.0,5.345224838248488,2.7284509239574843,0.09777549571557123
CALM_C26,Canada,73.0054,-80.6873,8,2011,2018,51.375,8.749489781042746,40.0,65.0,6.900799355584109,3.093411778048863,0.17030637043392205
CALM_C27,Canada,66.8793,-64.6973,9,2009,2017,29.444444444444443,4.156654637779975,25.0,36.0,4.299593926931695,1.3855515459266583,0.14116940279252746
CALM_C28,Canada,72.8107,-79.3293,9,2009,2018,47.55555555555556,5.294126724756198,35.0,53.0,4.724092578606382,1.764708908252066,0.11132509467945274
CALM_C3A,Canada,69.7197,-134.4619,21,1991,2024,61.476190476190474,3.3558761541369133,55.0,70.0,3.224193242183689,0.7323122142490333,0.05458822559014344
CALM_C3B,Canada,69.7197,-134.4619,14,1998,2013,46.785714285714285,4.209486930705477,40.0,52.0,4.330382657085117,1.1250327049144653,0.089973766457827
CALM_C4A,Canada,69.3692,-134.9486,14,1992,2011,122.42857142857143,16.96926763169359,101.0,171.0,14.458863439020618,4.535227541590734,0.13860545323437004
CALM_C4B,Canada,69.3692,-134.9486,16,1998,2013,95.5625,8.189169677079601,80.0,110.0,5.641355773037528,2.0472924192699002,0.08569438511005469
CALM_C5A,Canada,69.2189,-134.2911,31,1991,2024,76.41935483870968,6.761529380982714,64.0,91.0,6.8728543163179685,1.2144065266343127,0.0884792785185581
CALM_C5B,Canada,69.2189,-134.2911,14,1998,2013,56.142857142857146,4.7855092624608835,49.0,64.0,4.954940738961579,1.2789811486687057,0.08523807846622439
