region,regime,n_cells,n_blocks,sources,alt_mean_cm,alt_sd_cm,E_LS,E_LS_lo,E_LS_hi,E_med,E_med_lo,E_med_hi,E_soil_LS,E_ratio_vs_alaska,rmse_stefan_alaskaE,bias_stefan_alaskaE,rmse_stefan_ownE,nfactor_proxy_median,nfactor_proxy_iqr_lo,nfactor_proxy_iqr_hi,n_nfactor,soc_0_5_mean,clay_5_15_mean,bdod_5_15_mean,maat_mean_c,tdd_mean,sqrt_tdd_mean,cci_alt_mean,ci_flag
Alaska,alaska,13606,74,F4_direct,50.47190876722744,17.38191727365673,1.616688667140627,1.5248397839570864,1.717583986951617,1.6200388443364633,1.4950977242057792,1.7477597721442881,1.544026819343951,1.0,14.238703699561986,-0.9302144811385992,14.238703699561986,1.1135675846263735,1.022406264251066,1.527485074294552,13606,336.8058430104366,18.19162869322358,0.6437049830956931,-5.218376572696868,1012.6724253705928,30.64392996192104,45.384409819197415,ok
Lena,main,3037,20,F4_direct,42.220487871803314,21.09377334039003,1.4339838226739525,1.3029563131909905,1.8852496208105398,1.2766976576160505,1.157307102107756,1.6099877295916551,1.4060214315013984,0.8869882320695565,21.679839027852378,5.410158130472283,21.000339676851226,1.0427743657789215,1.0078578285509152,1.053664732645188,3037,103.84547519878832,22.820151953690303,1.0077394926164334,-10.713571874413162,868.79067243539,29.461854326298962,33.15348208248817,ok
Canada,main,752,41,"F4_calm_temp,F4_direct",63.15532599295279,31.07598719459821,1.5997564490559701,1.2946235698763129,1.8953013432039059,1.3955977374047115,1.1305415661815028,1.7809520571584998,1.618038123118778,0.9895266055680316,27.87995188719445,1.713556419063356,27.87155770107062,0.9879294868462085,0.9211396417597689,1.0024960099752735,751,114.17653333333334,25.195066666666666,1.0682533333333335,-4.515480646982472,1632.328332901001,40.1245358679647,72.98985313751668,ok
Russia_W,main,31,21,F4_direct,90.81248883156648,30.022169402686004,2.6441227216083845,2.378144556802491,2.9821323278813066,2.548381851650625,2.2482824823059566,2.9320536109856072,2.6475076969865654,1.6355175707917462,45.73941611675284,-35.3351698586582,28.93482626180157,0.993731479428733,0.9768202137153579,1.029058518962515,31,227.03225806451613,19.712903225806453,0.9061290322580645,-4.6275673143325315,1188.7508200368572,34.31540042340299,60.89285714285713,ok
Russia_C,main,7,6,F4_direct,79.36904761904762,57.425023217687205,2.283141376200387,,,1.4890244836612783,,,2.440400707906948,1.4122331792171763,53.385994252504034,-19.903991277754557,47.1341434597936,0.940891361537348,0.8486707020810125,0.9709214124882181,7,137.83333333333334,22.016666666666666,1.055,-8.039067268371582,1414.8910653250557,36.78200852763232,65.14285714285715,blocks<8
Russia_E,main,30,21,F4_direct,60.03522222735362,28.15435685734916,1.887204956079742,1.4656126478973817,2.3556302292502145,1.599368060328225,1.4492851948729604,1.7812310417559922,1.8137008635055007,1.1673273861797808,27.101114463396094,-7.926665676185659,25.644489951494517,1.0752494953156329,1.0354434183592403,1.118566624355756,30,114.44999999999999,21.456666666666667,1.1556666666666662,-8.608219265937805,1049.8978474934895,32.23165820994484,46.8962962962963,ok
Greenland,main,3,2,F4_direct,69.67241379310344,3.917576276764087,3.885870160242426,,,4.763869707406976,,,,2.4035983174888025,43.391985112062464,-42.46204696903194,18.36679606616525,1.3469331506763838,1.3469331506763838,1.3469331506763838,1,175.83333333333334,18.599999999999998,0.9333333333333335,-8.831002076466879,300.1494954427083,16.830925692203554,38.26666666666667,blocks<8
Svalbard,deep,4,4,"F4_calm_temp,F4_direct",146.2898148148148,30.892974058730832,7.4380998738414075,,,9.476617735341707,,,6.221003808790815,4.600823909402965,122.59137727254318,-117.15436559650021,58.70539541639899,1.183619537556041,1.1759674191639244,1.1932470480371025,3,237.97500000000002,15.6,0.8049999999999999,-5.023062467575073,341.77405548095703,18.02168210274233,41.333333333333336,blocks<8
Mongolia_CAsia,deep,46,21,F4_calm_temp,306.2795646382603,124.56828946157144,7.569424756808712,6.662399216566881,8.49896091772695,7.568093120718901,5.970641400991909,9.34968149234782,7.421083972651525,4.682054690342113,271.04095980502996,-241.2028228755175,123.83508526349704,1.0153334519357469,0.9975849820987936,1.0632171756916187,46,76.7804347826087,24.632608695652173,1.2193478260869564,-2.1834208965301514,1640.410998137101,40.253106912564306,134.24651162790695,ok
Alps,deep,9,5,F4_calm_temp,378.51510166409287,77.1107750398376,10.926955509211187,,,10.411395627872823,,,11.53598529285588,6.758849574010597,332.4231141236995,-323.67686901217417,89.07709680684576,0.9106835096279248,0.7655632374744079,0.9817074333426739,9,98.4,17.077777777777776,1.1066666666666667,-0.1945868862999811,1183.3079494900173,33.92009467655199,53.150000000000006,blocks<8
Tibet,deep,7,7,"F4_calm_temp,F4_direct",197.90051020408163,86.27283707244034,6.626681754639509,,,9.17720912833687,,,6.270141428794061,4.098922624576726,183.52233447375608,-158.12640844376799,128.19165097834735,1.6398908729228097,1.3652911011091011,1.7566370833023977,7,42.17142857142857,20.085714285714285,1.2028571428571428,-5.39234060900552,687.1444920131138,24.60220237125836,81.34285714285714,blocks<8
Scandinavia,deep,3,3,"F4_calm_temp,F4_direct",274.1765912518854,184.470770596689,9.82944291736316,,,8.675079216999361,,,10.184116529114785,6.079985044212689,294.281046415943,-229.2080154593531,185.308039434012,1.101161421080573,0.959243167486115,1.1019610580941457,3,183.66666666666666,7.866666666666666,0.94,-2.5352808634440103,774.837392171224,27.815235367528334,69.2,blocks<8
