set,method,weight,n,n_pairs,S0,moran_I,E_I,z_perm,p_perm,n_perm,resid_var,mean_neighbours
Alaska_OOF,stefan,band5km,13606,17224682,17224682.0,0.13327591221506419,-7.350238882763689e-05,444.79421249997483,0.001,999,208.0103010820857,1265.9622225488754
Alaska_OOF,stefan_ridge075,band5km,13606,17224682,17224682.0,0.03822533022569191,-7.350238882763689e-05,124.42567465288225,0.001,999,177.28834058292884,1265.9622225488754
Alaska_OOF,catboost_lo,band5km,13606,17224682,17224682.0,0.3472470553737982,-7.350238882763689e-05,1165.0252482938738,0.001,999,246.87782184745453,1265.9622225488754
Alaska_OOF,stefan,band20km,13606,33303968,33303968.0,0.10733550547871144,-7.350238882763689e-05,531.5852717765852,0.001,999,208.0103010820857,2447.741290607085
Alaska_OOF,stefan_ridge075,band20km,13606,33303968,33303968.0,0.023745984253040756,-7.350238882763689e-05,116.89298609626157,0.001,999,177.28834058292884,2447.741290607085
Alaska_OOF,catboost_lo,band20km,13606,33303968,33303968.0,0.36944024195395375,-7.350238882763689e-05,1823.5491366408025,0.001,999,246.87782184745453,2447.741290607085
Alaska_OOF,stefan,band50km,13606,39665858,39665856.0,0.10078188608096195,-7.350238882763689e-05,530.8445702055504,0.001,999,208.0103010820857,2915.3210348375715
Alaska_OOF,stefan_ridge075,band50km,13606,39665858,39665856.0,0.018576243358009028,-7.350238882763689e-05,96.67981340938908,0.001,999,177.28834058292884,2915.3210348375715
Alaska_OOF,catboost_lo,band50km,13606,39665858,39665856.0,0.32816098315166536,-7.350238882763689e-05,1731.886880078269,0.001,999,246.87782184745453,2915.3210348375715
Alaska_OOF,stefan,band100km,13606,45776188,45776188.0,0.08555403623421842,-7.350238882763689e-05,483.12098518312564,0.001,999,208.0103010820857,3364.4118771130384
Alaska_OOF,stefan_ridge075,band100km,13606,45776188,45776188.0,0.0029481378544728653,-7.350238882763689e-05,17.036755926343854,0.001,999,177.28834058292884,3364.4118771130384
Alaska_OOF,catboost_lo,band100km,13606,45776188,45776188.0,0.29654522801699124,-7.350238882763689e-05,1671.9387122941673,0.001,999,246.87782184745453,3364.4118771130384
Alaska_OOF,stefan,knn8,13606,108848,13606.0,0.6319693691726486,-7.350238882763689e-05,149.5383157630865,0.001,999,208.0103010820857,8.0
Alaska_OOF,stefan_ridge075,knn8,13606,108848,13606.0,0.5625191993980562,-7.350238882763689e-05,131.76055935728732,0.001,999,177.28834058292884,8.0
Alaska_OOF,catboost_lo,knn8,13606,108848,13606.0,0.686566273283022,-7.350238882763689e-05,159.03240732225225,0.001,999,246.87782184745453,8.0
Lena,stefan,band5km,2958,1545582,1545582.0,0.09339251325922246,-0.00033818058843422386,99.56104511186211,0.001,999,435.37532709736325,522.5091277890466
Lena,stefan_cci,band5km,2958,1545582,1545582.0,0.08927043631767133,-0.00033818058843422386,95.7286375539317,0.001,999,428.54119845474975,522.5091277890466
Lena,stefan,band20km,2958,2714084,2714084.0,0.013293727661238599,-0.00033818058843422386,21.058770701453373,0.001,999,435.37532709736325,917.5402298850574
Lena,stefan_cci,band20km,2958,2714084,2714084.0,0.013522280596994974,-0.00033818058843422386,21.53597692091745,0.001,999,428.54119845474975,917.5402298850574
Lena,stefan,band50km,2958,3308522,3308522.0,0.012503248256102934,-0.00033818058843422386,22.841017323549995,0.001,999,435.37532709736325,1118.499661933739
Lena,stefan_cci,band50km,2958,3308522,3308522.0,0.010736480870128982,-0.00033818058843422386,19.781175769534176,0.001,999,428.54119845474975,1118.499661933739
Lena,stefan,band100km,2958,5160346,5160346.0,0.003964349496189092,-0.00033818058843422386,12.059646295867497,0.001,999,435.37532709736325,1744.5388776200136
Lena,stefan_cci,band100km,2958,5160346,5160346.0,0.0054046044805972455,-0.00033818058843422386,16.13448203176601,0.001,999,428.54119845474975,1744.5388776200136
Lena,stefan,knn8,2958,23664,2958.0,0.644194126561893,-0.00033818058843422386,74.05912293117943,0.001,999,435.37532709736325,8.0
Lena,stefan_cci,knn8,2958,23664,2958.0,0.6382056775871566,-0.00033818058843422386,73.262349188956,0.001,999,428.54119845474975,8.0
Canada,stefan,band5km,747,56910,56910.0,0.5273044560073757,-0.0013404825737265416,99.53296937213075,0.001,999,697.1285861096377,76.18473895582329
Canada,stefan_cci,band5km,747,56910,56910.0,0.24049159234821615,-0.0013404825737265416,46.433756817720756,0.001,999,621.3353977968729,76.18473895582329
Canada,stefan,band20km,747,84340,84340.0,0.4807438207035475,-0.0013404825737265416,111.17749080378724,0.001,999,697.1285861096377,112.904953145917
Canada,stefan_cci,band20km,747,84340,84340.0,0.2113106870858769,-0.0013404825737265416,49.03764809275186,0.001,999,621.3353977968729,112.904953145917
Canada,stefan,band50km,747,106588,106588.0,0.39030797487151314,-0.0013404825737265416,107.64438702977671,0.001,999,697.1285861096377,142.68808567603747
Canada,stefan_cci,band50km,747,106588,106588.0,0.17078075091995976,-0.0013404825737265416,46.97296415979551,0.001,999,621.3353977968729,142.68808567603747
Canada,stefan,band100km,747,111606,111606.0,0.37610559790856773,-0.0013404825737265416,105.93150572837335,0.001,999,697.1285861096377,149.40562248995985
Canada,stefan_cci,band100km,747,111606,111606.0,0.15490535260637245,-0.0013404825737265416,43.52078431129117,0.001,999,621.3353977968729,149.40562248995985
Canada,stefan,knn8,747,5976,747.0,0.5813782895293504,-0.0013404825737265416,33.94136271351773,0.001,999,697.1285861096377,8.0
Canada,stefan_cci,knn8,747,5976,747.0,0.46066124258293323,-0.0013404825737265416,26.726711535037815,0.001,999,621.3353977968729,8.0
