set,method,h_lo_km,h_hi_km,h_mid_km,n_pairs,gamma_cm2,resid_var_cm2
Alaska_OOF,stefan,0.0,0.5,0.3535533905932738,1733910,101.96566757814763,208.0103010820857
Alaska_OOF,stefan_ridge075,0.0,0.5,0.3535533905932738,1733910,101.95993741035977,177.28834058292884
Alaska_OOF,catboost_lo,0.0,0.5,0.3535533905932738,1733910,105.71984785385459,246.87782184745453
Alaska_OOF,stefan,0.5,1.0,0.7071067811865476,1921634,105.39567508931286,208.0103010820857
Alaska_OOF,stefan_ridge075,0.5,1.0,0.7071067811865476,1921634,104.61054799787084,177.28834058292884
Alaska_OOF,catboost_lo,0.5,1.0,0.7071067811865476,1921634,109.33565137534663,246.87782184745453
Alaska_OOF,stefan,1.0,2.0,1.4142135623730951,2716205,114.07319559012124,208.0103010820857
Alaska_OOF,stefan_ridge075,1.0,2.0,1.4142135623730951,2716205,112.20461810535124,177.28834058292884
Alaska_OOF,catboost_lo,1.0,2.0,1.4142135623730951,2716205,110.74026385756453,246.87782184745453
Alaska_OOF,stefan,2.0,5.0,3.1622776601683795,2240592,123.94560251641578,208.0103010820857
Alaska_OOF,stefan_ridge075,2.0,5.0,3.1622776601683795,2240592,131.7916026911125,177.28834058292884
Alaska_OOF,catboost_lo,2.0,5.0,3.1622776601683795,2240592,114.17477876062989,246.87782184745453
Alaska_OOF,stefan,5.0,10.0,7.0710678118654755,6200786,112.2629768291915,208.0103010820857
Alaska_OOF,stefan_ridge075,5.0,10.0,7.0710678118654755,6200786,106.36705280335046,177.28834058292884
Alaska_OOF,catboost_lo,5.0,10.0,7.0710678118654755,6200786,127.00879191721087,246.87782184745453
Alaska_OOF,stefan,10.0,20.0,14.142135623730951,1838857,115.33116876665642,208.0103010820857
Alaska_OOF,stefan_ridge075,10.0,20.0,14.142135623730951,1838857,113.14203146180692,177.28834058292884
Alaska_OOF,catboost_lo,10.0,20.0,14.142135623730951,1838857,122.3809960436069,246.87782184745453
Alaska_OOF,stefan,20.0,30.0,24.49489742783178,2284383,127.46469125648687,208.0103010820857
Alaska_OOF,stefan_ridge075,20.0,30.0,24.49489742783178,2284383,125.9016491263471,177.28834058292884
Alaska_OOF,catboost_lo,20.0,30.0,24.49489742783178,2284383,120.87709585516323,246.87782184745453
Alaska_OOF,stefan,30.0,50.0,38.72983346207417,896562,190.76880491264617,208.0103010820857
Alaska_OOF,stefan_ridge075,30.0,50.0,38.72983346207417,896562,178.10106559823947,177.28834058292884
Alaska_OOF,catboost_lo,30.0,50.0,38.72983346207417,896562,185.54984712607785,246.87782184745453
Alaska_OOF,stefan,50.0,75.0,61.237243569579455,2635358,225.80652199100763,208.0103010820857
Alaska_OOF,stefan_ridge075,50.0,75.0,61.237243569579455,2635358,233.12029774025885,177.28834058292884
Alaska_OOF,catboost_lo,50.0,75.0,61.237243569579455,2635358,229.2893903297681,246.87782184745453
Alaska_OOF,stefan,75.0,100.0,86.60254037844386,419807,275.1505589161495,208.0103010820857
Alaska_OOF,stefan_ridge075,75.0,100.0,86.60254037844386,419807,260.04643032002053,177.28834058292884
Alaska_OOF,catboost_lo,75.0,100.0,86.60254037844386,419807,258.04235385643136,246.87782184745453
Alaska_OOF,stefan,100.0,150.0,122.47448713915891,880207,438.19395682562293,208.0103010820857
Alaska_OOF,stefan_ridge075,100.0,150.0,122.47448713915891,880207,366.48654461703734,177.28834058292884
Alaska_OOF,catboost_lo,100.0,150.0,122.47448713915891,880207,344.7583306967239,246.87782184745453
Alaska_OOF,stefan,150.0,200.0,173.20508075688772,755978,322.0345202046956,208.0103010820857
Alaska_OOF,stefan_ridge075,150.0,200.0,173.20508075688772,755978,260.71527598537085,177.28834058292884
Alaska_OOF,catboost_lo,150.0,200.0,173.20508075688772,755978,286.8510555506796,246.87782184745453
Alaska_OOF,stefan,200.0,250.0,223.60679774997897,90144,309.4583731682743,208.0103010820857
Alaska_OOF,stefan_ridge075,200.0,250.0,223.60679774997897,90144,264.0467220381163,177.28834058292884
Alaska_OOF,catboost_lo,200.0,250.0,223.60679774997897,90144,323.1768592407341,246.87782184745453
Alaska_OOF,stefan,250.0,300.0,273.8612787525831,60956,223.8010037849956,208.0103010820857
Alaska_OOF,stefan_ridge075,250.0,300.0,273.8612787525831,60956,205.6314828932099,177.28834058292884
Alaska_OOF,catboost_lo,250.0,300.0,273.8612787525831,60956,276.0654803408539,246.87782184745453
Lena,stefan,0.0,0.5,0.3535533905932738,187426,79.59998235635075,435.37532709736325
Lena,stefan_cci,0.0,0.5,0.3535533905932738,187426,79.56211871806515,428.54119845474975
Lena,stefan,0.5,1.0,0.7071067811865476,80516,152.09401664858044,435.37532709736325
Lena,stefan_cci,0.5,1.0,0.7071067811865476,80516,150.9584908542473,428.54119845474975
Lena,stefan,1.0,2.0,1.4142135623730951,104835,377.98313820550965,435.37532709736325
Lena,stefan_cci,1.0,2.0,1.4142135623730951,104835,372.7849119978017,428.54119845474975
Lena,stefan,2.0,5.0,3.1622776601683795,400014,179.7308140181438,435.37532709736325
Lena,stefan_cci,2.0,5.0,3.1622776601683795,400014,181.32832674755574,428.54119845474975
Lena,stefan,5.0,10.0,7.0710678118654755,320014,470.95427427436414,435.37532709736325
Lena,stefan_cci,5.0,10.0,7.0710678118654755,320014,468.8779772332142,428.54119845474975
Lena,stefan,10.0,20.0,14.142135623730951,264237,1436.7117400413517,435.37532709736325
Lena,stefan_cci,10.0,20.0,14.142135623730951,264237,1384.760905619137,428.54119845474975
Lena,stefan,20.0,30.0,24.49489742783178,64584,405.1376607453419,435.37532709736325
Lena,stefan_cci,20.0,30.0,24.49489742783178,64584,410.12410823348426,428.54119845474975
Lena,stefan,30.0,50.0,38.72983346207417,232635,231.1566768462223,435.37532709736325
Lena,stefan_cci,30.0,50.0,38.72983346207417,232635,240.45165875742725,428.54119845474975
Lena,stefan,50.0,75.0,61.237243569579455,513625,472.0181677596377,435.37532709736325
Lena,stefan_cci,50.0,75.0,61.237243569579455,513625,452.9481131581904,428.54119845474975
Lena,stefan,75.0,100.0,86.60254037844386,412287,153.15547499211175,435.37532709736325
Lena,stefan_cci,75.0,100.0,86.60254037844386,412287,145.4865239809177,428.54119845474975
Lena,stefan,100.0,150.0,122.47448713915891,1459939,485.42150245803117,435.37532709736325
Lena,stefan_cci,100.0,150.0,122.47448713915891,1459939,480.99555697660736,428.54119845474975
Lena,stefan,150.0,200.0,173.20508075688772,274715,334.55705732855296,435.37532709736325
Lena,stefan_cci,150.0,200.0,173.20508075688772,274715,330.7281623892073,428.54119845474975
Lena,stefan,200.0,250.0,223.60679774997897,45561,763.4540474580839,435.37532709736325
Lena,stefan_cci,200.0,250.0,223.60679774997897,45561,806.9327949308466,428.54119845474975
Lena,stefan,250.0,300.0,273.8612787525831,12519,1087.4092046430007,435.37532709736325
Lena,stefan_cci,250.0,300.0,273.8612787525831,12519,1124.4536006325623,428.54119845474975
Canada,stefan,0.0,0.5,0.3535533905932738,18502,349.211858995398,697.1285861096377
Canada,stefan_cci,0.0,0.5,0.3535533905932738,18502,366.96912062570664,621.3353977968729
Canada,stefan,0.5,1.0,0.7071067811865476,1273,172.52065125068233,697.1285861096377
Canada,stefan_cci,0.5,1.0,0.7071067811865476,1273,179.65323608348913,621.3353977968729
Canada,stefan,1.0,2.0,1.4142135623730951,2461,171.48209844785876,697.1285861096377
Canada,stefan_cci,1.0,2.0,1.4142135623730951,2461,187.56000652188226,621.3353977968729
Canada,stefan,2.0,5.0,3.1622776601683795,6219,995.1024168086975,697.1285861096377
Canada,stefan_cci,2.0,5.0,3.1622776601683795,6219,1002.5320821920307,621.3353977968729
Canada,stefan,5.0,10.0,7.0710678118654755,7512,302.3492407488108,697.1285861096377
Canada,stefan_cci,5.0,10.0,7.0710678118654755,7512,333.701829446497,621.3353977968729
Canada,stefan,10.0,20.0,14.142135623730951,6203,463.50770146454255,697.1285861096377
Canada,stefan_cci,10.0,20.0,14.142135623730951,6203,522.9567729068937,621.3353977968729
Canada,stefan,20.0,30.0,24.49489742783178,1417,503.7570872692409,697.1285861096377
Canada,stefan_cci,20.0,30.0,24.49489742783178,1417,561.8848227315412,621.3353977968729
Canada,stefan,30.0,50.0,38.72983346207417,9707,200.67849569974757,697.1285861096377
Canada,stefan_cci,30.0,50.0,38.72983346207417,9707,218.04600240364573,621.3353977968729
Canada,stefan,50.0,75.0,61.237243569579455,1341,652.9938789674594,697.1285861096377
Canada,stefan_cci,50.0,75.0,61.237243569579455,1341,1100.1151387727161,621.3353977968729
Canada,stefan,75.0,100.0,86.60254037844386,1168,763.8410231050101,697.1285861096377
Canada,stefan_cci,75.0,100.0,86.60254037844386,1168,1241.3294610289313,621.3353977968729
Canada,stefan,100.0,150.0,122.47448713915891,1705,695.7681242656887,697.1285861096377
Canada,stefan_cci,100.0,150.0,122.47448713915891,1705,962.8010547011824,621.3353977968729
Canada,stefan,150.0,200.0,173.20508075688772,3288,513.1815760760517,697.1285861096377
Canada,stefan_cci,150.0,200.0,173.20508075688772,3288,597.4514031584908,621.3353977968729
Canada,stefan,200.0,250.0,223.60679774997897,17194,869.2704203936607,697.1285861096377
Canada,stefan_cci,200.0,250.0,223.60679774997897,17194,1060.634135586005,621.3353977968729
Canada,stefan,250.0,300.0,273.8612787525831,44233,408.73573275364527,697.1285861096377
Canada,stefan_cci,250.0,300.0,273.8612787525831,44233,479.5092388925673,621.3353977968729
