table,region,subset,n,n_eval,n_blocks,frac,alt_mean,alt_sd,sqrt_tdd_mean,mid_year_mean,year_gap_mean,n_years_median,frac_multi_year,train_set,method,n_seed,primary,rmse,rmse_seed_sd,rmse_ens,bias,mae,r2,n_folds,rmse_fold_sd,n_a,n_b,nboot,d_rmse,d_rmse_lo,d_rmse_hi,d_bias,d_bias_lo,d_bias_hi,rmse_a,rmse_b,d_bias_expected_lit,year_gap_a,year_gap_b,n_train_a,n_train_b,slope_cm_yr,slope_se_ols,slope_lo,slope_hi,lit_trend_cm_yr,mid_year_sd,year_min,year_max,resid_mean,n_blocks_with_year_var
counts,Alaska,all,13606,13606.0,74.0,1.0,50.47190876722744,17.38255606813973,30.64392996192104,2014.8818535940027,2.6181464059973543,1.0,0.05534323092753197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Alaska,overlap,4689,4689.0,53.0,0.3446273702778186,54.22377269988154,20.302041087843676,34.14480681259434,2016.6086585625933,0.8913414374066965,1.0,0.15738963531669867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Alaska,inside,4119,4119.0,24.0,0.302734087902396,52.932864569971606,18.473055325516082,33.50804259159796,2016.780407865987,0.71959213401311,1.0,0.04078659868900218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Alaska,before,8798,8798.0,34.0,0.6466264883139792,48.402139179035245,15.190221760546853,28.676934138798355,2013.865253466697,3.6347465333030233,1.0,0.0017049329393043875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Alaska,after,119,119.0,3.0,0.008746141408202264,55.65966386554622,18.81814540533221,38.12307028987277,2022.0,-4.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Lena,all,3037,2958.0,20.0,1.0,42.220487871803314,21.097246995965723,29.461854326298962,2012.9027000329272,4.597299967072769,1.0,0.048073756997036546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Lena,overlap,1444,1441.0,10.0,0.4754692130391834,41.947643120960294,24.987495276131583,29.133988073157884,2016.3947368421052,1.105263157894737,1.0,0.09418282548476455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Lena,inside,1397,1394.0,10.0,0.459993414553836,41.87473156764495,25.357733910424134,29.112414335752042,2016.3428775948462,1.1571224051539013,1.0,0.06370794559770938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Lena,before,1474,1398.0,17.0,0.48534738228514984,41.62389755766621,16.72680211266273,29.7898916797113,2008.8280189959294,8.671981004070556,1.0,0.0067842605156037995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts,Lena,after,119,119.0,5.0,0.03918340467566678,52.92100840336135,14.246455842041936,29.377079625508593,2021.0,-3.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
