cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
deploy,Alps,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.0,335.899,,335.8993299814864,-324.706,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.25,335.40333333333336,,335.40302756451456,-324.28000000000003,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.5,334.91166666666663,,334.9114215567217,-323.8543333333334,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.75,334.4256666666667,,334.4245326693549,-323.42833333333334,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,cci_cal,none,0.0,catboost_lo,0,1.0,333.94433333333336,,333.9423815351376,-323.002,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.0,340.072,,340.07223769300566,-325.323,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.25,339.8473333333333,,339.84691090272236,-325.66333333333336,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.5,339.66966666666667,,339.6688234737412,-326.00399999999996,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.75,339.54033333333336,,339.5380497370893,-326.344,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1.0,339.4583333333333,,339.4546443750838,-326.6843333333333,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.0,335.935,,335.9349518513071,-326.033,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.25,335.4446666666667,,335.4442712151488,-325.6173333333333,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.5,334.95733333333334,,334.95603953055524,-325.20166666666665,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.75,334.47266666666667,,334.47026752184973,-324.786,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,emap_cb,none,0.0,catboost_lo,0,1.0,333.991,,333.98696592156244,-324.37033333333335,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.0,352.4959999999999,,352.49601707721075,-342.242,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.25,351.862,,351.86159132496977,-341.66966666666667,8,4,1,3,0.3666666666666667,deep
