cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
noinfo,Svalbard,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.0,117.716,-110.815,110.815,-10.3152,0.3
noinfo,Svalbard,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.25,117.922,-110.907,110.907,-10.3548,0.3
noinfo,Svalbard,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.5,118.131,-110.999,110.999,-10.3952,0.3
noinfo,Svalbard,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.75,118.344,-111.092,111.092,-10.4363,0.3
noinfo,Svalbard,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,1.0,118.561,-111.184,111.184,-10.4781,0.3
noinfo,Svalbard,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.0,117.716,-110.815,110.815,-10.3152,0.3
noinfo,Svalbard,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.25,117.578,-110.587,110.587,-10.2886,0.3
noinfo,Svalbard,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.5,117.441,-110.36,110.36,-10.2624,0.3
noinfo,Svalbard,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.75,117.306,-110.132,110.132,-10.2365,0.3
noinfo,Svalbard,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,1.0,117.173,-109.904,109.904,-10.2109,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.0,117.716,-110.815,110.815,-10.3152,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.25,117.864,-110.846,110.846,-10.3437,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.5,118.017,-110.878,110.878,-10.3731,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,0.75,118.173,-110.91,110.91,-10.4032,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,3,3,13606,13606,1.0,118.333,-110.942,110.942,-10.4342,0.3
noinfo,Svalbard,0,0,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.0,117.657,-110.748,110.748,-10.3038,0.4
noinfo,Svalbard,0,0,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.25,117.585,-110.584,110.584,-10.2899,0.4
noinfo,Svalbard,0,0,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.5,117.517,-110.42,110.42,-10.2769,0.4
noinfo,Svalbard,0,0,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.75,117.453,-110.255,110.255,-10.2647,0.4
noinfo,Svalbard,0,0,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,1.0,117.394,-110.091,110.091,-10.2533,0.4
noinfo,Svalbard,0,1,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.0,117.657,-110.748,110.748,-10.3038,0.4
noinfo,Svalbard,0,1,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.25,117.72,-110.73,110.73,-10.316,0.4
noinfo,Svalbard,0,1,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.5,117.786,-110.712,110.712,-10.3286,0.4
noinfo,Svalbard,0,1,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.75,117.855,-110.694,110.694,-10.3419,0.4
noinfo,Svalbard,0,1,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,1.0,117.927,-110.676,110.676,-10.3557,0.4
noinfo,Svalbard,0,2,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.0,117.657,-110.748,110.748,-10.3038,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.25,117.912,-110.888,110.888,-10.3529,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.5,118.168,-111.028,111.028,-10.4022,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,0.75,118.425,-111.167,111.167,-10.4519,0.3
noinfo,Svalbard,0,2,alaska,x25,stefan_med,none,0.0,catboost_lo,0,3,3,13606,13606,1.0,118.683,-111.307,111.307,-10.5019,0.3
