cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,29.462,,29.461947647028015,-7.303,374,19,1,3,0.26666666666666666,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,29.927999999999997,,29.926685722367626,-8.941666666666666,374,19,1,3,0.26666666666666666,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,30.48866666666667,,30.483336575970952,-10.58,374,19,1,3,0.26666666666666666,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,31.138,,31.126969505429184,-12.219,374,19,1,3,0.26666666666666666,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,31.872,,31.852312061910542,-13.857,374,19,1,3,0.26666666666666666,main
covonly,Canada,alaska,x25,none,const,10.0,catboost,0,1.0,39.94166666666666,,39.94021160911852,-23.88633333333333,374,19,1,3,2.8333333333333335,main
covonly,Canada,alaska,x25,none,ku_cal,10.0,catboost,0,1.0,32.690999999999995,,32.67792787367773,16.558333333333334,374,19,1,3,3.2000000000000006,main
covonly,Canada,alaska,x25,none,none,0.0,catboost,0,1.0,31.951333333333334,,31.903908298216553,-13.501666666666665,374,19,1,3,1.3666666666666665,main
covonly,Canada,alaska,x25,none,none,0.0,catboost_lo,0,1.0,34.999,,34.95722675721071,-17.468,374,19,1,3,0.3,main
covonly,Canada,alaska,x25,none,none,0.0,ridge,0,1.0,42.354,,42.35433208423559,-29.909000000000002,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,none,stefan,10.0,catboost,0,1.0,30.225666666666665,,30.203209058190545,-10.961666666666666,374,19,1,3,3.3666666666666667,main
covonly,Canada,alaska,x25,none,stefan,10.0,catboost_lo,0,1.0,29.688,,29.66413391412126,-9.515666666666666,374,19,1,3,0.9,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.0,29.462,,29.461947647028015,-7.303,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.25,31.608,,31.608106907483155,-12.991,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.5,34.657,,34.656814550682725,-18.679,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.75,38.394,,38.393664538994045,-24.367,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,1.0,42.638,,42.63811051245199,-30.056,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.0,28.52,,28.52030593179791,1.3419999999999999,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.25,28.802000000000003,,28.801737272054183,-6.445,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.5,31.590999999999998,,31.590635386690057,-14.231,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.75,36.314,,36.313804168420916,-22.018,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,1.0,42.329,,42.32862455869934,-29.804999999999996,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.0,29.422,,29.422070103730604,-7.163,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.25,31.560999999999996,,31.56121640097663,-12.886000000000001,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.5,34.617,,34.61681480559035,-18.609,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.75,38.371,,38.370544287443046,-24.332000000000004,374,19,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,1.0,42.638,,42.6384191264116,-30.054999999999996,374,19,1,3,0.0,main
covonly,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,16.114,,16.11395691126464,7.264,1496,11,1,3,0.20000000000000004,main
covonly,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,16.54433333333333,,16.53637575649459,8.154333333333334,1496,11,1,3,0.20000000000000004,main
covonly,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,17.042333333333332,,17.01227784037909,9.044666666666666,1496,11,1,3,0.20000000000000004,main
covonly,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,17.602,,17.53730965150892,9.935333333333334,1496,11,1,3,0.20000000000000004,main
covonly,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,18.216,,18.1071980340401,10.825666666666669,1496,11,1,3,0.20000000000000004,main
covonly,Lena,alaska,x25,none,const,10.0,catboost,0,1.0,18.198666666666664,,18.197620070119747,11.241999999999999,1496,11,1,3,3.1,main
covonly,Lena,alaska,x25,none,ku_cal,10.0,catboost,0,1.0,18.451333333333334,,18.450381369334767,10.048666666666668,1496,11,1,3,2.9,main
