cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,29.709,,29.708663985574816,-8.146,370,15,1,3,0.20000000000000004,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,30.23,,30.228719990370745,-9.791666666666666,370,15,1,3,0.20000000000000004,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,30.840666666666667,,30.8357435730411,-11.437,370,15,1,3,0.20000000000000004,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,31.535666666666668,,31.524711325341375,-13.082666666666666,370,15,1,3,0.20000000000000004,main
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,32.309333333333335,,32.29037843673443,-14.728,370,15,1,3,0.20000000000000004,main
covonly,Canada,alaska,x25,none,const,10.0,catboost,0,1.0,40.721333333333334,,40.7195330154835,-25.126,370,15,1,3,2.8333333333333335,main
covonly,Canada,alaska,x25,none,ku_cal,10.0,catboost,0,1.0,31.663666666666668,,31.639205245966433,16.890666666666664,370,15,1,3,3.0,main
covonly,Canada,alaska,x25,none,none,0.0,catboost,0,1.0,32.454,,32.406651793753234,-14.437333333333333,370,15,1,3,1.3333333333333333,main
covonly,Canada,alaska,x25,none,none,0.0,catboost_lo,0,1.0,35.59133333333333,,35.551219652798466,-18.567333333333334,370,15,1,3,0.3333333333333333,main
covonly,Canada,alaska,x25,none,none,0.0,ridge,0,1.0,42.909,,42.90934980953855,-30.402,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,none,stefan,10.0,catboost,0,1.0,30.003,,29.99541964809267,-10.719,370,15,1,3,3.266666666666667,main
covonly,Canada,alaska,x25,none,stefan,10.0,catboost_lo,0,1.0,30.209999999999997,,30.20268302349343,-10.526333333333334,370,15,1,3,0.8666666666666667,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.0,29.709,,29.708663985574816,-8.146,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.25,32.019,,32.019359120124555,-13.758000000000001,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.5,35.172,,35.17193039869675,-19.371,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.75,38.963,,38.96255515658059,-24.983,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan,none,0.0,ridge,0,1.0,43.224,,43.22369035077817,-30.595,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.0,28.785,,28.78536102094459,1.049,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.25,29.173,,29.173201590097534,-6.791,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.5,32.049,,32.04919610276932,-14.632,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.75,36.835,,36.835076334358284,-22.471999999999998,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,1.0,42.895999999999994,,42.89628566891522,-30.313,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.0,29.665000000000003,,29.66467069332801,-8.005,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.25,31.97,,31.970203056321196,-13.653,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.5,35.131,,35.13092728759078,-19.3,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.75,38.939,,38.93914730980043,-24.947999999999997,370,15,1,3,0.0,main
covonly,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,1.0,43.224,,43.22405935179448,-30.595,370,15,1,3,0.0,main
covonly,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,16.114,,16.11395691126464,7.264,1496,11,1,3,0.3,main
