cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Canada,0,0,alaska,x25,none,none,0.0,catboost,0,371,16,13606,13606,1.0,34.375,-15.023,24.985,-0.0614,2.6
covonly,Canada,0,1,alaska,x25,none,none,0.0,catboost,0,371,16,13606,13606,1.0,34.352,-15.512,24.801,-0.06,2.0
covonly,Canada,0,2,alaska,x25,none,none,0.0,catboost,0,371,16,13606,13606,1.0,33.144,-14.238,23.966,0.0132,2.0
covonly,Canada,0,0,alaska,x25,none,stefan,10.0,catboost,0,371,16,149666,13606,1.0,31.522,-11.018,23.035,0.1075,3.6
covonly,Canada,0,1,alaska,x25,none,stefan,10.0,catboost,0,371,16,149666,13606,1.0,31.896,-11.811,23.165,0.0862,3.3
covonly,Canada,0,2,alaska,x25,none,stefan,10.0,catboost,0,371,16,149666,13606,1.0,31.571,-10.834,23.126,0.1047,3.3
covonly,Canada,0,0,alaska,x25,none,const,10.0,catboost,0,371,16,149666,13606,1.0,41.756,-25.471,30.312,-0.5661,3.0
covonly,Canada,0,1,alaska,x25,none,const,10.0,catboost,0,371,16,149666,13606,1.0,42.018,-25.631,30.48,-0.5859,3.1
covonly,Canada,0,2,alaska,x25,none,const,10.0,catboost,0,371,16,149666,13606,1.0,42.27,-25.717,30.71,-0.605,3.1
covonly,Canada,0,0,alaska,x25,none,ku_cal,10.0,catboost,0,371,16,149666,13606,1.0,33.415,17.026,25.981,-0.003,3.3
covonly,Canada,0,1,alaska,x25,none,ku_cal,10.0,catboost,0,371,16,149666,13606,1.0,32.715,15.642,25.462,0.0386,3.3
covonly,Canada,0,2,alaska,x25,none,ku_cal,10.0,catboost,0,371,16,149666,13606,1.0,33.29,16.321,26.08,0.0045,2.9
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost,0,1518,11,13606,13606,1.0,21.978,16.525,19.544,-1.3419,1.4
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost,0,1518,11,13606,13606,1.0,22.495,16.795,19.797,-1.4533,1.2
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost,0,1518,11,13606,13606,1.0,21.264,15.281,18.521,-1.1921,1.5
covonly,Lena,0,0,alaska,x25,none,stefan,10.0,catboost,0,1518,11,149666,13606,1.0,16.526,8.237,13.554,-0.324,3.4
covonly,Lena,0,1,alaska,x25,none,stefan,10.0,catboost,0,1518,11,149666,13606,1.0,16.578,8.351,13.612,-0.3323,3.2
covonly,Lena,0,2,alaska,x25,none,stefan,10.0,catboost,0,1518,11,149666,13606,1.0,16.469,8.186,13.487,-0.3149,3.4
covonly,Lena,0,0,alaska,x25,none,const,10.0,catboost,0,1518,11,149666,13606,1.0,18.172,11.201,15.477,-0.6009,3.4
covonly,Lena,0,1,alaska,x25,none,const,10.0,catboost,0,1518,11,149666,13606,1.0,18.242,11.289,15.55,-0.6133,3.2
covonly,Lena,0,2,alaska,x25,none,const,10.0,catboost,0,1518,11,149666,13606,1.0,18.184,11.245,15.508,-0.603,3.2
covonly,Lena,0,0,alaska,x25,none,ku_cal,10.0,catboost,0,1518,11,149666,13606,1.0,18.449,9.952,15.769,-0.6502,3.5
covonly,Lena,0,1,alaska,x25,none,ku_cal,10.0,catboost,0,1518,11,149666,13606,1.0,18.384,9.903,15.697,-0.6385,3.3
covonly,Lena,0,2,alaska,x25,none,ku_cal,10.0,catboost,0,1518,11,149666,13606,1.0,18.439,9.999,15.765,-0.6484,3.5
