cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,1.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.789,8.539,13.828,-0.3661,1.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,17.553,9.814,14.755,-0.4933,1.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.395,11.088,15.729,-0.64,1.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.305,12.363,16.734,-0.8064,1.1
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.4
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.681,8.39,13.691,-0.3487,0.4
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,17.319,9.516,14.459,-0.4538,0.4
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.021,10.642,15.282,-0.5741,0.4
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,18.78,11.768,16.142,-0.7093,0.4
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.4
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.879,8.707,13.901,-0.3808,0.4
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,17.743,10.15,14.914,-0.5258,0.4
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.693,11.592,15.98,-0.6937,0.4
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.717,13.035,17.086,-0.8843,0.4
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.974,14.056,17.462,-0.9336,0.4
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.479,13.255,16.93,-0.8391,0.4
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.976,14.026,17.467,-0.9341,0.4
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,1,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.4
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,1,1496,11,13606,13606,0.25,16.112,7.223,12.953,-0.2582,0.4
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,1,1496,11,13606,13606,0.5,16.149,7.181,12.937,-0.264,0.4
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,1,1496,11,13606,13606,0.75,16.225,7.14,12.947,-0.276,0.4
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,1,1496,11,13606,13606,1.0,16.34,7.099,12.979,-0.2941,0.4
