cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Lena,0,0,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,1,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,2,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.974,14.056,17.462,-0.9336,1.2
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.479,13.255,16.93,-0.8391,0.4
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.976,14.026,17.467,-0.9341,0.4
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,21.942,16.484,19.507,-1.3335,1.8
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,22.476,16.768,19.778,-1.4484,2.2
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,21.204,15.206,18.467,-1.1792,2.3
covonly,Lena,0,0,alaska,x25,none,none,0.0,mlp,0,1496,11,13606,13606,1.0,18.289,8.123,14.769,-0.6212,6.7
covonly,Lena,0,1,alaska,x25,none,none,0.0,mlp,0,1496,11,13606,13606,1.0,24.097,18.233,21.599,-1.8145,0.9
covonly,Lena,0,2,alaska,x25,none,none,0.0,mlp,0,1496,11,13606,13606,1.0,16.361,6.032,13.102,-0.2975,0.8
covonly,Lena,0,0,alaska,x25,none,none,0.0,ftt,0,1496,11,13606,13606,1.0,14.651,1.905,10.513,-0.0404,10.9
covonly,Lena,0,1,alaska,x25,none,none,0.0,ftt,0,1496,11,13606,13606,1.0,13.994,-1.669,9.277,0.0509,10.3
covonly,Lena,0,2,alaska,x25,none,none,0.0,ftt,0,1496,11,13606,13606,1.0,14.798,0.956,10.663,-0.0613,12.9
covonly,Lena,0,0,alaska,x25,none,none,0.0,tabm,0,1496,11,13606,13606,1.0,17.207,6.164,13.878,-0.4351,3.3
covonly,Lena,0,1,alaska,x25,none,none,0.0,tabm,0,1496,11,13606,13606,1.0,17.29,4.422,13.171,-0.4489,3.5
covonly,Lena,0,2,alaska,x25,none,none,0.0,tabm,0,1496,11,13606,13606,1.0,16.375,5.81,12.801,-0.2996,3.0
covonly,Lena,0,0,alaska,x25,none,none,0.0,cfm,0,1496,11,13606,13606,1.0,30.351,23.107,27.581,-3.4649,1.5
covonly,Lena,0,1,alaska,x25,none,none,0.0,cfm,0,1496,11,13606,13606,1.0,31.228,21.186,26.389,-3.7264,1.4
covonly,Lena,0,2,alaska,x25,none,none,0.0,cfm,0,1496,11,13606,13606,1.0,22.964,12.437,19.83,-1.5561,1.7
covonly,Lena,0,0,alaska,x25,none,none,0.0,ddpm,0,1496,11,13606,13606,1.0,18.787,7.557,15.315,-0.7106,2.2
covonly,Lena,0,1,alaska,x25,none,none,0.0,ddpm,0,1496,11,13606,13606,1.0,26.157,19.514,23.957,-2.3162,2.1
covonly,Lena,0,2,alaska,x25,none,none,0.0,ddpm,0,1496,11,13606,13606,1.0,20.129,-7.134,14.363,-0.9638,2.1
covonly,Lena,0,0,alaska,x25,none,none,0.0,nflow,0,1496,11,13606,13606,1.0,16.871,4.744,13.044,-0.3795,9.5
covonly,Lena,0,1,alaska,x25,none,none,0.0,nflow,0,1496,11,13606,13606,1.0,19.426,10.441,16.453,-0.8291,9.3
covonly,Lena,0,2,alaska,x25,none,none,0.0,nflow,0,1496,11,13606,13606,1.0,17.64,5.816,14.202,-0.5081,9.4
noinfo,Lena,0,0,alaska,x25,none,none,0.0,ridge,0,2958,20,13606,13606,1.0,26.19,-9.875,16.539,-0.5597,0.0
noinfo,Lena,0,1,alaska,x25,none,none,0.0,ridge,0,2958,20,13606,13606,1.0,26.19,-9.875,16.539,-0.5597,0.0
noinfo,Lena,0,2,alaska,x25,none,none,0.0,ridge,0,2958,20,13606,13606,1.0,26.19,-9.875,16.539,-0.5597,0.0
noinfo,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.301,12.197,19.474,-0.3428,0.5
noinfo,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.013,11.509,19.074,-0.3113,0.5
noinfo,Lena,0,2,alaska,x25,none,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.105,11.537,19.173,-0.3213,0.5
noinfo,Lena,0,0,alaska,x25,none,none,0.0,catboost,0,2958,20,13606,13606,1.0,25.338,14.049,20.798,-0.4599,2.2
noinfo,Lena,0,1,alaska,x25,none,none,0.0,catboost,0,2958,20,13606,13606,1.0,26.167,15.166,21.656,-0.557,1.8
noinfo,Lena,0,2,alaska,x25,none,none,0.0,catboost,0,2958,20,13606,13606,1.0,25.136,13.585,20.4,-0.4368,2.3
noinfo,Lena,0,0,alaska,x25,none,none,0.0,mlp,0,2958,20,13606,13606,1.0,22.952,7.266,17.116,-0.1979,1.1
noinfo,Lena,0,1,alaska,x25,none,none,0.0,mlp,0,2958,20,13606,13606,1.0,27.777,17.072,23.611,-0.7545,1.2
noinfo,Lena,0,2,alaska,x25,none,none,0.0,mlp,0,2958,20,13606,13606,1.0,21.737,4.174,15.71,-0.0744,1.2
noinfo,Lena,0,0,alaska,x25,none,none,0.0,ftt,0,2958,20,13606,13606,1.0,20.702,2.189,13.834,0.0255,11.0
noinfo,Lena,0,1,alaska,x25,none,none,0.0,ftt,0,2958,20,13606,13606,1.0,20.433,-0.484,13.06,0.0506,10.3
noinfo,Lena,0,2,alaska,x25,none,none,0.0,ftt,0,2958,20,13606,13606,1.0,21.101,0.621,14.075,-0.0125,12.8
noinfo,Lena,0,0,alaska,x25,none,none,0.0,tabm,0,2958,20,13606,13606,1.0,22.517,4.752,16.687,-0.1529,3.4
noinfo,Lena,0,1,alaska,x25,none,none,0.0,tabm,0,2958,20,13606,13606,1.0,22.609,4.197,16.413,-0.1624,3.4
noinfo,Lena,0,2,alaska,x25,none,none,0.0,tabm,0,2958,20,13606,13606,1.0,22.515,6.111,16.449,-0.1527,3.1
noinfo,Lena,0,0,alaska,x25,none,none,0.0,cfm,0,2958,20,13606,13606,1.0,34.442,23.727,30.173,-1.6974,1.6
noinfo,Lena,0,1,alaska,x25,none,none,0.0,cfm,0,2958,20,13606,13606,1.0,36.716,22.929,30.161,-2.0655,1.8
noinfo,Lena,0,2,alaska,x25,none,none,0.0,cfm,0,2958,20,13606,13606,1.0,26.41,9.14,20.36,-0.586,1.8
noinfo,Lena,0,0,alaska,x25,none,none,0.0,ddpm,0,2958,20,13606,13606,1.0,22.991,7.261,17.49,-0.202,3.4
noinfo,Lena,0,1,alaska,x25,none,none,0.0,ddpm,0,2958,20,13606,13606,1.0,28.559,17.832,24.768,-0.8547,3.0
noinfo,Lena,0,2,alaska,x25,none,none,0.0,ddpm,0,2958,20,13606,13606,1.0,24.984,-8.732,16.552,-0.4195,3.1
noinfo,Lena,0,0,alaska,x25,none,none,0.0,nflow,0,2958,20,13606,13606,1.0,22.172,4.726,15.926,-0.1178,9.6
noinfo,Lena,0,1,alaska,x25,none,none,0.0,nflow,0,2958,20,13606,13606,1.0,23.998,9.654,18.758,-0.3095,9.5
