cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
covonly,Canada,alaska,x25,none,cci,10.0,catboost_lo,0,1.0,28.51077777777778,2.3370734865385545,28.47105546135424,5.247222222222223,374,19,3,3,1.1777777777777778,main
covonly,Canada,alaska,x25,none,const,10.0,catboost_lo,0,1.0,37.06655555555555,3.156026797755075,37.05462932082528,-18.561,374,19,3,3,1.1333333333333335,main
covonly,Canada,alaska,x25,none,const_t,10.0,catboost_lo,0,1.0,33.80511111111111,1.442612303863817,33.796450231970056,-8.174111111111111,374,19,3,3,1.1444444444444446,main
covonly,Canada,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1.0,27.82788888888889,1.8913752883765507,27.820905997289476,-2.0203333333333333,374,19,3,3,1.3,main
covonly,Canada,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1.0,30.017555555555557,4.071776152619032,29.964714870052664,12.491555555555557,374,19,3,3,1.4000000000000001,main
covonly,Canada,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1.0,29.287111111111113,1.6173677288639015,29.268217948223494,-6.777777777777778,374,19,3,3,1.3111111111111111,main
covonly,Canada,alaska,x25,none,none,0.0,catboost_lo,0,1.0,34.60355555555555,1.105229806839253,34.56644973019567,-15.043,374,19,3,3,0.3444444444444445,main
covonly,Canada,alaska,x25,none,shuffle,10.0,catboost_lo,0,1.0,34.04977777777778,1.8506253097364225,34.046502798816825,-8.646333333333333,374,19,3,3,1.2222222222222223,main
covonly,Canada,alaska,x25,none,stefan,10.0,catboost_lo,0,1.0,29.97711111111111,1.7612211777732614,29.95935581580467,-7.760333333333333,374,19,3,3,1.2333333333333334,main
covonly,Canada,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1.0,31.597333333333335,1.3767407566826484,31.592077094105843,-10.368555555555554,374,19,3,3,1.288888888888889,main
covonly,Canada,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1.0,30.825666666666663,1.3929111401824739,30.821570277439992,-10.249555555555554,374,19,3,3,1.2777777777777777,main
covonly,Canada,alaska,x25,none,tddlin,10.0,catboost_lo,0,1.0,30.72677777777778,1.6657521602144967,30.721443317221475,-9.21722222222222,374,19,3,3,1.2777777777777777,main
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.1333333333333335,main
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.25,27.694444444444446,2.598143703435915,27.69184372596399,-1.8455555555555556,374,19,3,3,1.1333333333333335,main
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.5,26.941555555555553,3.002380191583808,26.92884940183859,1.2732222222222225,374,19,3,3,1.1333333333333335,main
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.75,27.58877777777778,3.3278585261952434,27.55848978140614,4.392222222222222,374,19,3,3,1.1333333333333335,main
covonly,Canada,alaska,x25,stefan,cci,10.0,catboost_lo,0,1.0,29.547888888888888,3.5414395430441883,29.49653790203277,7.511,374,19,3,3,1.1333333333333335,main
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.1888888888888889,main
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.25,31.299777777777777,1.810333834571011,31.29936581377936,-8.746555555555556,374,19,3,3,1.1888888888888889,main
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.5,33.31355555555556,1.5725351906796625,33.312487670246085,-12.528777777777778,374,19,3,3,1.1888888888888889,main
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.75,35.702666666666666,1.479876608970418,35.70042368604634,-16.31122222222222,374,19,3,3,1.1888888888888889,main
