cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,0,alaska,x25,none,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.48,8.128,13.499,-0.3164,1.9,
covonly,Lena,0,1,alaska,x25,none,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.488,8.164,13.525,-0.3177,1.5,
covonly,Lena,0,2,alaska,x25,none,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.477,8.141,13.495,-0.3159,1.5,
covonly,Lena,0,0,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,17.316,9.734,14.514,-0.4533,1.6,
covonly,Lena,0,1,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,17.377,9.794,14.566,-0.4635,1.4,
covonly,Lena,0,2,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,17.34,9.731,14.521,-0.4574,1.3,
covonly,Lena,0,0,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.03,7.431,12.97,-0.2454,1.5,
covonly,Lena,0,1,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.042,7.413,12.966,-0.2473,1.5,
covonly,Lena,0,2,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.054,7.449,12.987,-0.2492,1.3,
covonly,Lena,0,0,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1496,11,149666,13606,1.0,18.205,9.784,15.468,-0.6064,1.3,
covonly,Lena,0,1,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1496,11,149666,13606,1.0,18.293,9.892,15.585,-0.6219,1.3,
covonly,Lena,0,2,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1496,11,149666,13606,1.0,18.255,9.875,15.535,-0.6151,1.2,
covonly,Lena,0,0,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,18.426,10.971,15.739,-0.6456,1.2,
covonly,Lena,0,1,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,18.388,10.9,15.688,-0.6389,1.4,
covonly,Lena,0,2,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,18.317,10.832,15.629,-0.6262,1.3,
covonly,Lena,0,0,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,22.62,16.259,20.21,-1.48,1.3,
covonly,Lena,0,1,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,22.439,16.058,20.053,-1.4403,1.2,
