cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Lena,0,0,alaska,x25,none,none,0.0,realmlp,0,1496,11,13606,13606,1.0,21.984,14.033,18.632,-1.3425,139.2
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,138.0
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,13606,13606,0.25,16.539,7.964,13.438,-0.3258,138.0
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,13606,13606,0.5,17.094,8.663,13.969,-0.4162,138.0
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,13606,13606,0.75,17.766,9.363,14.568,-0.5297,138.0
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,13606,13606,1.0,18.542,10.063,15.218,-0.6664,138.0
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,133.5
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,13606,13606,0.25,14.433,-0.084,10.076,-0.0096,133.5
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,13606,13606,0.5,14.482,-0.293,10.087,-0.0165,133.5
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,13606,13606,0.75,14.713,-0.501,10.26,-0.0491,133.5
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,13606,13606,1.0,15.117,-0.709,10.614,-0.1076,133.5
noinfo,Lena,0,0,alaska,x25,none,none,0.0,realmlp,0,2958,20,13606,13606,1.0,24.869,10.374,19.209,-0.4064,141.6
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,135.1
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,2958,20,13606,13606,0.25,21.942,6.629,16.007,-0.0948,135.1
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,2958,20,13606,13606,0.5,22.376,7.582,16.593,-0.1385,135.1
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,2958,20,13606,13606,0.75,22.919,8.535,17.251,-0.1945,135.1
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,2958,20,13606,13606,1.0,23.565,9.488,17.966,-0.2627,135.1
noinfo,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,2958,20,13606,13606,0.0,20.761,-1.573,12.914,0.0199,137.8
noinfo,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,2958,20,13606,13606,0.25,20.639,-1.598,12.806,0.0314,137.8
noinfo,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,2958,20,13606,13606,0.5,20.639,-1.623,12.835,0.0314,137.8
noinfo,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,2958,20,13606,13606,0.75,20.759,-1.648,13.016,0.02,137.8
noinfo,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,2958,20,13606,13606,1.0,20.999,-1.673,13.334,-0.0027,137.8
labels,Lena,0,0,alaska,x25,none,none,0.0,realmlp,0,1496,11,15125,15125,1.0,15.393,1.395,10.813,-0.1485,149.4
labels,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,15125,15125,0.0,15.976,6.953,12.822,-0.2371,132.7
labels,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,15125,15125,0.25,15.423,6.519,12.358,-0.153,132.7
labels,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,15125,15125,0.5,15.522,6.085,12.186,-0.1677,132.7
labels,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,15125,15125,0.75,16.259,5.65,12.284,-0.2813,132.7
labels,Lena,0,0,alaska,x25,stefan,none,0.0,realmlp,0,1496,11,15125,15125,1.0,17.555,5.216,12.724,-0.4937,132.7
labels,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,15125,15125,0.0,14.567,-0.031,10.181,-0.0285,159.5
labels,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,15125,15125,0.25,14.175,0.947,10.179,0.0262,159.5
labels,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,15125,15125,0.5,14.329,1.925,10.482,0.0049,159.5
labels,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,15125,15125,0.75,15.013,2.903,11.035,-0.0924,159.5
labels,Lena,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,1496,11,15125,15125,1.0,16.16,3.881,11.788,-0.2657,159.5
covonly,Canada,0,0,alaska,x25,none,none,0.0,realmlp,0,374,19,13606,13606,1.0,37.254,-19.824,27.371,-0.3422,145.7
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,0.0,29.462,-7.303,22.651,0.1606,144.8
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,0.25,30.04,-8.718,22.949,0.1273,144.8
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,0.5,30.778,-10.133,23.414,0.0839,144.8
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,0.75,31.665,-11.549,24.065,0.0304,144.8
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,1.0,32.688,-12.964,24.902,-0.0333,144.8
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,0.0,28.52,1.342,21.883,0.2134,146.2
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,0.25,28.737,-2.639,21.809,0.2014,146.2
