family,cond,target,chosen,select_mean_others,score
all,covonly,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",29.7762,19.388
all,covonly,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.274533333333334,31.896333333333335
all,covonly,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 1, ""lam"": 1.0}",27.170133333333332,33.716
all,covonly,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 1, ""lam"": 1.0}",20.29226666666667,68.10533333333333
all,covonly,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.359,26.474
all,covonly,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.25}",31.49357777777778,11.464999999999998
anchored,covonly,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",29.7762,19.388
anchored,covonly,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.274533333333334,31.896333333333335
anchored,covonly,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 1, ""lam"": 1.0}",27.170133333333332,33.716
anchored,covonly,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 1, ""lam"": 1.0}",20.29226666666667,68.10533333333333
