H,label,cond,target,split,delta_rmse,delta_per_seed,delta_ensemble,delta_blockeq,delta_cap100,n_cells,n_blocks,block_majority,n_splits,delta_split_mean,delta_split_sd,family,family_tag
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Lena,0,-0.8630339624634864,-0.8630339624634864,-0.8630339624634864,2.3876806605304814,0.8436726142881277,2958,20,0.4,1,-0.8630339624634864,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Canada,0,-0.7845471149381069,-0.7845471149381069,-0.7845471149381069,5.0931915461537045,-0.09972932196547646,747,36,0.3611111111111111,1,-0.7845471149381069,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Russia_W,0,-1.011776978651092,-1.011776978651092,-1.011776978651092,-2.4914895972489575,-1.011776978651092,28,18,0.6111111111111112,1,-1.011776978651092,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Russia_C,0,0.613620278235345,0.613620278235345,0.613620278235345,1.8963551193337125,0.613620278235345,7,6,0.5,1,0.613620278235345,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Russia_E,0,-0.7875351467114591,-0.7875351467114591,-0.7875351467114591,0.12154377702719188,-0.7875351467114591,27,19,0.5789473684210527,1,-0.7875351467114591,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Greenland,0,-9.699535369873047,-9.699535369873047,-9.699535369873047,-9.699535369873047,-9.699535369873047,1,1,1.0,1,-9.699535369873047,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Lena,0,-1.5464398544733235,-1.5464398544733235,-1.5464398544733235,3.139434948596218,0.0016624663461151101,1496,11,0.36363636363636365,3,-1.9913876970484612,0.33542164145010106,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Lena,1,-2.071462252570525,-2.071462252570525,-2.071462252570525,1.6482297962818997,-0.9891538509614186,1478,11,0.5454545454545454,3,-1.9913876970484612,0.33542164145010106,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Lena,2,-2.356260984101535,-2.356260984101535,-2.356260984101535,-0.4741389032707062,-1.496898486210096,1687,5,0.6,3,-1.9913876970484612,0.33542164145010106,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Canada,0,-0.9416417152301086,-0.9416417152301086,-0.9416417152301086,3.9570163069304414,0.08393635923560794,374,19,0.3684210526315789,3,-1.7981639163078462,1.141661986429477,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Canada,1,-3.4116952080617224,-3.4116952080617224,-3.4116952080617224,3.5709416955968614,-2.9111055615698405,393,20,0.45,3,-1.7981639163078462,1.141661986429477,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Canada,2,-1.0411548256317076,-1.0411548256317076,-1.0411548256317076,4.851066196589596,0.09172600907229622,385,12,0.3333333333333333,3,-1.7981639163078462,1.141661986429477,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_W,0,-0.3662875117957185,-0.3662875117957185,-0.3662875117957185,-3.7024334492652002,-0.3662875117957185,12,8,0.375,3,-0.718162639110659,1.19992337351449,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_W,1,0.5435583361563303,0.5435583361563303,0.5435583361563303,0.9490506818202462,0.5435583361563303,12,7,0.42857142857142855,3,-0.718162639110659,1.19992337351449,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_W,2,-2.331758741692589,-2.331758741692589,-2.331758741692589,-4.801330366719441,-2.331758741692589,17,12,0.8333333333333334,3,-0.718162639110659,1.19992337351449,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_C,0,-4.173430049247827,-4.173430049247827,-4.173430049247827,-3.0260026719834983,-4.173430049247827,3,3,0.6666666666666666,3,2.230575832045202,5.874370738892834,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_C,1,10.015577667652714,10.015577667652714,10.015577667652714,11.271568358896317,10.015577667652714,3,2,0.0,3,2.230575832045202,5.874370738892834,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_C,2,0.8495798777307186,0.8495798777307186,0.8495798777307186,5.1129354244855705,0.8495798777307186,4,3,0.3333333333333333,3,2.230575832045202,5.874370738892834,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_E,0,2.61470721259969,2.61470721259969,2.61470721259969,2.348571010260656,2.61470721259969,12,9,0.3333333333333333,3,-0.33177664822993574,2.087351999452656,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_E,1,-1.9606855238560286,-1.9606855238560286,-1.9606855238560286,-1.4668630393931679,-1.9606855238560286,14,10,0.7,3,-0.33177664822993574,2.087351999452656,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_E,2,-1.6493516334334686,-1.6493516334334686,-1.6493516334334686,1.8407476516990524,-1.6493516334334686,11,8,0.375,3,-0.33177664822993574,2.087351999452656,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Greenland,0,-9.699535369873047,-9.699535369873047,-9.699535369873047,-9.699535369873047,-9.699535369873047,1,1,1.0,3,,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Greenland,1,,,,,,0,0,,3,,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Greenland,2,-9.699535369873047,-9.699535369873047,-9.699535369873047,-9.699535369873047,-9.699535369873047,1,1,1.0,3,,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Lena,0,-0.8630339624634864,-0.8630339624634864,-0.8630339624634864,2.3876806605304814,0.8436726142881277,2958,20,0.4,1,-0.8630339624634864,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Canada,0,-0.7845471149381069,-0.7845471149381069,-0.7845471149381069,5.0931915461537045,-0.09972932196547646,747,36,0.3611111111111111,1,-0.7845471149381069,,transfer,analytic
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Russia_W,0,-1.011776978651092,-1.011776978651092,-1.011776978651092,-2.4914895972489575,-1.011776978651092,28,18,0.6111111111111112,1,-1.011776978651092,,transfer,analytic
