cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,seed,n_splits,n_cells,n_blocks,coverage,cov_ci_lo,cov_ci_hi,width_mean,width_median,interval_score,is_ci_lo,is_ci_hi,is_width_part,is_under_part,is_over_part,rmse_point,n_seed,family_tag,note
covonly,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,0,1,1496.0,11.0,0.1356951871657754,0.05168312080076786,0.4027462442545577,35.76087206187733,31.752033233642578,317.17203369710114,200.872025895763,387.0150102835062,35.76087206187733,265.3387722331572,16.072389402066538,30.35132901234443,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,1,1,1496.0,11.0,0.30213903743315507,0.2715640232691891,0.4834865603308226,55.595339806003366,48.6530818939209,235.33954291962047,185.09524129809435,258.5970127462631,55.595339806003366,162.34216942336684,17.40203369025028,31.22762150087126,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,2,1,1496.0,11.0,0.2887700534759358,0.21142235899377324,0.344535753880266,32.03304474398414,30.249176025390625,185.93563645270635,172.07417844448742,265.58576907603134,32.03304474398414,119.06589125056955,34.83670045815262,22.964486805279126,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,mean,1,1496.0,11.0,0.24220142602495542,0.17822316768791005,0.4102561861552154,41.12975220395494,36.88476371765137,246.14907102314268,186.01381521278157,303.7325973686002,41.12975220395494,182.24894430236452,22.770374516823143,28.181145772831602,3.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,0,1,1496.0,11.0,0.40842245989304815,0.22212236966302246,0.48474665378518567,24.07593190351272,23.881007194519043,145.33123463020394,115.84966221387411,230.2558468991321,24.07593190351272,82.88779940069678,38.36750332599443,18.786688965687215,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,1,1,1496.0,11.0,0.12433155080213903,0.041624652615250335,0.35124584257206204,24.15949782585715,23.682662963867188,294.7857071018899,214.25343707245065,379.7300039446767,24.15949782585715,250.86898185267594,19.757227423356817,26.157338192889252,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,2,1,1496.0,11.0,0.5641711229946524,0.2533253012048193,0.6270010765939147,23.97260055043965,23.596239686012268,145.56458792995915,91.82040935998704,378.69472339191225,23.97260055043965,15.743077257737756,105.84891012178174,20.128916353000253,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,mean,1,1496.0,11.0,0.36564171122994654,0.1723574411610307,0.48766452431705415,24.069343426603172,23.71996994813283,195.22717655401766,140.6411695487706,329.560191411907,24.069343426603172,116.49995283703682,54.65788029037767,21.690981170525575,3.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,0,1,1496.0,11.0,0.2606951871657754,0.13301233714549035,0.3351627689942907,16.765236677970478,15.047548294067383,164.99433352241755,135.6516614753672,249.62650091380814,16.765236677970478,108.05573266415249,40.17336418029459,16.870821705750735,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,1,1,1496.0,11.0,0.1925133689839572,0.07246202983836274,0.2994957128462518,21.45036937272485,18.451284408569336,217.22922020183742,182.84387938797582,306.49207335154045,21.45036937272485,167.48401503979417,28.29483578931839,19.426300459267594,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,2,1,1496.0,11.0,0.17245989304812834,0.09025648269544086,0.2473159009449332,11.762139664614264,9.768905639648438,190.80866824114386,167.187717619517,287.9768151123989,11.762139664614264,125.59236658405706,53.45416199247254,17.639715453620575,1.0,direct,
covonly,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,mean,1,1496.0,11.0,0.2085561497326203,0.09857694989309797,0.2939914609284919,16.659248571769865,14.422579447428385,191.01074065513296,161.89441949428667,281.36512979258254,16.659248571769865,133.71070476266792,40.640787320695175,17.978945872879635,3.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,0,1,2958.0,20.0,0.16903313049357674,0.12054648135929787,0.3923425533648361,43.49297190486297,38.92640495300293,334.78815808086637,240.79596235394916,373.0855821415234,43.49297190486297,269.10623891682997,22.188947259173457,34.44154202838007,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,1,1,2958.0,20.0,0.3110209601081812,0.2628947420845652,0.5210513196480937,61.971435478847525,57.218400955200195,275.5520683700178,201.95070700618746,321.7626451922266,61.971435478847525,191.9358174724463,21.644815418724008,36.716371927090535,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,2,1,2958.0,20.0,0.3431372549019608,0.2624372098410339,0.3932292635540667,32.353440114579705,30.198604583740234,199.0532518802045,174.04915496475363,319.1916465078793,32.353440114579705,107.21983979117475,59.47997197445003,26.409861691874116,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,mean,1,2958.0,20.0,0.27439711516790627,0.21529281109496567,0.43554104552233214,45.93928249943007,42.11447016398112,269.7978261103629,205.59860810829673,338.0132912805431,45.93928249943007,189.42063206015033,34.4379115507825,32.52259188244824,3.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,0,1,2958.0,20.0,0.37085868830290736,0.2837041408048489,0.48303576862410685,24.95788882550877,24.53089714050293,179.77545762861638,125.55578552308258,289.87113295455816,24.95788882550877,97.47867169469387,57.33889710841374,22.99069671581727,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,1,1,2958.0,20.0,0.149763353617309,0.11000706439285324,0.33528596179693143,24.326115532127726,23.74702262878418,312.8677806722277,245.81656195187145,374.54212385095525,24.326115532127726,247.86076655754346,40.68089858255651,28.55913657162658,1.0,direct,
